,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following cannot be achieved through marketing communications?,D,M,Theory,Single choice,Marketing: Marketing Communications,
,Reinforce,,,,,,
,Differentiate,,,,,,
,Inform,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is not a part of the five principal marketing communication tools?,D,M,Theory,Single choice,Marketing: Marketing Communications,
,Advertising,,,,,,
,Public relations,,,,,,
,Personal selling,,,,,,
,Differentiation Marketing,,,,,,
,,,,,,,
,"....... is the process of converting the information conveyed by the source into a message
",A,M,Theory,Single choice,Marketing: Marketing Communications,
,Encoding,,,,,,
,Transmission,,,,,,
,Lead generation,,,,,,
,Decoding,,,,,,
,,,,,,,
,Print and broadcast media as a channel for message transmission will not include,C,M,Theory,Single choice,Marketing: Marketing Communications,
,Publicity,,,,,,
,Newspaper,,,,,,
,Personal selling,,,,,,
,Magazines,,,,,,
,,,,,,,
,"A.......... is an active media user who interprets the meaning of media messages or content for
 lower-end media users",B,M,Theory,Single choice,Marketing: Marketing Communications,
,Innovator,,,,,,
,Opinion Leader,,,,,,
,Follower,,,,,,
,Visionary,,,,,,
,,,,,,,
,Impersonal source of communication includes,B,M,Theory,Single choice,Marketing: Marketing Communications,
,Opinon leader,,,,,,
,Advertisements,,,,,,
,Word of Mouth,,,,,,
,Sales people,,,,,,
,,,,,,,
,"This adopter group is first to adopt an innovation, financially strong, young and relies on
impersonal sources of  information than word of mouth and sales people.",A,M,Theory,Single choice,Marketing: Marketing Communications,
,Innovators,,,,,,
,Laggards,,,,,,
,Early adopters,,,,,,
,Early majority,,,,,,
,,,,,,,
,"This is a skeptical group and adopts only by societal pressures. Advertisements and personal
selling is a less effective source of communication than word of mouth",D,M,Theory,Single choice,Marketing: Marketing Communications,
,Innovators,,,,,,
,Early adopters,,,,,,
,Early majority,,,,,,
,Late majority,,,,,,
,,,,,,,
,"Suspicious of innovations and by the time they adopt an innovation, innovators have discarded
it",C,M,Theory,Single choice,Marketing: Marketing Communications,
,Early adopters,,,,,,
,Early majority,,,,,,
,Laggards,,,,,,
,Late majority,,,,,,
