,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,What is meant by Ad Completion?,D,M,Theory,Single Choice,Marketing: Advertising,
,This occurs when a video ad teaser is played completely,,,,,,
,This occurs when a video ad plays and it stops half way,,,,,,
,This occurs when a video ad poster is shown to the masses,,,,,,
,This occurs when a video ad plays through to the end,,,,,,
,,,,,,,
,What is meant by Ad Fraud?,C,M,Theory,Single Choice,Marketing: Advertising,
,It is when a company knwoingly serves ads that no one will actually see as a way to achieve competitive advantage over others,,,,,,
,It is when a company knwoingly serves ads that everyone will actually see as a way to drive 'views' and revenue.,,,,,,
,It is when a company knwoingly serves ads that no one will actually see as a way to drive 'views' and revenue.,,,,,,
,It is when a company knwoingly serves ads and put unethical content on this.,,,,,,
,,,,,,,
,What is an Ad Network?,B,H,Theory,Single Choice,Marketing: Advertising,
,A company that connects websites with advertising to increase its promotional avenues usually via programmetic exchanges,,,,,,
,A company that connects websites with advertising to sell usually via programmetic exchanges,,,,,,
,A company that connects websites with advertising to sell,,,,,,
,A company that connects websites to create a network so that it can sell usually via programmetic exchanges,,,,,,
,,,,,,,
,What is an Ad Server?,A,E,Theory,Single Choice,Marketing: Advertising,
,A company whose technology relays an ad buy to a website and reports on how it performed.,,,,,,
,A company whose technology is responsible for serving an ad.,,,,,,
,A server which is of utmost importance to run an ad.,,,,,,
,None of the above,,,,,,
,,,,,,,
,CPC in advertising stands for _______________________,D,E,Theory,Single Choice,Marketing: Advertising,
,Customer per click,,,,,,
,Customer Performance Click,,,,,,
,Cost Performance Click,,,,,,
, Cost per Click,,,,,,
,,,,,,,
,What is CPC?,D,M,Theory,Single Choice,Marketing: Advertising,
,This is the price paid by a customer to a publisher for a single click on the ad that brings the customer to its intended destination.,,,,,,
,This is the price paid by a customer to an advertiser for a single click on the ad that brings the customer to its intended destination.,,,,,,
,This is the price paid by a publsher to an advertiser for a single click on the ad that brings the customer to its intended destination.,,,,,,
,This is the price paid by an advertiser to a publisher for a single click on the ad that brings the customer to its intended destination.,,,,,,
,,,,,,,
,CPCV stands for ________________________________,B,E,Theory,Single Choice,Marketing: Advertising,
,Cost per Completed Viewership,,,,,,
