,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Modern day advertising has its roots from:,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,USA,,,,,,
,Australia,,,,,,
,Britain,,,,,,
,France,,,,,,
,,,,,,,
,A corporate identity is very important part of the Company image and ___________________________,B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Prestige,,,,,,
,Communications,,,,,,
,Esteem,,,,,,
,Future,,,,,,
,,,,,,,
,The most persuasive messages are:,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Simple,,,,,,
,Contains a single primary data,,,,,,
,Direct,,,,,,
,All of the above,,,,,,
,,,,,,,
,A spokesperson must have the following skills:,D,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Ability to address a gathering,,,,,,
,Convincing,,,,,,
,Good oratory skills,,,,,,
,All of the above,,,,,,
,,,,,,,
,Crisis means an unexpected development that often frightens the,B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Public,,,,,,
,Shareholders,,,,,,
,Employees,,,,,,
,Investors,,,,,,
,,,,,,,
,Apple computers made their campaign in the year ________ which people were dying to see.,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,1984,,,,,,
,1985,,,,,,
,1988,,,,,,
,1986,,,,,,
,,,,,,,
,What is culture?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Values,,,,,,
,Perception,,,,,,
,Beliefs,,,,,,
,All of the above,,,,,,
,,,,,,,
,Choosing a city for press conference depends upon the level you are working with. Which of the following could be true?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Business Level,,,,,,
,National Level,,,,,,
,Regional Level,,,,,,
,All of the above,,,,,,
,,,,,,,
,"For testing the advertisement, advertisers use ________",B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Target Audience,,,,,,
,Focus Groups,,,,,,
,Segmented Audience,,,,,,
,None of the above,,,,,,
,,,,,,,
,Tapping groups attitudes is called as ________.,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Communication,,,,,,
,Channeling,,,,,,
,Derivation,,,,,,
,Group study,,,,,,
,,,,,,,
,Public relations is defined as the art or science of,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,establishing and promoting a favorable relationship with the public,,,,,,
,expressing one's political opinions to the public,,,,,,
,attempting to get various sectors of the public to have a better relationship with each other,,,,,,
,making public the details of celebrities' relationships,,,,,,
,,,,,,,
,Who among the following is widely known as the father of the modern public relations industry and the first public relations advisor?,D,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Sir Walter Raleigh,,,,,,
,Phineas.T. Barnum,,,,,,
,Andrew Jackson,,,,,,
,Ivy Lee,,,,,,
,,,,,,,
,Edward Bernays public relations work was based on,C,H,Theory,Single Choice,Marketing: Advertising : Public Relations,
,changing fads and trends,,,,,,
,The findings of Ivy Lee,,,,,,
,psychology and the unconscious mind,,,,,,
,various surveys,,,,,,
,,,,,,,
,One example of the U.S. using media for PR in the Arab world with some success is,A,H,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Radio Farda,,,,,,
,Al Jazeera,,,,,,
,a video about prosperous Muslims in 2003,,,,,,
,All of the above,,,,,,
,,,,,,,
,"In 1942, President Roosevelt established _______________",A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,Office of War Information,,,,,,
,Public Relations Society of America,,,,,,
,United States Information Agency,,,,,,
,Committee on Public Information,,,,,,
,,,,,,,
,Ivy Lee managed to improve public opinion of the Rockefellers with the striking miners and with the public by,A,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,staging events where John D. Rockefeller socialized with the miners,,,,,,
,having John D. Rockefeller issue a public apology about the strikers who were killed by the company guards,,,,,,
,convincing John D. Rockefeller to accept the establishment of a union,,,,,,
,having him establish college funds for the miners' children,,,,,,
,,,,,,,
,"One definition of ""spinning"" in PR might be",B,E,Theory,Single Choice,Marketing: Advertising : Public Relations,
,choosing to give the whole story to one exclusive reporter,,,,,,
,supplanting the PR version of reality over other versions that are less beneficial to the spinner,,,,,,
,distracting reporters with information about a totally different event than the one they want to report on,,,,,,
,eliminating all euphemisms in an effort to show nothing but the harsh truth,,,,,,
,,,,,,,
,"The PRSA had an _____________________program since 1965, to encourage public relations professionals to conduct their affairs in an ethical manner.",C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,accountability,,,,,,
,accreditation,,,,,,
,affirmation,,,,,,
,attribution,,,,,,
,,,,,,,
,The term ________________ refers to carefully crafted phrases that repeat a major idea the speaker wants to emphasize.,B,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,audio news releases,,,,,,
,sound bites,,,,,,
,canned editorials,,,,,,
,all of the above,,,,,,
,,,,,,,
,One type of community relations strategy is,C,M,Theory,Single Choice,Marketing: Advertising : Public Relations,
,embedding journalists,,,,,,
