,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,"A communication channel in which at least two individuals communicate with each other by means of mail, or email, phone call or up close and personal is classified as",b,M,Theory,Single Choice,Marketing: Marketing Communications,
, Traditional communication channel,,,,,,
, Personal communication channel,,,,,,
, Non personal communication channel,,,,,,
, Direct communication channel,,,,,,
,,,,,,,
,"A methodical mix of individual offering, deals advancement, publicizing and advertising to communicate customer value is called",c,M,Theory,Single Choice,Marketing: Marketing Communications,
, Product mix,,,,,,
, Channel mix,,,,,,
, Promotion mix,,,,,,
, None of the above,,,,,,
,,,,,,,
,Technique for overseeing advertising budget at company level can have money can be classified as,c,M,Theory,Single Choice,Marketing: Marketing Communications,
, Risk method,,,,,,
, Parity approach,,,,,,
, Affordable method,,,,,,
, Competitve task method,,,,,,
,,,,,,,
,A communication channel through which sentiment pioneers are taught about market offerings to spread information about the market offerings may be classified as,b,M,Theory,Single Choice,Marketing: Marketing Communications,
, Direct marketing,,,,,,
, Buzz marketing,,,,,,
, Reverse channel,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which promotion technique consists of  producers promoting goods to conclusive customers by utilising the sales force  ,d,M,Theory,Single Choice,Marketing: Marketing Communications,
, Product giveaways,,,,,,
, Pull strategy,,,,,,
, Point of sale strategy,,,,,,
, Push strategy,,,,,,
,,,,,,,
,Topic of message substance which coordinates audience sense of what is proper and right is,d,M,Theory,Single Choice,Marketing: Marketing Communications,
, Musical appeal,,,,,,
, Rational appeal,,,,,,
, Bandwagon appeal,,,,,,
, Moral appeal,,,,,,
,,,,,,,
,"Non personal communications channels such as radio, television are classified as",a,M,Theory,Single Choice,Marketing: Marketing Communications,
, Broadcast media,,,,,,
, Mechanical media,,,,,,
, Physical media,,,,,,
, None of the above,,,,,,
,,,,,,,
,Set of stages through which clients go through while obtaining market offerings are named as,a,M,Theory,Single Choice,Marketing: Marketing Communications,
, Buyer readiness stages,,,,,,
, Planning stages,,,,,,
, Strategic channeling stages,,,,,,
, None of the above,,,,,,
,,,,,,,
,A process which consists of coordination of correspondence channels to convey convincing message about organization and its items is named,b,M,Theory,Single Choice,Marketing: Marketing Communications,
, Decoding ,,,,,,
, Integrated marketing communications,,,,,,
, Startegic channels,,,,,,
, Integrated outbound channels,,,,,,
,,,,,,,
,A technique of giving short term incentives to support offer of specific market offerings is classified as,d,M,Theory,Single Choice,Marketing: Marketing Communications,
, Direct selling,,,,,,
, Personal selling,,,,,,
, Advertising,,,,,,
, None of the above,,,,,,
,,,,,,,
,Strategies used to decide the total budget for promoting a company's market offerings are termed as,d,M,Theory,Single Choice,Marketing: Marketing Communications,
, Competitve parity method,,,,,,
, Percentage of sales method,,,,,,
, None of the above,,,,,,
, All of the above,,,,,,
,,,,,,,
,Which of the following are the broad categories of communication channels?,c,M,Theory,Single Choice,Marketing: Marketing Communications,
, Interpersonal channels,,,,,,
, Irrational channels,,,,,,
, None of the above,,,,,,
, All of the above,,,,,,
,,,,,,,
,Non personal promotion of ideas or market offerings by some particular support is classified as ,c,M,Theory,Single Choice,Marketing: Marketing Communications,
, Events and experiences,,,,,,
, Publicity,,,,,,
, Sales promotion,,,,,,
, Personal selling,,,,,,
,,,,,,,
,Theme of message content which is identified with self-enthusiasm of gathering of people is classified as,b,M,Theory,Single Choice,Marketing: Marketing Communications,
, Bandwagon appeal,,,,,,
, Rational appeal,,,,,,
, Emotional appeal,,,,,,
, Irrational appeal,,,,,,
,,,,,,,
,"In communication process, deciphering, encoding, feedback and reaction are classified as",a,M,Theory,Single Choice,Marketing: Marketing Communications,
, Communication functions,,,,,,
, Communication strategies,,,,,,
, Communication tools,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not one of the aspects of promotional mix?,a,M,Theory,Single Choice,Marketing: Marketing Communications,
, Strategic positioning,,,,,,
, Direct marketing,,,,,,
, Publicity,,,,,,
, None of the above,,,,,,
,,,,,,,
,A providing favored services by marketing channels to their customers in a collective way is classified as,b,M,Theory,Single Choice,Marketing: Marketing Communications,
, Horizontal integration,,,,,,
, Channel integration,,,,,,
, Functional integration,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which among the following is not a reason for marketers losing cofidence in television advertising except,a,M,Theory,Single Choice,Marketing: Marketing Communications,
, TV offers a high cost for each introduction,,,,,,
, Broad communications cost keep on increasing,,,,,,
, Audience size is on the decline,,,,,,
, None of the above,,,,,,
,,,,,,,
