,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is a software solution designed to handle the various components of a marketing campaign? ,A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Campaign management system,,,,,,
, Advertisement management system,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,"Which of the following is a system which identifies and tags individual pieces of marketing content on their way through the creation, design and distribution process? ",A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Content management system,,,,,,
, Advertisement management system,,,,,,
, Campaign management system,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not the characteristics of campaign management? ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Aimed at prospectus customers,,,,,,
, Aimed at existing customers,,,,,,
, Usually undertaken at a particular time frame,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is one of the steps involved in campaign management? ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Planning,,,,,,
, Development,,,,,,
, Execution,,,,,,
, All the above,,,,,,
,,,,,,,
,Figure out the right sequence ,A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
," Planning, Development, Execution, Analysis",,,,,,
," Development, Execution, Analysis, Planning",,,,,,
," Planning, Analysis, Execution, Development",,,,,,
, All the above,,,,,,
,,,,,,,
,Planning involves ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Strategic process by which decisions are taken,,,,,,
, Definition of purposes,,,,,,
, Objectives of the campaign,,,,,,
, All the above,,,,,,
,,,,,,,
,Development involves ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Choosing the media,,,,,,
, Choosing the design,,,,,,
, Choosing the support,,,,,,
, All the above,,,,,,
,,,,,,,
,Execution involves ,A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Operational process of running a campaign,,,,,,
, Choosing the media,,,,,,
, Definition of purpose,,,,,,
, All the above,,,,,,
,,,,,,,
,Analysis involves ,A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Evaluation process of campaign,,,,,,
, Objectives of the campaign,,,,,,
, Definition of purpose,,,,,,
, All the above,,,,,,
,,,,,,,
,Analysis and control consists of ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Measuring campaign results,,,,,,
, Response analysis,,,,,,
, Profile analysis,,,,,,
, All the above,,,,,,
,,,,,,,
,Campaign execution consists of ,C,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Implementation and coordination,,,,,,
, Monitoring and fine tuning,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Market penetration campaign focus on ,C,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Increase usage,,,,,,
, Increase market share,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Market extension campaign focus on ,C,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Finding new users,,,,,,
, Entering new segments,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Product development campaign focus on ,B,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Finding potential users,,,,,,
, Launching new product or service,,,,,,
, Entering new segments,,,,,,
, All the above,,,,,,
,,,,,,,
,Diversification campaign focus on ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Finding new market,,,,,,
, Finding new products,,,,,,
, Discover new strategy,,,,,,
, All the above,,,,,,
,,,,,,,
,Which of the following is one of the approaches in retention stra,?,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Cross selling,,,,,,
, Up selling,,,,,,
, Cross merchandising,,,,,,
, All the above,,,,,,
,,,,,,,
,Which of the following focus on existing customers? ,A,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Retention strategy,,,,,,
, Acquisition strategy,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Company uses acquisition strategy campaign when ,C,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, When company wants to sell same product to new customer,,,,,,
, When company wants to sell different products to new customer,,,,,,
, Both a and b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,Which is the best time to promote computer games ,B,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, June to August,,,,,,
, November and December,,,,,,
, September and October,,,,,,
, All the above,,,,,,
,,,,,,,
,Which of the following are product decisions related to Retention strategy campaign? ,D,M,Theory,Single Choice,Marketing: Advertisement: Campaign Management,
, Developing relationship marketing,,,,,,
, Retaining customers with increased service quality,,,,,,
, Develop tailor made products,,,,,,
, All the above,,,,,,
,,,,,,,
