,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,     Which of the following is not used in novelty advertisement? ,d,M,Theory,Single Choice,Marketing: Adveritising,
,     Pen,,,,,,
,     Mug,,,,,,
,      Bags,,,,,,
,     Newspaper,,,,,,
,,,,,,,
,     Which of the following is not the direct effect of advertisement? ,d,M,Theory,Single Choice,Marketing: Adveritising,
,     Create group norm,,,,,,
,     Precipitate behaviour,,,,,,
,      Create awareness,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Advertisement planning and decision making is affected by ,c,M,Theory,Single Choice,Marketing: Adveritising,
,     Competition in an industry,,,,,,
,     Competition situation which the advertiser faces,,,,,,
,      Both a and b,,,,,,
,     Neither a nor b,,,,,,
,,,,,,,
,     The companies which do not compete on price use ,a,M,Theory,Single Choice,Marketing: Adveritising,
,     Image advertising,,,,,,
,     Clearance advertising,,,,,,
,      Loss leader advertising,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     The company promoting its mission statement in ad is called ,b,M,Theory,Single Choice,Marketing: Adveritising,
,     Product advertsing,,,,,,
,     Non product advertising,,,,,,
,      Both a and b,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following is used to promote products that have been discounted in order to accelerate sales??? ,b,M,Theory,Single Choice,Marketing: Adveritising,
,     Image advertising,,,,,,
,     Clearance advertising,,,,,,
,      Loss leader advertising,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"     In addition to advertising, what are the other marketing communication tool? ",d,M,Theory,Single Choice,Marketing: Adveritising,
,     Personal selling,,,,,,
,     Collateral materials,,,,,,
,      Public relation activities,,,,,,
,     All the above,,,,,,
,,,,,,,
,     Which of the following is used to promote products that have been discounted drastically in order to create an impression of store wide low prices? ,c,M,Theory,Single Choice,Marketing: Adveritising,
,     Image advertising,,,,,,
,     Clearance advertising,,,,,,
,      Loss leader advertising,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Non product advertising is also called  ,c,M,Theory,Single Choice,Marketing: Adveritising,
,     Corporate advertising,,,,,,
,     Institutional advertising,,,,,,
,      Both a and b,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is the umbrella process? ,a,M,Theory,Single Choice,Marketing: Adveritising,
,     Public relations,,,,,,
,     Sales promotion,,,,,,
,      Collateral material,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Advertisements used for reducing demand of produ,s,M,Theory,Single Choice,Marketing: Adveritising,
,     Negative marketing Ans: b,,,,,,
,     Demarketing,,,,,,
,      Awareness advertising,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following occurs when a consumer is “Unjustifiable injured” or there is violation of public policy? A,a,M,Theory,Single Choice,Marketing: Adveritising,
,     Unfair advertising,,,,,,
,     Deceptive advertising,,,,,,
,      Unethical advertising,,,,,,
,     None of the above,,,,,,
,,,,,,,
,"   Which of the following is characterised by misrepresentation, omission and related practices? ",b,M,Theory,Single Choice,Marketing: Adveritising,
,     Unfair advertising,,,,,,
,     Deceptive advertising,,,,,,
,      Unethical advertising,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following is the document signed by advertiser agreeing to stop the objectionable advertising without admitting any wrong doing? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Consent decree,,,,,,
,     Cease and desist order,,,,,,
,      Both a and b,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following brand is not endorsed by Aamir khan ? ,d,M,Theory,Single Choice,Marketing: Adveritising,
,     Samsung Mobile,,,,,,
,     Tata sky,,,,,,
,     Coca cola,,,,,,
,     Pepsi,,,,,,
,,,,,,,
,   Which of the following is not covered in transit advertising? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Bus,,,,,,
,     Taxi,,,,,,
,      Sub way advertising,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following is the underlying force for any purchase? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Motivation,,,,,,
,     Wants,,,,,,
,      Needs,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following is basic and instinct? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Motivation,,,,,,
,     Wants,,,,,,
,      Needs,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following can’t be observed directly? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Motivation,,,,,,
,     Wants,,,,,,
,      Needs,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following are aims of advertisers related to habits? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Breaking habits,,,,,,
,     Acquiring habits,,,,,,
,      Reinforcing habits,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following helps the customer to unlearn their present purchasing habit?,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Breaking habits,,,,,,
,     Acquiring habits,,,,,,
,      Reinforcing habits,,,,,,
,     All the above,,,,,,
,,,,,,,
,     The strategy in which the organisation focuses on only one subgroup and creates marketing program for them is called ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Concentration,,,,,,
,     Differentiation,,,,,,
,      Aggregation,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     The strategy in which two or more population subgroups are identified and marketing program developed for it is called ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Concentration,,,,,,
,     Differentiation,,,,,,
,      Aggregation,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     When segmentation is not employed and a single marketing program is employed across all the groups is called  ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Concentration,,,,,,
,     Differentiation,,,,,,
,      Aggregation,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following arises when various competing brands fail to concentrate on smaller segment? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Minority fallacy,,,,,,
,     Majority fallacy,,,,,,
,      Negligence fallacy,,,,,,
,     All the above,,,,,,
,,,,,,,
,     The concentration strategy also called ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Focus Strategy,,,,,,
,     Niche Strategy,,,,,,
,      Target Strategy,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following doesn’t belong to benefit segmentation ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Sensory segment,,,,,,
,     Sociable,,,,,,
,      Worriers,,,,,,
,     All the above,,,,,,
,,,,,,,
,     Television advertisers have to cope with the phenomena of ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Zapping,,,,,,
,     Zipping,,,,,,
,      Both a and b,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     The switching process across programs using a remote control device ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Swaping,,,,,,
,     Zipping,,,,,,
,      Zapping,,,,,,
,     None of the above.,,,,,,
,,,,,,,
,      The process of fast forwarding through ads when viewing pre recorded programs on a tv is called ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Fast forward,,,,,,
,     Zipping,,,,,,
,      Zapping,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Higher the advertisement clutter ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Lower the level of ad recall,,,,,,
,     Higher the level of ad recall,,,,,,
,      No correlation with ad recall,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Identify the correct statement ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Ads in middle of commercial break is less affected by clutter,,,,,,
,     Ads in beginning and end of commercial break is less affected by clutter,,,,,,
,      Clutter indifferently affects all advertisements,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following item doesn’t belong to high involvement-informational cell of The Roseiter Percy grid? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Microwave oven,,,,,,
,     Insurance,,,,,,
,      Home renovation,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following item doesn’t belong to low involvement-informational cell of The Roseiter Percy grid? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Aspirin,,,,,,
,     Light beer,,,,,,
,      Detergent,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Which of the following item doesn’t belong to low involvement-transformational cell of The Roseiter Percy grid? ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Vacations,,,,,,
,     Fashion clothing,,,,,,
,      Cars,,,,,,
,     None of the above,,,,,,
,,,,,,,
,   Which of the following item doesn’t belong to high involvement-transformational cell of The Roseiter Percy grid? ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Vacations,,,,,,
,     Candy,,,,,,
,     Aspirin,,,,,,
,     New industrial products,,,,,,
,,,,,,,
,   Which of the following can act as a block or enhancer for an emotional response? ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Empathy,,,,,,
,     Believability,,,,,,
,     Attitude,,,,,,
,     All the above,,,,,,
,,,,,,,
,   The appearance of truth or the depiction of realism is so called ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Reality,,,,,,
,     Verisimilitude,,,,,,
,      Credibility,,,,,,
,     All the above,,,,,,
,,,,,,,
,   Empathy tend of higher in commercials when ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Characters are similar to customers,,,,,,
,     Setting are familiar,,,,,,
,      Both a and b,,,,,,
,     Neither a nor b,,,,,,
,,,,,,,
,   Attitude to the ad to be higher if the ad is ,D,M,Theory,Single Choice,Marketing: Adveritising,
,     Is more credible,,,,,,
,     Evokes positive/likeable feelings,,,,,,
,      Uses humour,,,,,,
,     All the above,,,,,,
,,,,,,,
,   The kind of influence in which consumers identify with a group to enhance their self image and ego with a group’s norm to gain rewards or to avoid punishments ,A,M,Theory,Single Choice,Marketing: Adveritising,
,     Normative influence,,,,,,
,     Informative influence,,,,,,
,      Both a and b,,,,,,
,     Neither a nor b,,,,,,
,,,,,,,
,   Which of the following pertains to situation in which low knowledge customers seek information from other people ,B,M,Theory,Single Choice,Marketing: Adveritising,
,     Normative Influence,,,,,,
,     Informative Influence,,,,,,
,      Both a and b,,,,,,
,     Neither a nor b,,,,,,
,,,,,,,
,     Which is of the following involves persuasive communication directed owards a single individual in an interpersonal mode ? ,C,M,Theory,Single Choice,Marketing: Adveritising,
,     Advertising,,,,,,
,     Direct mail,,,,,,
,      Salesmanship,,,,,,
,     None of the above,,,,,,
,,,,,,,
,     Which of the following is also “below the line activity”? ,b,M,Theory,Single Choice,Marketing: Adveritising,
,     Publicity,,,,,,
,     Sales promotion,,,,,,
,      Public relations,,,,,,
