,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,People who share similar needs and wants and who have the ability to purchase a given product are called ,B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Segment,,,,,,
, Market,,,,,,
, Consumer Group,,,,,,
, Category,,,,,,
,,,,,,,
,The group of people most likely to become customers and that is identified for a specific marketing program is the,A,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Target Group,,,,,,
, Consumer Group,,,,,,
, Market Group,,,,,,
, Relevant Group,,,,,,
,,,,,,,
,"A __ lists information about the target market such as age, income level, ethnic background, occupation, attitudes, lifestyle and geographic residence.",C,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Market Profile,,,,,,
, Customer Data,,,,,,
, Customer Profile,,,,,,
, Target Market,,,,,,
,,,,,,,
,Internal factors that affect a business operation.,D,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
," Strengths, Opportunities",,,,,,
," Weaknesses, threats",,,,,,
," Opportunities, Threats",,,,,,
," Strengths, Weaknesses",,,,,,
,,,,,,,
,"A formal, written, document that directs a company's activities for a specific period of time is a",A,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Marketing Plan,,,,,,
, Marketing Research,,,,,,
, Marketing Forecast,,,,,,
, Market Data,,,,,,
,,,,,,,
,"An analysis of a company's strengths, weaknesses and the opportunities and threats that surround it.",C,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Industry analysis,,,,,,
, Company Analysis,,,,,,
, SWOT Analysis,,,,,,
, Trend analysis,,,,,,
,,,,,,,
,"Statistics that describe a population in terms of personal characteristics such as age, gender, income, marital status",B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Demographic,,,,,,
, Psychologic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,"Grouping people with similar lifestyles, shared values, attitudes and opinions",C,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Demographic,,,,,,
, Psychographics,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,Involves using a single marketing strategy to reach all customers,B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Mass Targeting,,,,,,
, Mass Marketing,,,,,,
, Market Segmentation,,,,,,
, Market Targeting,,,,,,
,,,,,,,
,"Malcolm Sanders, a graduate student from Queenstown, makes customized snowboards for local snowboarding enthusiasts. The demand for snowboards peaks during the winter months, a busy time for Malcolm. He advertises more aggressively and sells most of his snowboards around this time. Which market segmentation approach does Malcolm most likely use?",B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Geographic,,,,,,
, Life-Cycle,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,When a customer reviews the benefits they will receive from a product they are demonstrating which type of segmentation,D,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Geographic,,,,,,
, Demographic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,"Gilron Holidays runs a premium membership club that caters to customers whose annual salary exceeds $100,000. Members of this club are offered seasonal discounts on select luxury hotels in select cities worldwide. Gilron Holidays most likely follows a(n) _segmentation approach.",C,M,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Geographic,,,,,,
, Demographic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,A potential customer who enjoy playing sports describes which type of segmentation?,B,M,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Psychographic,,,,,,
, Demographic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,Tata Motorworks markets its cars based on the age and income of its customers. Which of the following types of market segmentation is evident here?,C,M,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Psychographic,,,,,,
, Demographic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,"""Many companies today are localizing their products, advertising, promotion, and sales efforts to fit the needs of individual regions, cities, and neighborhoods."" This is an example of ____ segmentation.",B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Sociographic,,,,,,
, Geographic,,,,,,
, Demographic,,,,,,
, Behavioralistics,,,,,,
,,,,,,,
,KFC profitability has been rising for the past few years and is now 14%. The company also outmatches its nearest competitors with 24.54% return on investment and 29.16% return on equity.,A,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Strength,,,,,,
, Weakness,,,,,,
, Opportunity ,,,,,,
, Threat ,,,,,,
,,,,,,,
,"There are great opportunities for outlets in China and India, in which KFC has comparably only modest number of restaurants.",C,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Strength,,,,,,
, Weakness,,,,,,
, Opportunity ,,,,,,
, Threat ,,,,,,
,,,,,,,
,"Rising prices of coffee beans and dairy products. The Starbucks chain strongly depends on the coffee beans and dairy products prices, which Starbucks cannot control or can hardly estimate.",D,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Strength,,,,,,
, Weakness,,,,,,
, Opportunity ,,,,,,
, Threat ,,,,,,
,,,,,,,
,"The corporate continuously receives negative publicity over its poorefforts of becoming greener company, tax evasions and poor treatment of some suppliers.",B,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Strength,,,,,,
, Weakness,,,,,,
, Opportunity ,,,,,,
, Threat ,,,,,,
,,,,,,,
,What is product positioning?,A,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
," Arranging for a product to occupy a clear, distinctive, and desirable place in the minds of target consumers relative to competing products",,,,,,
, A group of consumers who respond in a similar way to a given set of marking stimuli.,,,,,,
, A component of a SWOT analysis,,,,,,
, The process of evaluating each market segments attractiveness and selecting one or more segments to enter.,,,,,,
,,,,,,,
,The value chain for distribution shows a direct marketing farmer deals directly with consumers. But some farmers will need to use brokers and agents to sell their product. Each segment of the value chain takes a profit off your product. Which of the following statements is NOT true?,D,M,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Retailer takes a 25% markup over cost,,,,,,
, A distributor buys at 35% of retail,,,,,,
," If a product retails at $1.00 and it is sold through a  distributor, the product must be profitably manufactured, packaged, marketed and shipped for $0.35.",,,,,,
, All true,,,,,,
,,,,,,,
,"Creating a business and marketing plan, and committing it to paper",C,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
, Helps you think everything through ,,,,,,
, Provides something you can provide to potential funders to help them understand your business,,,,,,
, A & B,,,,,,
," Having it in your head is enough, writing it down is a waste of time.",,,,,,
,,,,,,,
,The Executive summary,D,E,Theory,Single Choice,Marketing: Market Research: Forecasting,
," Summarizes the plan for readers
",,,,,,
, written first,,,,,,
,"  written last, but placed first in the plan
",,,,,,
, A and C,,,,,,
