,Question,Answer,Level,Category,Type,Skills,Answer Description,
,Who invented the concept of Brand Management?,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Nike,,,,,,,
,HUL,,,,,,,
,Proctor &Gamble,,,,,,,
,Reebok,,,,,,,
,,,,,,,,
,Identify the wrong match,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Colgate - Descriptive Brand Name,,,,,,,
,Pandora - Suggestive Brand Name,,,,,,,
,Starbucks - Freestanding Brand Name,,,,,,,
,Ujala - Descriptive Brand Name,,,,,,,
,,,,,,,,
,Colgate toothbrush builds its image along with the Colgate Tooth paste. This is an Example for:,B,M,Theory,Single Choice,Marketing:Distribution,,
,Associate Marketing,,,,,,,
,Piggybacking,,,,,,,
,Free-riding,,,,,,,
,Combined marketing,,,,,,,
,,,,,,,,
,Which is the example where Social Media was involved in Piggybacking ?,C,H,GK,Single Choice,Marketing,,
,Socialmoms,,,,,,,
,Yahookids,,,,,,,
,Twittermoms,,,,,,,
,FBBuddies,,,,,,,
,,,,,,,,
,Umbrella Brands are also called thhe following except,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Corporate Brands,,,,,,,
,Family Brands,,,,,,,
,Cluster Brands,,,,,,,
,None of the above,,,,,,,
,,,,,,,,
,The brand positioning error where the customers have too limited a awareness of the brand is called:,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Underpositioning,,,,,,,
,Confused positioning,,,,,,,
,Over positioning,,,,,,,
,Double positioning,,,,,,,
,,,,,,,,
,Which of the following is not a types of brand valuation method?,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Income Approach,,,,,,,
,Cost Approach,,,,,,,
,Price Approach,,,,,,,
,Market Approach,,,,,,,
,,,,,,,,
,"When I buy or use this brand, I am __________________. This type of positioning is called:",C,E,Theory,Single Choice,Marketing:Brand Management,,
,Functional Positioning,,,,,,,
,Emotional Positioning,,,,,,,
,Self-Expressive Positioning,,,,,,,
,Relational Positioning,,,,,,,
,,,,,,,,
,"When Colgate promises to kill germs on use, it can be categorised under?",A,E,Theory,Single Choice,Marketing:Brand Management,,
,Functional Benefit Positioning,,,,,,,
,Relational Benefit Positioning,,,,,,,
,Usage Occasion Positioning,,,,,,,
,Emotional Benefit Positioning,,,,,,,
,,,,,,,,
,"According to the consumer, what the brand thinks about the consumer is very important. This is called?",D,M,Theory,Single Choice,Marketing:Brand Management,,
,Brand equity,,,,,,,
,Brand identity,,,,,,,
,Brand Relationship,,,,,,,
,Brand attitude,,,,,,,
,,,,,,,,
,Steve jobs changed the name of Apple Computers to Apple. What part of the brand positioning statement did he change??,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Point of difference,,,,,,,
,Frame of reference,,,,,,,
,Target Segment,,,,,,,
,None of the above,,,,,,,
,,,,,,,,
,PRIZM is a segmentation scheme that defines the country based on what type of clusters?,A,H,Theory,Single Choice,Marketing:Consumer Marketing,,
,Cohorts,,,,,,,
,Geographic,,,,,,,
,Demographic,,,,,,,
,Ocupational,,,,,,,
,,,,,,,,
,Which of the following is an example of a generic brand?,D,M,Theory,Single Choice,Marketing:Brand Management,,
,Coca-Cola,,,,,,,
,P&G,,,,,,,
,Apple,,,,,,,
,Kroger,,,,,,,
,,,,,,,,
,"""Intel Inside"" is the example for:",B,M,Theory,Single Choice,Marketing:Brand Management,,
,Effective Packaging,,,,,,,
,Ingredient Co-Branding,,,,,,,
,Join Venture,,,,,,,
,Bundling,,,,,,,
,,,,,,,,
,Whole Foods goes beyond groceries to reach nutritionally aware consumers who will likely pay a premium for the health benefits of organic food.,B,E,Theory,Single Choice,Marketing:Consumer Marketing,,
,This is an example for:,,,,,,,
,New Product Market,,,,,,,
,Niche Market Strategy,,,,,,,
,Generic Market Strategy,,,,,,,
,None of the above,,,,,,,
,,,,,,,,
,Example for a free-standing Brand Name :,D,E,Theory,Single Choice,Marketing:Brand Management,,
,Whisper,,,,,,,
,Frooti,,,,,,,
,Surf,,,,,,,
,Fidji,,,,,,,
,,,,,,,,
,Who is the Father of Modern Branding?,A,M,Theory,Single Choice,Marketing:Brand Management,,
,David Aaker,,,,,,,
,Philip Kotler,,,,,,,
,Scott Galloway,,,,,,,
,Chris Brogan,,,,,,,
,,,,,,,,
,A Logo is a Brand . True or False,B,E,Theory,Single Choice,Marketing:Brand Management,,
,TRUE,,,,,,,
,FALSE,,,,,,,
,,,,,,,,
,"The relative possibility of customer shifting to another brand in case there is a change in product’s features, price or quality is called",B,E,Theory,Single Choice,Marketing:Brand Management,,
,Brand attitude,,,,,,,
,Brand Loyalty,,,,,,,
,Brand retention,,,,,,,
,Brand Movement,,,,,,,
,,,,,,,,
,Brand Loyalty is developed :,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Since Brand inception,,,,,,,
,Through word of mouth,,,,,,,
,Post-purchase,,,,,,,
,Through Advertisements,,,,,,,
,,,,,,,,]
,Identify the incorrect match,D,E,Gk,Single Choice,Marketing,,
,Mc-Donalds- Ronald,,,,,,,
,Nike- Swoosh,,,,,,,
,Pillsbury- Doughboy,,,,,,,
,Malboro-Tomboy,,,,,,,
,,,,,,,,
,Which one constitutes part of a Descriptive Brand Name?,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Xerox,,,,,,,
,Babool,,,,,,,
,Starbucks,,,,,,,
,Fidji,,,,,,,
,,,,,,,,
,"The brands that revolve around communities of fierce advocates, are called:",A,M,Theory,Single Choice,Marketing:Brand Management,,
,Cult Brands,,,,,,,
,Activist Brands,,,,,,,
,Clean-slate Brand,,,,,,,
,Challenger Brand,,,,,,,
,,,,,,,,
,"Coca-Cola Launched ""Diet Coke"" and ""Cherry Coke"". This is an example for:",C,M,Theory,Single Choice,Marketing:Brand Management,,
,Brand Expansion,,,,,,,
,Brand Extension,,,,,,,
,Line Extension,,,,,,,
,Over-Extension,,,,,,,
,,,,,,,,
,The problem with excessive Brand extension is:,A,M,Theory,Single Choice,Marketing:Brand Management,,
,Over-dilution,,,,,,,
,Hyper-dilution,,,,,,,
,Under dilution,,,,,,,
,Over pricing,,,,,,,
,,,,,,,,
,With which brand would you associate the #AppWapasi controversy,B,M,GK,Single Choice,Marketing,,
,Amazon,,,,,,,
,Snapdeal,,,,,,,
,Flipkart,,,,,,,
,E-bay,,,,,,,
,,,,,,,,
,Wills LifeStyle is an individual Brand that comes under the Umbrella Brand:,A,E,GK,Single Choice,Marketing,,
,ITC,,,,,,,
,Pantaloons,,,,,,,
,Arvind,,,,,,,
,Aditya Birla,,,,,,,
,,,,,,,,
,Find the Right Match,B,E,GK,Single Choice,Marketing,,
,Aquafina-CocaCola,,,,,,,
,Yardley-Wipro,,,,,,,
,KitKat-Cadbury,,,,,,,
,Bourneville-Nestle,,,,,,,
,,,,,,,,
,Concept of viewing brands as belief complexed system is classified as,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Strength Branding,,,,,,,
,Potential Branding,,,,,,,
,Primal Branding,,,,,,,
,Threaten Branding,,,,,,,
,,,,,,,,
,Product or set of products that has functions as close substitutes are called:,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Position Membership,,,,,,,
,Category Membership,,,,,,,
,Target Membership,,,,,,,
,Substitute Membership,,,,,,,
,,,,,,,,
,Which of the following is not an example of PRIZM Clusters?,D,M,Theory,Single Choice,Marketing:Consumer Marketing,,
,Baby Boomers,,,,,,,
,Young Digerati,,,,,,,
,The Cosmopolitans,,,,,,,
,The X-people,,,,,,,
,,,,,,,,
,What is the full form of PRIZM?,A,E,Theory,Single Choice,Marketing:Consumer Marketing,,
,Potential Rating Index by Zip Markets,,,,,,,
,Periodic Rating Indices by Zip Markets,,,,,,,
,Potential Rating Index By Zee Markets,,,,,,,
,Periodic Rating Index by Zee Markets,,,,,,,
,,,,,,,,
,Which is not a part of the categories of broad division in PRIZM?,C,M,Theory,Single Choice,Marketing:Consumer Marketing,,
,Family Life cycle,,,,,,,
,Race and ethnicity,,,,,,,
,Hobbies and Habits,,,,,,,
,Urbanization,,,,,,,
,,,,,,,,
,How many primary grous are people divided into based on the VALS framework for psychographic segmentation?,B,H,Theory,Single Choice,Marketing:Consumer Marketing,,
,Six,,,,,,,
,Eight,,,,,,,
,Ten,,,,,,,
,Seven,,,,,,,
,,,,,,,,
,People play five main roles in a buying decision. Which among the following is not one among them?,A,H,Theory,Single Choice,Marketing:Consumer Marketing,,
,Rejector,,,,,,,
,User,,,,,,,
,Initiator,,,,,,,
,Influencer,,,,,,,
,,,,,,,,
,Consumers who are loyal to two or three brands are called:,A,H,Theory,Single Choice,Marketing:Brand Management,,
,Split-loyals,,,,,,,
,Switchers,,,,,,,
,Multi-Loyals,,,,,,,
,Part-loyals,,,,,,,
,,,,,,,,
,"Subway restaurants are positioned to provide healthy good tasting sandwiches, that give them an edge over McDonalds and Burger King. What type of positiong have they used?",B,H,Theory,Single Choice,Marketing:Brand Management,,
,Competitive Positioning,,,,,,,
,Straddle Positioning,,,,,,,
,Differential Positioning,,,,,,,
,Superior Positioning,,,,,,,
,,,,,,,,
,Which of the following is a set of promises that the brand makes to customers?,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Brand Association,,,,,,,
,Brand Contract,,,,,,,
,Brand Promise,,,,,,,
,Brand Word,,,,,,,
,,,,,,,,
,"Suppose Allen Solly, decides to move into a brand of perfumes, this refers to the example of:",A,M,Theory,Single Choice,Marketing:Brand Management,,
,Complementarity,,,,,,,
,Transferability,,,,,,,
,Product Elongation,,,,,,,
,Manufacturing difficulty,,,,,,,
,,,,,,,,
,Benefit of premium pricing is obtained under:,B,E,Theory,Single Choice,Marketing:Brand Management,,
,Family Brand Strategy,,,,,,,
,Umbrella Brand Strategy,,,,,,,
,Product Brand Strategy,,,,,,,
,Line Brand Strategy,,,,,,,
,,,,,,,,
,What is the strategy of using the company brand name for its every product called?,B,H,Theory,Single Choice,Marketing:Brand Management,,
,House of products,,,,,,,
,Branded house strategy,,,,,,,
,Family brands,,,,,,,
,House of Brands,,,,,,,
,,,,,,,,
,What is the number of common and distinctive elements in a brand reflected as?,A,M,Theory,Single Choice,Marketing:Brand Management,,
,Brand Architecture,,,,,,,
,Brand Attributes,,,,,,,
,Brand Value,,,,,,,
,Brand Components,,,,,,,
,,,,,,,,
,Branding strategies which are alternatively used by marketers does not include which of the following:,A,M,Theory,Single Choice,Marketing:Brand Management,,
,Variants,,,,,,,
,Sub-brand Names,,,,,,,
,Individual Brand Names,,,,,,,
,Company Brand Names,,,,,,,
,,,,,,,,
,The offerings of all the brands and products by a company is called:,A,E,Theory,Single Choice,Marketing:Brand Management,,
,Brand portfolio,,,,,,,
,Corporate portfolio,,,,,,,
,Company portflio,,,,,,,
,Brand-line portfolio,,,,,,,
,,,,,,,,
,Certain brands are introduced in markets to compete with other brands. These brands are called:,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Substitutes,,,,,,,
,Flankers,,,,,,,
,Suprressors,,,,,,,
,Variants,,,,,,,
,,,,,,,,
,Customer preferences and tastes can be represented visually using:,B,M,Theory,Single Choice,Marketing:Consumer Marketing,,
,Graphs,,,,,,,
,Perceptual Maps,,,,,,,
,X-O-C Plots,,,,,,,
,Visual Maps,,,,,,,
,,,,,,,,
,Placing Focus on the opinions and evaluations of customers can be called:,C,M,Theory,Single Choice,Marketing:Brand Management,,
,Customer importance,,,,,,,
,Brand Relations,,,,,,,
,Brand Judgement,,,,,,,
,Brand resonance,,,,,,,
,,,,,,,,
,Customers plan little before buying what kind of products?,B,M,Theory,Single Choice,Marketing:Brand Management,,
,Impulse Products,,,,,,,
,Convenient Products,,,,,,,
,Sought products,,,,,,,
,Speciality Products,,,,,,,
,,,,,,,,
,The effective process with which the  existing brand equity has leveraged to a new product is considered as,C,E,Theory,Single Choice,Marketing:Brand Management,,
,Equity Extension,,,,,,,
,Brand Extension,,,,,,,
,Potential Extension,,,,,,,
,Product Extension,,,,,,,
