,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,The intel inside tune is a brand mark,A,M,Theory,Single Choice,Marketing:Brand Management,
, True,,,,,,
, False,,,,,,
,,,,,,,
,One way of classifying brands is,C,M,Theory,Single Choice,Marketing:Brand Management,
," Personal, Private, Public",,,,,,
," Private, Personal, Family",,,,,,
," Personal, Individual, Family",,,,,,
," Private, Individual, Personal",,,,,,
,,,,,,,
,Dove is an example of,C,E,Theory,Single Choice,Marketing:Brand Management,
, Personal branding,,,,,,
, Individual Branding,,,,,,
, Family Branding,,,,,,
, None,,,,,,
,,,,,,,
,P&G is an example of,B,M,Theory,Single Choice,Marketing:Brand Management,
, Personal branding,,,,,,
, Individual Branding,,,,,,
, Family Branding,,,,,,
, None,,,,,,
,,,,,,,
,One who represents the product on behalf of the company is called,D,E,Theory,Single Choice,Marketing:Brand Management,
, Brand Facilitator,,,,,,
, Brand Manager,,,,,,
, Brand Pusher,,,,,,
, Brand Ambassodor,,,,,,
,,,,,,,
,What are the different types of brand extension?,A,M,Theory,Single Choice,Marketing:Brand Management,
, Line and Category,,,,,,
, Product and Line,,,,,,
, Product and Category,,,,,,
, Category and Line,,,,,,
,,,,,,,
,"Attempting to change the identity of competing products, 
relative to the identity of your own product, in the
collective minds of the target market",C,E,Theory,Single Choice,Marketing:Brand Management,
, Positioning,,,,,,
, Re-positioning,,,,,,
, De-positioning,,,,,,
, None,,,,,,
,,,,,,,
,Which is NOT in three C's of branding,C,M,Theory,Single Choice,Marketing:Brand Management,
, Clarity,,,,,,
,Consistency,,,,,,
, Complacency,,,,,,
, Constancy,,,,,,
,,,,,,,
,Pillsbury brownies with Nestle chocolate is an example of what type of co-branding.,B,M,Theory,Single Choice,Marketing:Brand Management,
, Same company,,,,,,
, Multiple sponsors,,,,,,
, Ingredient,,,,,,
, Joint Venture,,,,,,
,,,,,,,
,In keller's brand equity model. what is the parameter in the bottom most level of pyramid?,C,H,Theory,Single Choice,Marketing:Brand Management,
,Resonance,,,,,,
,Performance,,,,,,
,Salience,,,,,,
,Feelings,,,,,,
,,,,,,,
,Which model explains the four questions asked about your brand by the consumer?,B,M,Theory,Single Choice,Marketing:Brand Management,
, Kotler's Branding model,,,,,,
, Keller's Brand equity model,,,,,,
, Kotler's brand value framework,,,,,,
, None,,,,,,
,,,,,,,
,Scenario in which the customer‘s have a blurred and unclear ,A,M,Theory,Single Choice,Marketing:Brand Management,
, Under positioning,,,,,,
, Over positioning,,,,,,
