,Question,Correct Answer,Level,category,type,Skills,Answer Description
,Which of the following is not a level of meaning for a product?,B,M,Theory,Single Choice,Marketing:Product Development,
,Core Benfit Level,,,,,,
,Extended Product Level,,,,,,
,Augmented Product Level,,,,,,
,Potential Product Level,,,,,,
,,,,,,,
,________ is the act of setting a distinctive image of the brand in the minds of the consumer.,D,E,Theory,Single Choice,Marketing,
,Differentiation,,,,,,
,Targeting,,,,,,
,Segmentation,,,,,,
,Positioning,,,,,,
,,,,,,,
,Geographic locations can also be a brand. ,A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Which of the following is not a factor and rationale behind enduring brand leadership?
 ",D,H,Theory,Single Choice,Marketing:Brand Management,
,Managerial Persistence,,,,,,
,Financial Commitment,,,,,,
,Asset Leverage,,,,,,
,Increasing stakeholders' worth,,,,,,
,,,,,,,
,Various Brands have added new products under their brand umbrella. This is known as _____.,B,M,Theory,Single Choice,Marketing:Brand Management,
,Line Extension,,,,,,
,Brand Proliferation,,,,,,
,Brand Extension,,,,,,
,Brand broadening,,,,,,
,,,,,,,
,"Differences in outcomes arise from the “added value” endowed to a product as a result of
 past marketing activity for the brand. True or False ? ",A,H,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is not a part of the strategic brand management process?,A,H,Theory,Single Choice,Marketing:Brand Management,
,Developing market research,,,,,,
,Designing and implementing brand marketing programs,,,,,,
,Measuring and interpreting brand performance,,,,,,
,Growing and sustaining brand equity,,,,,,
,,,,,,,
,"
 'Brand tracking studies mainly focuses on qualitative aspects of brand performance'",B,H,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is not a step in making a brand equity management system?,B,H,Theory,Single Choice,Marketing:Brand Management,
,Creating Brand Equity charters.,,,,,,
,Creating Brand equity reports,,,,,,
,Assembling Brand Equity reports,,,,,,
, Defining brand equity responsibilties,,,,,,
,,,,,,,
,"The brand portfolio is the set of different brands that a particular firm offers for
 sale to buyers in a particular category. True or False? ",A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The brand hierarchy displays the number and nature of
 common and distinctive brand components across the firm’s set of brands. True or False? ",A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False? An important consideration in managing brand equity is recognizing and
 accounting for different types of consumers in developing branding and marketing programs.",A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False? Positioning requires defining our desired or ideal brand knowledge structures and establishing
 points-of-parity and points-of-difference to establish the right brand identity and brand
 image.",A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
," The associative network memory model views memory as a network of nodes and connecting
 links, in which nodes represent stored information or concepts, and links represent the strength of association between the nodes. True or False?",A,H,Theory,Multiple Correct,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,______ includes two visual signs of a brand - its character and its logo.,C,M,Theory,Single Choice,Marketing:Brand Management,
,Brand Awareness,,,,,,
,Brand Identity,,,,,,
,Brand Symbol,,,,,,
,Brand Image,,,,,,
,,,,,,,
," The elaboration-likelihood
 model is consistent with the notion that consumers may make choices based on brand
 awareness considerations when they have high involvement. True or False?",B,H,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is not a type of Point of Parity?,D,H,Theory,Single Choice,Marketing:Brand Management,
,Category POP,,,,,,
,Competitive POP,,,,,,
,Correlational POP,,,,,,
,Cooperative POP,,,,,,
,,,,,,,
," Correlational points-of-parity are those potentially negative associations that arise from
 the existence of other, more positive associations for the brand. True or False?",A,H,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"_______ brand philosophy of “Food, Folks, and Fun” nicely captures its brand essence  and core brand promise.",A,E,GK,Single Choice,Marketing,
,McDonald’s,,,,,,
,Burger King,,,,,,
,White Castle,,,,,,
,Subway,,,,,,
,,,,,,,
," The brand functions term describes the nature of the product or service or the type of
 experiences or benefits the brand provides. True or False?",A,E,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
," The brand resonance model looks at building a brand as a sequence of steps, each of which is
 contingent on successfully achieving the objectives of the previous one. True or False?",A,M,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
, Brand salience measures various aspects of the awareness of the brand and how easily and often the brand is evoked under various situations or circumstances. True or False?,A,M,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
," A highly salient brand is one that has both depth and breadth of brand awareness, such
 that customers always make sufficient purchases as well as always think of the brand across a variety
 of settings in which it could possibly be employed or consumed. True or False?",A,M,Theory,Multiple Correct,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,_______ are customers’ emotional responses and reactions to the brand. Brand feelings  also relate to the social currency evoked by the brand.,A,E,Theory,Single Choice,Marketing:Brand Management,
,Brand feelings,,,,,,
, Brand Quality,,,,,,
,Brand Credibility,,,,,,
,Brand Consideration,,,,,,
,,,,,,,
," We can gauge behavioral loyalty in terms of repeat purchases and the
 amount or share of category volume attributed to the brand, that is, the “share of category requirements.” True or False?",A,M,Theory,Single Choice,Marketing:Brand Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"True or False? Act marketing targets physical behaviors, lifestyles, and interactions.",A,M,Theory,Single Choice,Marketing,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Cornelius (Corny) Rooster is the name of the mascot used by which brand?,A,E,GK,Single Choice,Marketing,
,Kellogs,,,,,,
,KFC,,,,,,
,Gatorade,,,,,,
,Taco Bell,,,,,,
,,,,,,,
,Coco the Monkey is the name of the mascot used by which company?,A,E,GK,Single Choice,Marketing,
,Kellogs,,,,,,
,McDonalds,,,,,,
,Gatorade,,,,,,
,KFC,,,,,,
,,,,,,,
,Whose brand slogan is this - Fly the Friendly Skies?,B,E,GK,Single Choice,Marketing,
,Indigo,,,,,,
,United Airlines,,,,,,
,SouthWest,,,,,,
,Federal Express,,,,,,
,,,,,,,
,"Experiential marketing promotes a product by not only communicating
 a product’s features and benefits but also connecting it with unique and interesting
 consumer experiences. True or False? ",A,M,Theory,Single Choice,Marketing,
,TRUE,,,,,,
,FALSE,,,,,,
