,Question,Answer,Level,Category,Type,Skill,Answer Description,Type
1,Which is not one of the three fundamental methods of firm valuation?,D,E,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
, Discounted Cash flow,,,,,,,
, Income or earnings,,,,,,,
, Balance sheet,,,,,,,
, Market Share,,,,,,,
,,,,,,,,
2,What should be the objective of a manager,C,E,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
,Maximize the current period's net income,,,,,,,
, Minimize expenses,,,,,,,
, Maximize shareholder wealth,,,,,,,
, Maximize revenue,,,,,,,
,,,,,,,,
4,Compound interest concept refers to,B,M,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
,Payment of interest on previously earned interest,,,,,,,
,Earning interest on the original investment,,,,,,,
,Determining the EAR of the investment,,,,,,,
,Investing for a multi-year period of time,,,,,,,
,,,,,,,,
5,Which of the following statements is correct regarding the internal rate of return (IRR) method?,A,M,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
,"As long as you are not dealing with mutually exclusive projects, capital rationing, or unusual projects having multiple sign changes in the cash-flow stream, the internal rate of return method can be used with reasonable confidence.",,,,,,,
,Each project has a unique internal rate of return,,,,,,,
,The internal rate of return is rarely used by firms today because of the ease at which net present value is calculated.,,,,,,,
,The internal rate of return does not consider the time value of money.,,,,,,,
,,,,,,,,
6,High P/E ratios tend to indicate that a company will,B,E,Theory,Single Choice,corporate Finance: financial analysis: corporate banking: financial reporting,,
,grow slowly,,,,,,,
,grow quickly,,,,,,,
,grow at the same speed as the average company,,,,,,,
,not grow,,,,,,,
,,,,,,,,
7,Capital investment,C,M,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
,Is only undertaken by large corporations,,,,,,,
,Applies only to investment in fixed assets,,,,,,,
,Has the prospect of long term benefit,,,,,,,
,Has the prospect of short term benefit,,,,,,,
,,,,,,,,
8,Which of the performance evaluation methods takes into consideration tax effects?,A,M,Theory,Single Choice,corporate Finance: financial analysis: corporate banking,,
,Economic value added,,,,,,,
,Residual income,,,,,,,
,Return on sales,,,,,,,
,Return on investment,,,,,,,
,,,,,,,,
9,"The number of shares outstanding multiplied by the original selling price of the shares, net of par value is:",C,M,Theory,Single Choice,corporate Finance: financial analysis: corporate banking: trading,,
,the value of common stock outstanding.,,,,,,,
,The retained earnings attributable to common stock.,,,,,,,
,Paid-in capital in excess of par,,,,,,,
,None of the above,,,,,,,
,,,,,,,,
10,"If you are trying to calculate the future invested value of a cash flow made today and invested for a set period of time, which of the following would give the greatest value?",D,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,Annual compounding,,,,,,,
,Semi-annual compounding,,,,,,,
,Quarterly compounding,,,,,,,
,Continuous compounding,,,,,,,
,,,,,,,,
16,Two mutually exclusive projects are being considered. Neither project will be repeated again in the future after their current lives are complete. There exists a potential problem though -- the expected life of the first project is one year and the expected life of the second project is three years. This has caused the NPV and IRR methods to suggest different project preferences. What technique can be used to help make a better decision in this scenario?,B,M,Logical,Single Choice,Corporate Finance: financial analysis,,
,Use the common-life technique to replicate the one-year project three times and recalculate the NPV and IRR for the one-year project.,,,,,,,
,Rely on the NPV method and make your choice as it will tell you which one is best.,,,,,,,
,"In this situation, we need to rely on the profitability index (PI) method and choose the one with the highest PI.",,,,,,,
,Ignore the NPV technique and simply choose the highest IRR since managers are concerned about maximizing returns.,,,,,,,
,,,,,,,,
1,Bonds issued by state and local governments are called:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, corporate bonds,,,,,,,
,municipal bonds.,,,,,,,
, treasury bonds.,,,,,,,
, government agency bonds,,,,,,,
,,,,,,,,
2,A bond that gives the issuer the right to repurchase in the future at a predetermined price is:,B,H,Theory,Single Choice,Corporate Finance: financial analysis,,
,a putable bond.,,,,,,,
,a callable bond.,,,,,,,
, a purchasable bond..,,,,,,,
,called an option bond.,,,,,,,
,,,,,,,,
3,The value of any bond should be:,B,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, the sum total of all the coupon receipts as well as the principal repayment at the bond's maturity.,,,,,,,
, the present value of all the coupon receipts as well as the principal repayment at the bond's maturity.,,,,,,,
, the future value of all the coupon receipts as well as the principal repayment at the bond's maturity.,,,,,,,
,none of the above.,,,,,,,
,,,,,,,,
4,An option that the lead underwriter may exercise to sell as much as an additional 15% or more shares than originally planned is called:,C,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, a call option,,,,,,,
,an oversubscription option.,,,,,,,
,a green shoe option.,,,,,,,
, all of the above.,,,,,,,
,,,,,,,,
5,"When an investment banker sells equity for a firm but makes no guarantee about the ultimate success of the offering, he or she is selling the securities under:",B,E,Theory,Single Choice,Corporate Finance: financial analysis: investment banking,,
, a firm commitment offering.,,,,,,,
,a best-efforts offering.,,,,,,,
, a competitively bid offering,,,,,,,
,none of the above.,,,,,,,
,,,,,,,,
13,The risk that covers events like unexpected changes in the economy refers to:,A,E,Theory,Single Choice,Corporate Finance: financial analysis: macroeconomics,,
, systematic risk,,,,,,,
, unsystematic risk,,,,,,,
,total risk,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
14,The beta of a US Treasury bill is equal to,B,E,GK,Single Choice,Corporate Finance: financial analysis,,
, One,,,,,,,
, Zero,,,,,,,
, Negative one,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
15,"A portfolio that is so diversified that it contains at least some of every available risky asset in the economy, in the same proportion of that asset's value to the market value of all assets, is called:",B,E,Theory,Single Choice,Corporate Finance: financial analysis: portfolio management,,
, the riskless portfolio.,,,,,,,
, the market portfolio.,,,,,,,
, the unsystematic portfolio.,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
