,Question,Correct answer,Level,Category,Type,Skills,Answer Description
,Search engine with biggest market share in china ,A,E,Theory,Single Choice,Marketing: Digital Marketing,
, Baidu ,,,,,,
, Yandex ,,,,,,
, Bing ,,,,,,
, Google,,,,,,
,,,,,,,
,"Popular search engine in Russia
",A,E,Theory,Single Choice,Marketing: Digital Marketing,
,"	Yandex
",,,,,,
,"	Naver
",,,,,,
,"	Baidu
",,,,,,
,	Wolfram alpha,,,,,,
,,,,,,,
,The primary role of an SEO is ,A,E,Theory,Single Choice,Marketing: Digital Marketing,
,"	Organic Ranking
",,,,,,
,"	Paid ranking
",,,,,,
,"	Internet users
",,,,,,
,	IT Teams,,,,,,
,,,,,,,
,"Search engines gain and retain users by providing which of the following?
",A,M,Theory,Single Choice,Marketing: Digital Marketing,
,"	Providing most relevant search results
",,,,,,
,"	Providing most inexpensive paid search ads
",,,,,,
,"	Providing the most search results
",,,,,,
,	Providing the most incentives and giveaways,,,,,,
,,,,,,,
,How does a search engine gather information ,B,M,Theory,Single Choice,Marketing: Digital Marketing,
,"	Websites are submitted directly to the search engines
",,,,,,
,"	Search engine software follows links from website to website
",,,,,,
,"	The W3 validates websites and supplies site info to search engines
",,,,,,
,	Web directories are crawled and catalogued,,,,,,
,,,,,,,
,"Which is the most important on page factor
",A,M,Theory,Single Choice,Marketing: Digital Marketing,
,"	Title tag
",,,,,,
,"	Meta description
",,,,,,
,"	Internal links
",,,,,,
,	Site maps,,,,,,
,,,,,,,
,"For search engines to “read” what is in an image, which of the following is required
",A,M,Theory,Single Choice,Marketing: Digital Marketing,
,	Image alt text ,,,,,,
,	Text embedded within the image ,,,,,,
,"	Text adjacent to the image
",,,,,,
,	META description tags describing the image,,,,,,
,,,,,,,
,"Which of the following type of sitemaps is specifically designed for search spiders to understand the hierarchy of your website?
",A,M,Theory,Single Choice,Marketing: Digital Marketing,
,"	XML sitemap
",,,,,,
,"	HTML sitemap
",,,,,,
,"	META sitemap
",,,,,,
,	URL sitemap,,,,,,
,,,,,,,
,"Which of the following strategies will assist in generating higher ranking for a particular web page?
",B,M,Theory,Single Choice,Marketing: Digital Marketing,
,"	Placing many instances of a keyword on the page
",,,,,,
,"	Including synonyms of a keyword on the page
",,,,,,
,"	Using anchor text to highlight keywords throughout the page
",,,,,,
,	Providing one version of the site for search engines and another version for humans,,,,,,
