,Question,Answer,Level,Category,Type,Skill,Answer Description
,What is the most precise definition for forwards ?,A,e,Theory,Single Choice,Investment banking: derivatives: futures & options,
,It's a futures contract that are traded over the counter OTC without involvement of an exchange,,,,,,
,It is same as any futures contract,,,,,,
,It is a debt instrument,,,,,,
,All of the above,,,,,,
,,,,,,,
,Which is the correct statement w.r.t forward contract compared with futures contract ?,A,e,Theory,Single Choice,Investment banking: derivatives: futures & options,
,They are less costly for traders,,,,,,
,They are more costly for traders,,,,,,
,They are of same cost,,,,,,
,Cannot be said,,,,,,
,,,,,,,
,Identify the correct statements,b,m,Theory,Single Choice,Investment banking: derivatives: futures & options,
,Futures are more risky than forward because of no exchange guarantee,,,,,,
,Futures are less risky than forward because of no exchange guarantee,,,,,,
,Both are equally risky when it comes to exchange guarantee,,,,,,
,None of the above,,,,,,
,,,,,,,
,Liquidity Risk is more for,b,e,Theory,Single Choice,Investment banking: derivatives: futures & options,
,Futures,,,,,,
,Forwards,,,,,,
,Equal for future and forwards,,,,,,
,None of the above,,,,,,
,,,,,,,
,Who takes on more risk in trading ?,b,e,Theory,Single Choice,Investment banking: derivatives: futures & options: trading,
,Hedger,,,,,,
,Speculator,,,,,,
,Both of them take equal risk,,,,,,
,Cannot be said,,,,,,
,,,,,,,
," IF a quote on a contract is listed as 101'27 (or often listed as 101-27), this would mean the total price of the contract is (assume Treasury-based interest rate futures)
",b,m,Numerical,Single Choice,Investment banking: derivatives: futures & options: trading : treasury,
,"$101,781.25",,,,,,
,"$101,843.75",,,,,,
,"$101,881.25",,,,,,
,"$101,943.25",,,,,,
,,,,,,,
,When is prepayment of loan riskier for banks ?,b,m,Theory,Single Choice,Loan management: macroeconomics: banking,
,When Interest rate rises,,,,,,
,When Interest rate fall,,,,,,
,Not related to interest rates,,,,,,
,None of the above,,,,,,
,,,,,,,
,When interest rates are declining it is better to go for ?,b,e,Theory,Single Choice,Investment banking: derivatives: futures & options: hedge fund,
,Short Hedge in futures,,,,,,
,Long Hedge in futures,,,,,,
,both the above,,,,,,
,none of the above,,,,,,
,,,,,,,
,DOllar return in terms of Basis at Termination Hedge(BT) and Basis at initiation Hedge (BI)?,a,h,Theory,Single Choice,Hedge fund,
,BT-BI,,,,,,
,BT*BI,,,,,,
,BT/BI,,,,,,
,BI-BT,,,,,,
,,,,,,,
,FInancial Institutions are generally sellers(writers) of options,b,e,Theory,Single Choice,Investment banking: derivatives: futures & options,
, True,,,,,,
,  False,,,,,,
,,,,,,,
,Certainty Equivalent Approach,a,e,Theory,Single Choice,Investment banking: derivatives: futures & options,
,recognises risk in capital budgeting by adjusting estimated cash flows and employs risk rate to discount the adjusted cash flows,,,,,,
,inferior to the risk adjusted discount approach,,,,,,
,"the smaller the risk of an expected cash flow,the smaller the certainty equivalent values for receipts",,,,,,
,does not reflect the risk element,,,,,,
,,,,,,,
," Sensitivity analysis answers questions like,what happens to the present value (or some other criterion of merit) if flows are say rupees 50000 than the expected rupees 80000?",a,e,Theory,Single Choice,Investment banking: derivatives: futures & options: equity research,
, True,,,,,,
,  False,,,,,,
,,,,,,,
