,question,Correct Answer,Level,Category,Type,SKill,Answer,Type
,________ evaluate issuer credit-worthiness and macroeconomic prospects to determine which bonds and notes to buy or sell to preserve capital while obtaining a fair rate of return.,A,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, Fixed income analyst,,,,,,,
, Stock Analyst,,,,,,,
, Corporate treasurers,,,,,,,
, Risk Managers,,,,,,,
,,,,,,,,
,"________ analyze exchange rates, interest rates, and credit conditions to determine which currencies to trade and which notes to buy or sell to have funds available in a needed currency.",c,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, Fixed income analyst,,,,,,,
, Stock Analyst,,,,,,,
, Corporate treasurers,,,,,,,
, Risk Managers,,,,,,,
,,,,,,,,
,"___________ analyze exchange rates, interest rates, and credit conditions to determine which currencies to trade and which notes to buy or sell to have funds available in a needed currency.",D,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, Fixed income analyst,,,,,,,
, Stock Analyst,,,,,,,
, Corporate treasurers,,,,,,,
, Risk Managers,,,,,,,
,,,,,,,,
,______________ study corporate values to determine which stocks to buy or sell to maximize the value of their stock portfolios.,B,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, Fixed income analyst,,,,,,,
, Stock Analyst,,,,,,,
, Corporate treasurers,,,,,,,
, Risk Managers,,,,,,,
,,,,,,,,
,"When savers commit money to earn a financial return, they commonly are called _________",D,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, Buyers,,,,,,,
, Owners,,,,,,,
, Risk Managers,,,,,,,
, Investors,,,,,,,
,,,,,,,,
,"If you need to raise cash within few months to pay for a project, what are primary options available to you?",C,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, To borrow the funds,,,,,,,
, Sell ownership interests,,,,,,,
, both a and b,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
