,question,Correct Answer,Level,Category,TYPE,skill,Answer
,"The preliminary prospectus, which has a statement on its cover that the registration statement has not yet become effective, is referred to as a (an) __________.",A,e,Theory,single Choice,Investment banking: trading: equity analysis,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
,A market where new securities are bought and sold for the first time is known as a __________ market.,A,e,Theory,Single Choice,Investment banking: trading: equity analysis: IPO: capital MArkets,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital,,,,,,
,,,,,,,
,"A market for existing (used) securities, such as the NYSE or AMEX, rather than new issues is known as the __________ market.",B,e,Theory,Single Choice,Investment banking: trading: equity analysis: IPO: capital MArkets,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital.,,,,,,
,,,,,,,
,"A market for relatively long-term (greater than one year original maturity) financial instruments (e.g., bonds and stocks) is known as the __________ market.",D,e,Theory,Single Choice,Investment banking: trading: equity analysis,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital,,,,,,
,,,,,,,
,Which securities law requires that public offerings be registered with the federal government before they are sold?,C,e,GK,Single Choice,Investment banking: trading: equity analysis,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
,,,,,,,
,Which securities law regulates the secondary market for long-term securities already outstanding?,D,m,GK,Single Choice,Investment banking: trading: equity analysis,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
,,,,,,,
,"An arrangement with a single investment banker or group of investment bankers to ""stand by"" and be ready to underwrite any unsold portion of an issue, is referred to as a (an) __________.",D,m,Theory,Single Choice,Investment banking: trading: equity analysis,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
,Which securities law(s) is (are) involved with state laws regulating the offering and sale of securities?,B,e,GK,Single Choice,Investment banking: trading: equity analysis,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
,,,,,,,
,Which of the following is privately placed common stock that cannot be immediately resold?,B,m,Theory,Single Choice,Investment banking: trading: equity analysis: Private Equity ,
,Red herring.,,,,,,
,Letter stock.,,,,,,
,Initial public offering.,,,,,,
,Right.,,,,,,
,,,,,,,
,Which of the following is a short-term option to buy a certain number of securities from the issuing corporation?,D,e,Theory,Single Choice,Investment banking: trading: equity analysis,
,Red herring.,,,,,,
,Letter stock.,,,,,,
,Initial public offering.,,,,,,
,Right.,,,,,,
,,,,,,,
,Which of the following statements is correct regarding asymmetric information?,C,m,Theory,Single Choice,Investment banking: trading: equity analysis,
,"Asymmetric information is a theory of information flow, which has been proven to not have relevance in the financial marketplace",,,,,,
,This is a theory where investors have better information than myopic (shortsighted) management.,,,,,,
,"This occurs when one party, say management, has better information than another party, say investors, about relevant information to each party.",,,,,,
,This occurs when one party has relevant information and uses it to intentionally damage another party.,,,,,,
,,,,,,,
,"A temporary combination of investment banking firms formed to sell a new security issue, can be referred to as a (an) __________.",C,e,Theory,Single Choice,Investment banking: trading: equity analysis,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
,"What happens, according to the text, to the average common stock price immediately after the announcement of a new equity issue by a publicly traded firm?",B,e,Theory,Single Choice,Investment banking: trading: equity analysis,
,The average stock price increases a few percentage points.,,,,,,
,The average stock price decreases a few percentage points.,,,,,,
,The average stock price does not generally change because no new information is provided to investors.,,,,,,
,The average stock price does not generally change because of asymmetric information.,,,,,,
,,,,,,,
,The New York Stock Exchange (NYSE) can be considered as being a part of the __________ and the __________.,D,e,GK,Single Choice,Trading : Capital MArkets,
,capital market; money market,,,,,,
,capital market; primary market for long-term securities,,,,,,
,OTC market; secondary market for long-term securities,,,,,,
,secondary market for long-term securities; capital market,,,,,,
,,,,,,,
,Which of the following is not a method a firm can use to publicly issue common stock?,A,e,Theory,Single Choice,Equity analysis : private equity,
,Private placement.,,,,,,
,Firm commitment underwriting.,,,,,,
,Shelf registration.,,,,,,
,Best efforts offering.,,,,,,
,,,,,,,
,Which of the following is not a method a firm can use to finance their long-term needs externally?,A,m,Theory,Single Choice,Investment banking: equity analysis,
,Retained earnings.,,,,,,
,Public issue.,,,,,,
,Privileged subscription.,,,,,,
,Private placement.,,,,,,
,,,,,,,
,How are investment bankers generally compensated under traditional underwriting?,C,m,Theory,Single Choice,Investment banking: equity analysis,
,"The stockbroker, representing the investment banker, charges a commission to investors.",,,,,,
,The leader underwriter in the underwriting syndicate dictates the commission that the other firms must charge so that investors pay for a majority of the underwriting expense.,,,,,,
,Investment bankers earn a spread based on the difference between the purchase price from the firm and the sales price to investors of the securities being underwritten.,,,,,,
,"The issuing firm pays a flat fee, usually $1 million, plus all of the commissions charge by stockbrokers who are ultimately selling the securities to investors.",,,,,,
,,,,,,,
,"If the market price of a stock ""rights-on"" is $50 a share, the subscription price is $40 a share, and it takes nine rights to buy an additional share of common stock, the theoretical value of a right when the stock is selling ""rights-on "" is how much?",A,m,Numerical,Single Choice,Investment banking: derivatives: futures & options: equity analysis,
,1.00,,,,,,
,1.11,,,,,,
,4.00,,,,,,
,5.00,,,,,,
,,,,,,,
,The __________ is a disclosure document filed with the SEC in order to register a new security and includes the prospectus and other SEC required information.,A,e,Theory,Single Choice,Investment Banking: trading: IPO,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
,What is a bought deal?,A,m,Theory,Single Choice,Investment Banking: trading,
, The underwriter of a security issuance buys all the securities and subsequently worries about reselling them in financial markets.,,,,,,
, The underwriter of a security issuance neither buys any securities nor provides any guarantees to be able to place the securities. The underwrite merely promises its best efforts during the issuance process.,,,,,,
, It is a deal in which an investment banking division accepts deposits from its client.,,,,,,
,It is a deal that an investment banker makes while attending a symphony concert.,,,,,,
,,,,,,,
,Which of the following are important pieces of legislation for the investment banking business and what is their main content?,B:C,m,GK,Multiple choice,Investment Banking,
, The Glass-Steagall Act from 1933 separated investment banking and commercial banking all over the world.,,,,,,
,"In the spirit of the Volcker Rule, the Dodd-Frank Act from 2010 in the U.S. prohibits proprietary trading at commercial banks and states that commercial banks cannot own hedge funds or private equity funds.",,,,,,
, The Lincoln Rule in the Dodd-Frank Act from 2010 in the U.S. bars the access of swap dealers to the Federal Reserves discount window.,,,,,,
