,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,The law relating to the registration and protection of the Trade Unions is contained in the ___________?,B,E,GK,Single Choice,Industrial Relations,
, The factories Act 1948,,,,,,
, Trade Union  Act 1926,,,,,,
, The child labour amendment act 2016,,,,,,
, Human rights Act 1998,,,,,,
,,,,,,,
,HR Head of GOOGLE?,D,E,GK,Single Choice,HR Generalist,
, Laszlo Bock,,,,,,
, Nikhil Rungta,,,,,,
, Lorraine Twohil,,,,,,
, Eileen Naughton,,,,,,
,,,,,,,
,Leadership style more concerned with maintaining the normal flow of operations?,A,E,Theory,Single Choice,Leadership Development,
, Transactional leadership,,,,,,
, Transformational leadership,,,,,,
, Facilitative leadership,,,,,,
, Autocratic leadership,,,,,,
,,,,,,,
,"Leader who goes beyond managing day-to-day operations and crafts strategies for taking his company, department or work team to the next level of performance and success.",B,E,Theory,Single Choice,Leadership Development,
, Transactional leader,,,,,,
, Transformational leader,,,,,,
, Facilitative leader,,,,,,
, Autocratic leader,,,,,,
,,,,,,,
,The Hierarchy of Needs was coined by- ,B,E,GK,Single Choice,Training and Development,
, Michael Porter,,,,,,
, Abraham Maslow,,,,,,
, Herzberg,,,,,,
, McClelland,,,,,,
,,,,,,,
,Metric evaluating retention efforts by an organization?,D,M,Theory,Single Choice,HR Analytics,
, Turnover Rate,,,,,,
, Turnover cost,,,,,,
, Cost per hire,,,,,,
, Both A & B,,,,,,
,,,,,,,
,Choosing the individual who is best suited to a particular position and to the organization from a group of potential applicants?,D,M,Theory,Single Choice,Hiring,
, Recruitment,,,,,,
, staffing,,,,,,
, enrollment,,,,,,
, selection,,,,,,
,,,,,,,
,The following is the stated outcome of JOB ANALYSIS- ,D,M,Theory,Single Choice,Hiring,
, Job description,,,,,,
, Job specification,,,,,,
, Job evaluation,,,,,,
, All the above,,,,,,
,,,,,,,
,A discharge notice in an employee's pay envelope to notify the worker of his or her termination of employment or layoff.,D,M,Theory,Single Choice,Manpower Planning,
, Red card,,,,,,
, yellow card,,,,,,
, Memo,,,,,,
, Pink Slip,,,,,,
,,,,,,,
,"Personnel aspect is concerned with manpower planning, recruitment, selection, placement, transfer, promotion. training & development, layoff, remuneration, incentives, productivity etc.",TRUE,M,Reasoning,Single Choice,Manpower Planning,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,"Welfare aspect covers union - management relations, joint consultation, collective bargaining, grievance, dispute settlement etc.",FALSE,M,Reasoning,Single Choice,Labour relations,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,"Industrial relations aspect deals with working conditions and amenities such as canteens, creches, rest, lunch rooms, housing, transport, medical assistance, education, health, safety, recreation facilities etc.",FALSE,M,Reasoning,Single Choice,Industrial Relations,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,"Which theory states "" Happy workers are productive workers""?",C,M,Theory,Single Choice,Employee Engagement,
, Cow milk theory,,,,,,
, Cash Cow theory,,,,,,
, Pet milk theory,,,,,,
, Pet cow theory,,,,,,
,,,,,,,
,"Arrange the following steps in selection process - 1) Hiring decision, 2) medical examination, 3) selection tests, 4) reference checks, 5) application blank, 6) screening interview, 7) reception, 8)  selection interviews.",B,M,Theory,Single Choice,Hiring,
, 7-6-5-3-4-8-2-1,,,,,,
, 7-6-5-3-8-2-4-1,,,,,,
, 7-5-4-3-6-2-1-8,,,,,,
, 7-6-3-5-8-2-4-1,,,,,,
,"Which of the following point is not important for training?

1. Reduction in supervision

2. Reduction in cost

3. Increased stability

4. Convenience in co-ordination

5. Improvement in industrial relations

6. Individual development and growth.",D,M,Theory,Single Choice,Training and Development,
," 1, 3, 4, 5 and 6",,,,,,
," 1, 3, 5 and 6",,,,,,
," 2, 3 and 4",,,,,,
, All of these,,,,,,
,,,,,,,
,Scientific Management Approach was developed by - ,D,E,Theory,Single Choice,,
,  A. Maslow,,,,,,
, Elton Mayo,,,,,,
, Henry Fayol,,,,,,
, F.W. Taylor,,,,,,
,,,,,,,
,Process theory of organisation given by - ,C,E,Theory,Single Choice,Organization Development,
,  A. Maslow,,,,,,
, Elton Mayo,,,,,,
, Henry Fayol,,,,,,
, F.W. Taylor,,,,,,
,,,,,,,
,Least Preferred Coworker ( LPC) model of leadership given by- ,A,E,Theory,Single Choice,Leadership Development,
, Fred Fielder,,,,,,
, Whetton,,,,,,
, Robert House,,,,,,
, Martin Evans,,,,,,
,,,,,,,
,The following is not a contingency theory of leadership - ,A,M,Theory,Single Choice,Leadership Development,
, Job centered Leadership,,,,,,
, Vroom-Yetton-Jago theory,,,,,,
, Path Goal theory,,,,,,
, LPC theory,,,,,,
,,,,,,,
,"Small groups of workers who meet regularly with their supervisor to solve work
related problems- ",C,E,Theory,Single Choice,Employee Relations,
, Alternative Work schedule,,,,,,
, Quality of Work life,,,,,,
, Quality Circle,,,,,,
, Job Redesign,,,,,,
,,,,,,,
,Which one of the following is/are leadership theories?,D,M,Theory,Single Choice,Leadership Development,
, Behavior theory,,,,,,
, Contingency theory,,,,,,
, Trait theory,,,,,,
, All of these,,,,,,
,,,,,,,
,Free rein leadership is also known as,D,M,Theory,Single Choice,Leadership Development,
, Bureaucratic,,,,,,
, Democratic,,,,,,
, Autocratic,,,,,,
, Laissez-faire,,,,,,
,,,,,,,
,Traditional term used for HR Planning and often associated with personnel management- ,C,M,Theory,Single Choice,Manpower Planning,
, Gap analysis,,,,,,
, HR Planning,,,,,,
, Manpower planning,,,,,,
, Employee planning,,,,,,
,,,,,,,
,The differentiation between intrinsic motivation and extrinsic motivation was done by - ,B,M,Theory,Single Choice,Training and Development,
, David McClelland,,,,,,
, Edward Deci,,,,,,
, Frederick Taylor,,,,,,
, Frederick Herzberg,,,,,,
,,,,,,,
