,Question,Correct Answer,Level,Category,Type,Tag,Answer Description
,"Cafeteria methods are career-track options, performance evaluation schemes, training opportunities and reward systems as to give various career experiences.",A,M,Reasoning,Single Choice,HR Generalist,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is not a basic type of interview question?,D,E,Theory,Single Choice,Hiring,
,"Situational
",,,,,,
,Behavioural,,,,,,
,Stress,,,,,,
,Conference,,,,,,
,,,,,,,
,"........................ are pipelines that connect an organization to prospective 
employees.",B,M,Theory,Single Choice,Recruitment,
,Head hunt drives,,,,,,
,Talent communities,,,,,,
,Interviews,,,,,,
,None of the above,,,,,,
,,,,,,,
,All the following are important recruiting sources except-,C,E,Theory,Single Choice,Hiring,
,Internal Searches,,,,,,
,Employee Referrals,,,,,,
,Picketing,,,,,,
,Online job portals,,,,,,
,,,,,,,
,"According to Recruiting yield pyramid, the ratio of leads generated is 6:1, candidates invited is 4:3, candidates interviewed is 3:2 and offers made is 2:1. If for a post 1,200 people are being considered and according to the recruiting yield pyramid ratio the number of leads generated is 200, calculate the number of offers made.",A,H,Numerical,Single Choice,Recruitment,
,50,,,,,,
,60,,,,,,
,100,,,,,,
,200,,,,,,
,,,,,,,
,"The tried-and-proven ADDIE five-step training program includes:
",A,H,Theory,Single Choice,Training & Development,
,"Analyze,Design,Develop,Implement,Evaluate",,,,,,
,"Attain,Differentiate,Develop,Increase,Equalize ",,,,,,
,"Attain,Differentiate,Develop,Implement,Equalize ",,,,,,
,"Attain,Develop,Differentiate,Increase,Evaluate",,,,,,
,,,,,,,
,"Off-the-Job Management Training and Development Techniques include all the following, except-
",D,H,Theory,Single Choice,Training & Development,
,"Case studies
",,,,,,
,"Computerized management games
",,,,,,
,Role playing,,,,,,
,Job rotation,,,,,,
,,,,,,,
,Choose the odd one out-,A,H,Theory,Single Choice,Talent Management,
,Job rotation,,,,,,
,University programs,,,,,,
,"SHRM learning system
",,,,,,
,"Behavior modeling
",,,,,,
,,,,,,,
,"""Organizations that promote from within identify current employees for job openings."" Which type of recruitment search is being talked about?
",C,H,Theory,Single Choice,Talent Management,
,Employee Referrals,,,,,,
,Internal Search,,,,,,
,Picking ,,,,,,
,All of the above,,,,,,
,,,,,,,
,"Job specification is a list of job's duties, responsibilities, reporting relationships, working conditions, and supervisory responsibilities.",B,H,Reasoning,Single Choice,Hiring,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Job description is a list of a job's 'human requirements', that is, the requisite education, skills, personality, and so on.",B,H,Reasoning,Single Choice,Hiring,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Assigning workers additional same-level activities is-,B,M,Theory,Single Choice,Employee Engagement,
,Job rotation,,,,,,
,job enlargement,,,,,,
,job enrichment,,,,,,
,All of the above,,,,,,
,,,,,,,
,The procedure of determining the duties and skill requirements of a job and also the kind of person to be hired for the job is called-,C,M,Theory,Single Choice,Hiring,
,Job description ,,,,,,
,Job specification ,,,,,,
