,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,_____ is linked with performance appraisal :,A,E,Theory,Single Choice,Performance Management,
, Job analysis,,,,,,
, Job design,,,,,,
, Development,,,,,,
, None of these,,,,,,
,,,,,,,
,An alternative term for performance appraisal :,C,E,Theory,Single Choice,Performance Management,
, Quality and quantity of output,,,,,,
, Job knowledge,,,,,,
, Employee assessment,,,,,,
, None of these,,,,,,
,,,,,,,
,Process enabling managers to make comparison between employee's and department goals :-,A,E,Theory,Single Choice,Performance Management,
, Goal alignment,,,,,,
, Direction sharing,,,,,,
, Training and development,,,,,,
, Rewards and recognition,,,,,,
,,,,,,,
,Action plan for correcting performance deficiencies :-,A,H,Theory,Single Choice,Performance Management,
, unsatisfactory-correctable interview,,,,,,
, satisfactory-promotable interview,,,,,,
, unsatisfactory-uncorrectable interview,,,,,,
, satisfactory-not promotable interview,,,,,,
,,,,,,,
,Evaluator is asked to describe the strong and weak aspects of the employee’s behaviour in:,D,M,Theory,Single Choice,Performance Management,
, Management by Objective,,,,,,
, Forced choice,,,,,,
, Graphic rating scale,,,,,,
, Essay evaluation,,,,,,
,,,,,,,
,The superior and self evaluation systems are combined in:-,B,M,Theory,Single Choice,Performance Management,
, 360 Degree feedback,,,,,,
, Management by objective,,,,,,
, Essay evaluation,,,,,,
, Graphic rating scale,,,,,,
,,,,,,,
,"Raters can be specialists from the HR department, committees, clients, immediate supervisors, , subordinates, peers,  and self - appraisals or a combination of all.",A,E,Logical,Single Choice,Performance Management,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,"In forced choice method, the rater is forced to select readymade statements :",A,E,Logical,Single Choice,Performance Management,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,Major weakness of the forced distribution method :,C,H,Theory,Single Choice,Performance Management,
, Error of central tendency,,,,,,
, Work is reliable,,,,,,
, Assumption of employee performance levels always conforming to normal distribution,,,,,,
, None of these,,,,,,
,,,,,,,
,Performance management is a process carried out as a(n):,A,M,Theory,Single Choice,Performance Management,
, ongoing process or cycle,,,,,,
, once-a-year task,,,,,,
, twice-a-year activity,,,,,,
, none of these,,,,,,
,,,,,,,
,Purpose of the Behaviourally Anchored Rating Scale(BARS) is :,D,H,Theory,Single Choice,Performance Management,
, define a job,,,,,,
, improve inter-personal relationship skills,,,,,,
, evaluate a good or bad performance,,,,,,
, None of these,,,,,,
,,,,,,,
,Evaluation method requiring the supervisors to keep a written record of positive and negative work-related actions of the employees :,B,M,Theory,Single Choice,Performance Management,
, Essay method,,,,,,
, Critical incident method,,,,,,
, Field review method,,,,,,
, Work standard method,,,,,,
,,,,,,,
,______is not an analytical method of job evaluation:,C,H,Theory,Single Choice,Performance Management,
, Factor comparison method,,,,,,
, Point ranking method,,,,,,
, Paired comparison,,,,,,
, None of these,,,,,,
,,,,,,,
, Jobs grouped on the basis of the similarities found in their characteristics and values are called:,B,E,Theory,Single Choice,Performance Management,
, Ranking method,,,,,,
, Job grading,,,,,,
, Paired comparison,,,,,,
, Point ranking method,,,,,,
,,,,,,,
,An equal rating of all employees like 'good' is called :,A,M,Theory,Single Choice,Performance Management,
, Central tendency,,,,,,
, Linient tendency,,,,,,
, Strict tendency,,,,,,
, Biasing tendency,,,,,,
,,,,,,,
,___________ is an advantage of the critical incidents methods while performing performance appraisal :,A,M,Theory,Single Choice,Performance Management,
, Evaluation is based on actual job behaviour,,,,,,
, Negative incidents are generally more noticeable than positive ones,,,,,,
, Minimise inventory costs,,,,,,
, None of these,,,,,,
,,,,,,,
, Theory concerning the use of objectives to manage performance :,A,M,Theory,Single Choice,Performance Management,
, Goal Theory ,,,,,,
, Probability Theory ,,,,,,
, Outcomes Theory,,,,,,
, Results Theory ,,,,,,
,,,,,,,
,Higher-level managers spend most of their time on these two management functions: ,C,E,Theory,Single Choice,Performance Management,
, Planning and organizing. ,,,,,,
, Organizing and controlling. ,,,,,,
,  Leading and organizing. ,,,,,,
, Leading and controlling. ,,,,,,
,,,,,,,
, Monitoring performance and making required corrections is the function of:,B,E,Theory,Single Choice,Performance Management,
, Planning,,,,,,
, controlling,,,,,,
, leading,,,,,,
, staffing,,,,,,
,,,,,,,
