,Question,Correct Answer,Level ,Category,Type,Skills,Answer Description
,"______________________ is the discrepancy between
 the investment in Information Technology and output",B,M,Theory,Single choice,IT:,
, Productivity Gap,,,,,,
, Productivity paradox,,,,,,
, IT productivity,,,,,,
, Productivity slowdown,,,,,,
,,,,,,,
,"Which of the following are not the complements of 
General Purpose Technologies?",C,H,Theory,Single choice,IT:,
, Better skilled workers,,,,,,
, Higher levels of teamwork,,,,,,
, Improved performance,,,,,,
, New decision rights,,,,,,
,,,,,,,
,What is not the example of General Purpose Technologies?,D,H,Theory,Single choice,IT:,
, Internet,,,,,,
, Steam engine,,,,,,
, Biotechnology,,,,,,
, Social Networking,,,,,,
,,,,,,,
,"__________________ IT assists with the execution of 
discrete tasks",A,M,Theory,Single choice,IT:,
, Function,,,,,,
, Enterprise,,,,,,
, Network,,,,,,
, Global,,,,,,
,,,,,,,
,"A company is experiencing a scenario in which there is a 
time gap between in the output of one process which acts 
as input for other process which is resulting in dissatisfied
 customers. So the Company should invest in which IT?",B,H,Theory,Single choice,IT:,
, Function,,,,,,
, Enterprise,,,,,,
, Network,,,,,,
, Global,,,,,,
,,,,,,,
,"_____________________ facilitates interactions without 
specifying their parameters",C,M,Theory,Single choice,IT:,
, Function,,,,,,
, Enterprise,,,,,,
, Network,,,,,,
, Global,,,,,,
,,,,,,,
,Which of the following  IT has the Top- down approach?,B,E,Theory,Single choice,IT:,
, Function,,,,,,
, Enterprise,,,,,,
, Network,,,,,,
, Global,,,,,,
,,,,,,,
,Which of the following IT has the bottom up approach?,C,E,Theory,Single choice,IT:,
, Function,,,,,,
, Enterprise,,,,,,
, Network,,,,,,
, Global,,,,,,
,,,,,,,
,"Which of the following are the categories of IT which 
provides different organizational capabilities?
",D,E,Theory,Single choice,IT:,
," Enterprise ,Functional, Global",,,,,,
," Global, Functional, Network",,,,,,
," Network, Enterprise, Global",,,,,,
," Functional, Enterprise, Network",,,,,,
,,,,,,,
,"The main function of Chief Information manager in the 
meeting to discuss the company IT capacity with business 
leader is:",A,H,Theory,Single choice,IT: CIO,
, Collaborate with executives on capability development,,,,,,
, Suggest new technologies for the company growth,,,,,,
, Justify the IT spending for new technologies adopted,,,,,,
