,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,"According to the Moore's law, number of transistors/sq. inch grows at the rate of",B,E,Theory,Single choice,IT: Big Data,
, triples every year,,,,,,
, doubles every year,,,,,,
, 1.5 times every year,,,,,,
, None of the given options,,,,,,
,,,,,,,
,"The ""3V"" model for of Big Data includes volume, velocity and",B,E,Theory,Single choice,IT: Big Data,
, Vacuity,,,,,,
, Variety,,,,,,
, Velociraptor,,,,,,
, Vadipity,,,,,,
,,,,,,,
,The MapReduce programming model widely used in analytics was developed at,C,E,Theory,Single choice,IT:,
, Apache Foundation,,,,,,
, Microsoft Research,,,,,,
, Google,,,,,,
, Amazon,,,,,,
,,,,,,,
,How many Gigabytes are in one Exabyte?,D,M,GK,Single choice,IT:,
, 1000,,,,,,
," 100,000",,,,,,
, one million,,,,,,
, one billion,,,,,,
,,,,,,,
,Which one of the following is not a Scrum role?,C,M,Theory,Single choice,IT:,
, Product Owner,,,,,,
, Scrum Master,,,,,,
, Product Manager,,,,,,
, Team,,,,,,
,,,,,,,
,Functions related to supply chain management in SAP ERP system are all of the following except:,D,H,Theory,Single choice,IT:,
, Supply chain planning,,,,,,
, Supply chain execution,,,,,,
, Supply chain collaboration,,,,,,
, Supply chain cooperation,,,,,,
,,,,,,,
,"For XYZ, Inc. sales during the last 60 days was $1,800,000, accounts receivables at the end of the month was $300,000, and inventory value at the end of the month equaled $630,000. Cost of the sales is 80% of the total sales. Accounts payable at the end of the month was $252,000. Therefore, cash-to-cash cycle (in days) is equal to:",C,M,Numerical,Single choice,IT:,
, 22.6,,,,,,
, 20,,,,,,
, 25.75,,,,,,
, 26.25,,,,,,
,,,,,,,
,A snowflake schema is which of the following types of tables?,D,H,Theory,Single choice,IT:,
, Fact,,,,,,
, Dimension,,,,,,
, Helper,,,,,,
, All the above,,,,,,
,,,,,,,
,"	
Customer relationship management is",D,E,Theory,Single choice,IT: CRM,
, A mass marketing customer loyalty program,,,,,,
, An overarching business philosophy,,,,,,
, An integrated implementation system,,,,,,
, Both b and c,,,,,,
,,,,,,,
,Facebook Tackles Big Data With _______ based on Hadoop,A,H,Theory,Single choice,IT: Big Data: Hadoop,
, Project Prism,,,,,,
, Prism,,,,,,
, Project Big,,,,,,
, Project Data,,,,,,
,,,,,,,
,A computers operating system (OS) performs all of the following functions except:,D,E,Theory,Single choice,IT:,
, Accessing data storage devices,,,,,,
, Executing compiled programs,,,,,,
, Managing memory,,,,,,
, Editing sound files,,,,,,
,,,,,,,
,What type of commerce occurs when a business sells its products over the Internet to other businesses?,A,H,Theory,Single choice,IT:,
, B2B,,,,,,
, B2C,,,,,,
, C2B,,,,,,
, Enterprise Commerce,,,,,,
,,,,,,,
,What is small web page that opens automatically with an ad when you visit some web sites called?,D,H,Theory,Single choice,IT:,
, Marketing Page,,,,,,
, I-ad,,,,,,
, Affiliate Ad,,,,,,
, Pop-up Ad,,,,,,
,,,,,,,
,What type of technology scrambles the contents of files sent via the Internet?,A,H,Theory,Single choice,IT:,
, Encryption,,,,,,
, Secured data interchange,,,,,,
, Cryptogram,,,,,,
, Regulated Code,,,,,,
,,,,,,,
,Which is not a major cloud computing platform?,B,M,Theory,Single choice,IT:,
, Google 101,,,,,,
, IBM Deep Blue,,,,,,
, Microsoft Azure,,,,,,
, Amazon EC2,,,,,,
,,,,,,,
,"Mrs. Mehta, Sales manager of Pantaloons, look at the customer's  data from last visit to the store and interprets that the customer is gonna buy a particular kind of product. What kind of data analysis is this?",C,H,Theory,Single choice,IT:,
, Descriptive Analysis,,,,,,
, Diagnostic Analysis,,,,,,
, Predictive Analysis,,,,,,
, Prescriptive Analysis,,,,,,
,,,,,,,
,"Mr. Vyas is CIO of Pantaloons. Lifestyle is using using Internet-delivered inventory, storage, and backup solutions from a specific provider. Mr. Vyas concludes that Pantaloons should use the same services as of Lifestyle.What type of cloud shoud Mr. Vyas go for?",A,M,Theory,Single choice,IT:,
, Community cloud,,,,,,
, Retail cloud,,,,,,
, Private cloud,,,,,,
, Public cloud,,,,,,
,,,,,,,
,What is Cloud Foundry?,B,H,Theory,Single choice,IT:,
, A factory that produces cloud components,,,,,,
, VM-WARE led open source PaaS,,,,,,
, An industry wide PaaS initiative,,,,,,
,-WARE led open source PaaS,,,,,,
,,,,,,,
,Snowflaking means,A,H,Theory,Single choice,IT:,
