,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,A model-driven analysis approach that focuses on the structure of stored data in a system rather than on processes is,B,M,Theory,Single Choice,IT: IT Business Analysis,
, structured analysis,,,,,,
, information engineering,,,,,,
, rapid architected analysis,,,,,,
, object-oriented design,,,,,,
,,,,,,,
,Which of the following is not a phase of systems analysis?,C,M,Theory,Single Choice,IT: IT Business Analysis,
, decision analysis phase,,,,,,
, requirements analysis phase,,,,,,
, design analysis phase,,,,,,
, problem analysis phase,,,,,,
,,,,,,,
,Which of the following analysis techniques derive system models from existing system or discovery prototypes?,B,H,Theory,Single Choice,IT: IT Business Analysis,
, rapid architected analysis,,,,,,
, object-oriented analysis,,,,,,
, data modeling,,,,,,
, discovery prototyping,,,,,,
,,,,,,,
,Which of the following is NOT a feasibility analysis criterion?,B,M,Theory,Single Choice,IT: IT Business Analysis,
, technical feasibility,,,,,,
, schedule feasibility,,,,,,
, operational feasibility,,,,,,
, economic feasibility,,,,,,
,,,,,,,
,The task of establishing system improvement objectives is performed in which phase of systems analysis?,A,H,Theory,Single Choice,IT: IT Business Analysis,
, requirements analysis phase,,,,,,
, problem analysis phase,,,,,,
, logical design phase,,,,,,
, physical design phase,,,,,,
,,,,,,,
,Which of the following are the layers of SAP R/3 System?,D,E,Theory,Single Choice,IT: IT Business Analysis,
, Presentation layer,,,,,,
, Application layer,,,,,,
, Database layer,,,,,,
, All the above,,,,,,
,,,,,,,
,Enterprise Resource Planning (ERP) has been criticised on a number of grounds. Which of the following is not a common criticism of ERP?,A,M,Theory,Single Choice,IT: ERP,
, It doesn’t allow decisions and databases from all parts of the organisation to be integrated.,,,,,,
, It can have a disruptive effect on the organisation’s operations.,,,,,,
, The effect it has on businesses is disappointing.,,,,,,
, Implementation is expensive.,,,,,,
,,,,,,,
,Which of the following allows individual ERP systems to communicate with each other?,C,H,Theory,Single Choice,IT: ERP,
, Web-integrated MRP,,,,,,
, Global ERP,,,,,,
, Web-integrated ERP,,,,,,
, EMRP,,,,,,
,,,,,,,
,Christopher Koch is attributed with saying that driving a business using forecast is like:,D,M,Theory,Single Choice,IT: ERP,
, Driving a car blindfolded,,,,,,
, Driving a car for the first time with a driving instructor.,,,,,,
, Driving a car backwards.,,,,,,
, Driving a car by looking only a rear view mirror.,,,,,,
,,,,,,,
,"When a project manager defines and documents the stakeholders’ needs to meet the project objectives, what process is he doing?",A,M,Theory,Single Choice,IT: ERP ,
, Collect requirements,,,,,,
, Quality assurance,,,,,,
, Quality control,,,,,,
, Scope verification,,,,,,
,,,,,,,
,Your organization is using a focus group to identify the requirements for a new project. Who leads the focus group?,A,H,Theory,Single Choice,IT: ERP,
, A trained moderator,,,,,,
, A project manager,,,,,,
, A project sponser,,,,,,
, A contract-based project manager,,,,,,
,,,,,,,
,Which group creativity technique can a project manager use if he wants to define many ideas and then categories these ideas with a voting process?,C,M,Theory,Single Choice,IT: Creative,
, Brainstorming,,,,,,
, Nominal group technique,,,,,,
, Affinity Diagram,,,,,,
, Delphi Techniques,,,,,,
,,,,,,,
,"Henry has predicted the following estimates for an activity: optimistic = 24 hours, most likely, 35 hours, pessimistic 65 hours. How long do you think the activity will actually take?",A,H,Numerical,Single Choice,IT: IT Project Management,
, 42 hours,,,,,,
, 65 hours,,,,,,
, 35 hours,,,,,,
, There’s not enough information to know for certain,,,,,,
,,,,,,,
,The data collected in data warehouse can be used for analyzing purpose.,A,E,Theory,Single Choice,IT: Big Data,
,TRUE,,,,,,
,FALSE,,,,,,
