,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following activities are performed by IT Consultants,d,M,Theory,Single Choice,IT: IT Consulting,
,Understand Technology,,,,,,
,Understand needs of the business,,,,,,
,Understand needs of the built environment,,,,,,
,All of the above,,,,,,
,,,,,,,
,Assignment Planning happens in which phase of consulting process,c,M,Theory,Single Choice,IT: IT Consulting,
,Action Planning,,,,,,
,Implementation,,,,,,
,Entry,,,,,,
,Termination,,,,,,
,,,,,,,
,Which of the following activities doesnt come under an consulting assignment,d,M,Theory,Single Choice,IT: IT Consulting,
,Objectives to be achieved,,,,,,
,Expertise to be provided,,,,,,
,Resources required,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Under which contract, client purchases a specific amount of consultant's time",a,M,Theory,Single Choice,IT: IT Consulting,
,Retainer's Contract,,,,,,
,Purchase Contract,,,,,,
,Legal Contract,,,,,,
,Company Contract,,,,,,
,,,,,,,
,Which of the following are the types of Retainer Contracts available in management consulting,c,M,Theory,Single Choice,IT: IT Consulting,
,General reatiner contract,,,,,,
,Technical retainer contract,,,,,,
,Both a & b,,,,,,
,Neither a nor b,,,,,,
,,,,,,,
,Which of the following is not a large scale Information Systems,c,M,Theory,Single Choice,IT: IT Consulting,
,EPOS,,,,,,
,ERP,,,,,,
,ESOP,,,,,,
,All of the above,,,,,,
,,,,,,,
,Abbrevation of EPOS,c,M,Theory,Single Choice,IT: ,
,Electronic point of systems,,,,,,
,Electronics phase of systems,,,,,,
,Electronic point of sale,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which systems are enabling managers to test their decisons on computer before they commit themselves,b,M,Theory,Single Choice,IT: ,
,DBMS,,,,,,
,Decision support systems,,,,,,
,ERP,,,,,,
,Business Intelligence Systems,,,,,,
,,,,,,,
,The biggest development that did not happen in the late 1990's was,b,M,GK,Single Choice,IT: GK,
,Internet,,,,,,
,Artificial Intelligence,,,,,,
,Both a & b,,,,,,
,Neither a nor b,,,,,,
,,,,,,,
,Widely adopted Information systems consulting model provided by Michel Earl deals with?,c,M,GK,Single Choice,IT: ,
