,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Big data addresses which challenges,d,M,Theory,Single Choice,IT: Big Data,
,Data Capture,,,,,,
,Data storage,,,,,,
,Data Transfer,,,,,,
,All of the above,,,,,,
,,,,,,,
,Big data uses,c,M,Theory,Single Choice,IT: Big Data,
,Predictive Analysis,,,,,,
,User Behaviour Analysis,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,What are the key enablers for the growth of big data,d,M,Theory,Single Choice,IT: Big Data,
,Increased storage capacity,,,,,,
,Increased processing power,,,,,,
,Availability of data,,,,,,
,All of the above,,,,,,
,,,,,,,
,Scenarios in which big data is used are,d,M,Theory,Single Choice,IT: Big Data,
,Servers,,,,,,
,Storage,,,,,,
,Processing,,,,,,
,All of the above,,,,,,
,,,,,,,
,Big data deals with ,d,M,Theory,Single Choice,IT: Big Data,
,Data Recovery,,,,,,
,Business Reporting,,,,,,
,Real time intelligence,,,,,,
,all of the above,,,,,,
,,,,,,,
,Which of the following are the tools to analyze big data,d,M,Theory,Single Choice,IT: Big Data,
,Discovery tools,,,,,,
,BI tools,,,,,,
,Hadoop,,,,,,
,all of the above,,,,,,
,,,,,,,
,"Which tool is a popular choice when you need to filter, sort, or pre-process large amounts of new data in place and
distill it to generate denser data that theoretically contains more “information",c,M,Theory,Single Choice,IT: Big Data,
,Discovery tools,,,,,,
,BI tools,,,,,,
,Hadoop,,,,,,
,all of the above,,,,,,
,,,,,,,
,The three v's of Big Data are,d,M,Theory,Single Choice,IT: Big Data,
,Volume,,,,,,
,Variety,,,,,,
,Velocity,,,,,,
,all of the above,,,,,,
,,,,,,,
,Which constitutes highest amount of data,d,M,Theory,Single Choice,IT: Big Data,
,Megabyte,,,,,,
,Gigabyte,,,,,,
,Terabyte,,,,,,
,Petabyte,,,,,,
,,,,,,,
,"Trading/stock exchange data, tweets on Twitter, status updates/likes/shares on Facebook generates data at high speed. This constitute which characteristic of Big data",c,M,Theory,Single Choice,IT: Big Data,
,Volume,,,,,,
,Variety,,,,,,
,Velocity,,,,,,
,all of the above,,,,,,
,,,,,,,
, The aspect of varied data formats is referred to as what in Bigdata,b,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,all of the above,,,,,,
,,,,,,,
,Which of the following are sources of big data,d,M,Theory,Single Choice,IT: Big Data,
,Enterprise media,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,all of the above,,,,,,
,,,,,,,
,Enterprise data include which formats,d,M,Theory,Single Choice,IT: Big Data,
,HTML,,,,,,
,PDF,,,,,,
,XML,,,,,,
,all of the above,,,,,,
,,,,,,,
,Data that is spread across the organization in different formats is referred to as,a,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,Social Media,,,,,,
,,,,,,,
,"Transactions like Web Applications, Mobile Applications, CRM Systems constitute",b,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,Social Media,,,,,,
,,,,,,,
,Transactional Data is mostly,a,M,Theory,Single Choice,IT: Big Data,
,structured data,,,,,,
,unstructured data,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,"Twitter, Facebook, etc represent data source known as",d,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,Social Media,,,,,,
,,,,,,,
,"Data from medical devices, censor data, surveillance videos, satellites, cell phone towers, industrial machinery, and other data generated mostly by machines fall under",d,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,Activity generated,,,,,,
,,,,,,,
,"Data that is publicly available like data published by governments, research data published by research institutes, data from weather and meteorological departments, census data, Wikipedia, sample open source data feeds",d,M,Theory,Single Choice,IT: Big Data,
,Enterprise Data,,,,,,
,Transactional data,,,,,,
,Archives,,,,,,
,Public data,,,,,,
,,,,,,,
,Mathematical formula run by software to analyze data in big data terms is called,a,M,Theory,Single Choice,IT: Big Data,
,Algorithm,,,,,,
,Volume,,,,,,
,Variety,,,,,,
,Velocity,,,,,,
,,,,,,,
,Collection of cloud computing services that help businesses carry out large-scale computing operations without needing the storage or processing power in-house,a,M,Theory,Single Choice,IT: SaaS,
,Amazon Web services,,,,,,
,Google web services,,,,,,
,Microsoft web services,,,,,,
,all of the above,,,,,,
,,,,,,,
,Running software on remote servers rather than locally is referred as,a,M,Theory,Single Choice,IT: SaaS,
,Cloud Computing,,,,,,
,Remote Sever process,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,The process of automating the collection and structuring of data from web sites (usually through writing code),a,M,Theory,Single Choice,IT: SaaS,
,Web Scrapping,,,,,,
,Predictive Analytics,,,,,,
,Hadoop,,,,,,
,all of the above,,,,,,
,,,,,,,
,Which  is a data cleaning software that allows you to pre-process your data for analysis. This is especially useful if you are analyzing unstructured data or combining multiple data sets into one for analysis.,b,M,Theory,Single Choice,IT: SaaS,
,input.io,,,,,,
,Open Refine,,,,,,
,Tableau,,,,,,
,WolframAlpha,,,,,,
,,,,,,,
,"Which tool provides detailed responses to technical searches and does very complex calculations. For business users, it presents information charts and graphs, and is excellent for high level pricing history, commodity information, and topic overviews.",d,M,Theory,Single Choice,IT: SaaS,
,input.io,,,,,,
,Open Refine,,,,,,
,Tableau,,,,,,
,WolframAlpha,,,,,,
,,,,,,,
,"Which is a visualization tool that makes it easy to look at your data in new ways. In the analytics process, Tableau’s visuals allow you to quickly investigate a hypothesis, sanity check your instincts or build a compelling infographic to convince your audience with.",c,M,Theory,Single Choice,IT: SaaS,
,input.io,,,,,,
,Open Refine,,,,,,
,Tableau,,,,,,
,WolframAlpha,,,,,,
,,,,,,,
,Which tool allows you to turn the unstructured data displayed on web pages into structured tables of data that can be accessed over an API.,a,M,Theory,Single Choice,IT: SaaS,
,input.io,,,,,,
,Open Refine,,,,,,
,Tableau,,,,,,
,WolframAlpha,,,,,,
,,,,,,,
,"Which is a versatile tool for data analysis, large data set visualization and mapping.",d,M,Theory,Single Choice,IT: SaaS,
,input.io,,,,,,
,Open Refine,,,,,,
,Tableau,,,,,,
,Google Fusion Tables,,,,,,
,,,,,,,
,What does commodity hardware mean in Hadoop world,c,M,Theory,Single Choice,IT: SaaS,
,Cheap harware,,,,,,
,industry standard hardware,,,,,,
,Low specification hardware,,,,,,
,all of the above,,,,,,
,,,,,,,
,Big data doesnt solve which of the following problem,c,M,Theory,Single Choice,IT: SaaS,
,Processing online bank transactions,,,,,,
,Parsing XML file every 5 minutes,,,,,,
,both a & b,,,,,,
,none of the above,,,,,,
,,,,,,,
,The term Big data is originally associated with,d,M,Theory,Single Choice,IT: SaaS,
,Stocks market domain,,,,,,
,BFS,,,,,,
,Social media,,,,,,
,Astronomy,,,,,,
,,,,,,,
,Which of the following is an example of Big data real time processing,b,M,Theory,Single Choice,IT: SaaS,
,Stock market data analysis,,,,,,
,Fraud detecetion,,,,,,
,both a & b,,,,,,
