,Question,Correct Answers,Level,Category,Type,Skills,Answer Description
,Enterprise resource planning system is,A,E,Theory,Single choice,IT: ERP,
, An integrated information system,,,,,,
, Transaction processing system,,,,,,
, Decision support system,,,,,,
, Expert system,,,,,,
,,,,,,,
,Supply Chain Management system is a type of,A,E,Theory,Single choice,IT: Supply chain Analytics,
, Enterprise system,,,,,,
, Functional information system,,,,,,
, Management information system,,,,,,
, None of these,,,,,,
,,,,,,,
,A LAN is a data communication system for interconnecting two or more communicating devices within ,A,E,GK,Single choice,IT: Network Operations,
, 500 kilometres,,,,,,
, 100 kilometres,,,,,,
, 1-2 kilometres,,,,,,
, Any distance within one country,,,,,,
,,,,,,,
,The word 'Internet' has been coined from the words,C,E,GK,Single choice,IT:,
, 'Interconnection' and 'Networking',,,,,,
, 'International' and 'Networks',,,,,,
, 'Interconnection' and 'Networks',,,,,,
, None of the above,,,,,,
,,,,,,,
,The aim of a management system is to support,C,E,Theory,Single choice,IT: IT Project Management,
, Operations,,,,,,
, management,,,,,,
, Both 'a' and 'b;,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not an example of transaction processing system?,C,M,Theory,Single choice,IT: IT Project Management,
, Order processing system,,,,,,
, Payroll system,,,,,,
, Timesheet tracker,,,,,,
, Accounts payable,,,,,,
,,,,,,,
,Arrange the slower to the higher access latency.,B,M,Theory,Single choice,IT: IT Project Management,
," Magnetic tape, Magnetic disk, Main memory, Cache, Registers",,,,,,
," Registers, Cache, Main memory, Magnetic disk, Magnetic tape",,,,,,
," Registers, Main memory, Cache, Magnetic disk, Magnetic tape",,,,,,
," Magnetic tape, Main memory, Magnetic tape, Cache, Registers",,,,,,
,,,,,,,
,Which of following are the three phases of malware analysis?,D,M,Theory,Single choice,IT: IT Business Analysis,
," Code Analysis, Kernel Analysis, Memory Analysis",,,,,,
," Behavioral Analysis, Code Analysis, File System Analysis",,,,,,
," File System Analysis, Code Analysis, User Analysis",,,,,,
," Behavioral Analysis, Code Analysis, Memory Analysis",,,,,,
,,,,,,,
,When should V Model be used ?,D,M,Theory,Single choice,IT:,
, When the project is very large and requirements are clearly defined,,,,,,
, When the project is very large and requirements are not clearly defined,,,,,,
, When the project is small and requirements are not very clearly defined,,,,,,
, When the project is small and requirements are clearly defined,,,,,,
,,,,,,,
,"In agile methodology, which of the following is not a scrum role?",A,M,Theory,Single choice,IT:,
, Product Manager,,,,,,
, Project Manager,,,,,,
, Scrum Master,,,,,,
, Team Member,,,,,,
,,,,,,,
,Which of the following is not a part of Scrum ?,A,M,Theory,Single choice,IT:,
, Product Review Meetings,,,,,,
, Sprint Review Meetings,,,,,,
, Sprint Planning Meeting,,,,,,
, Sprint Retrospective Meeting,,,,,,
,,,,,,,
,"In the popular prioritization technique called “MoSCoW”, the “M” stands for",C,M,Theory,Single choice,IT:,
, Might have,,,,,,
, May have,,,,,,
, Must have,,,,,,
, Must not have,,,,,,
,,,,,,,
,Which of the following represents the correct packaging in IT systems?,B,M,Theory,Single choice,IT:,
, Management Information System and Decision Support System,,,,,,
, Management Information System and Transactional System,,,,,,
, Transactional System and Decision Support System,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which is the hosting service for Digital Signature Software?,A,M,Theory,Single choice,IT:,
, In-premise,,,,,,
, Out-premise,,,,,,
, On-premise,,,,,,
, None of the above,,,,,,
,,,,,,,
,A digital signature cannot provide,C,M,Theory,Single choice,IT:,
, Authenticity,,,,,,
, Nonrepudiation,,,,,,
, Confidentiality,,,,,,
, Integrity,,,,,,
,,,,,,,
,"In ________ authentication, the claimant proves that she knows a secret without actually sending it.",B,H,Theory,Single choice,IT:,
, password-based,,,,,,
, challenge-response,,,,,,
, Either a or b,,,,,,
, Neither a nor b,,,,,,
,,,,,,,
,"In AAA architecture protocols, what of the following is not one of the A's ?",A,H,Theory,Single choice,IT:,
, Arbitration,,,,,,
, Authentication,,,,,,
, Accounting,,,,,,
, Authorization,,,,,,
,,,,,,,
,Which of the following is used to protect the integrity of the message being sent?,C,H,Theory,Single choice,IT:,
, Message Summary,,,,,,
, Message Encryption,,,,,,
, Message Digest,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which is the trusted third party which assigns a symmetric key to both the parties?,C,H,Theory,Single choice,IT:,
, CA,,,,,,
, KDD,,,,,,
, KDC,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which function creates a message digest out of a message?,C,H,Theory,Single choice,IT:,
, Digest,,,,,,
, Encryption,,,,,,
, Hash,,,,,,
, None of the above,,,,,,
,,,,,,,
