,Question,Answer,Level,Category,Type,Type,Answer Description
,What are the primary activities in investment banking,D,E,Theory,Single Choice,Investment banking,
,Mergers and acquisitions advisory,,,,,,
,Proprietary Trading,,,,,,
,Underwriting issues,,,,,,
,All of the above,,,,,,
,,,,,,,
,"A large publicly held company refines crude oil into gasoline and sells gasoline wholesale with long-term contracts at fixed prices. The firm also owns the land with full rights, from which it pumps crude oil. The firm financed the purchase of the land b issuing floating bonds. The firm could reduce the volatility of the earnings by:
 
 I) Interest-rate swaps
 
 II) Oil commodity swaps",A,M,Theory,Single Choice,Investment banking,
,I only,,,,,,
,II only,,,,,,
,Both I and II,,,,,,
,Neither I nor II,,,,,,
,,,,,,,
,Find the odd one out,B,E,Theory,Single Choice,Investment banking,
,Lloyd Blankfein,,,,,,
,John Stumpf,,,,,,
,James Dimon,,,,,,
,James P. Gorman,,,,,,
,,,,,,,
,"_____ , repealed the Act that erected barriers between commercial banking and the securities industry",C,M,Theory,Single Choice,Investment banking,
,Glass Steagall Act,,,,,,
,Gramm-Leach Bliley Act,,,,,,
,Smoot Hawley Act,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is false regarding Hedge Funds,B,M,Theory,Single Choice,Investment banking,
,They are high risk money manager,,,,,,
,it is the sell side in Investment Banking,,,,,,
,they are largely unregulated,,,,,,
,Multiply returns through risky leveraging,,,,,,
,,,,,,,
,All of the following are false except,B,E,GK,Single Choice,Investment banking,
,Subprime loans are given only to wealthy clients,,,,,,
,Subprime loans have low credit worthiness,,,,,,
,Both are true,,,,,,
,None is true,,,,,,
,,,,,,,
,Which of the following is true,D,M,Theory,Single Choice,Investment banking,
,Beta of an Asset is never the same as Beta of Equity,,,,,,
,Beta of Asset for a company is not the same as Beta of an Asset for the Industry,,,,,,
,Beta of an Asset is same as Beta of the Equity,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following will cause a company to lower amount of amortisation of intangible assets in the first year of acquisition?,C,M,GK,Single Choice,Investment banking,
,a higher residual value,,,,,,
,a higher amortization rate,,,,,,
,a shorter useful life,,,,,,
,a longer useful life,,,,,,
,,,,,,,
,At the time of issue of bond the coupon rate is 4.5%. However the effective yield is 5%. The bond is issued at:,B,H,Theory,Single Choice,Investment banking,
,Premium,,,,,,
,Discount,,,,,,
,Par,,,,,,
,"No relation, thus can't say",,,,,,
,,,,,,,
,Find the odd one out,D,H,Theory,Single Choice,Investment banking,
,Price/Earning,,,,,,
,DCF,,,,,,
,Enterprise Value/ EBITDA,,,,,,
,EPS,,,,,,
,,,,,,,
,Which of the following is used as a discounting rate for DCF valuation,A,H,Theory,Single Choice,Investment banking,
,WACC,,,,,,
,CAPM,,,,,,
,Prevailing interest rate,,,,,,
,Either a) or b),,,,,,
,,,,,,,
,"Select the correct option
 I) Free cash flow includes Depreciation
 iI) Debt doesn't impact the FCFF
 III) Debt impacts FCFF through interest
 IV) FCFF doesn't include Depreciation As it is a non-cash expense",C,H,Theory,Single Choice,Investment banking,
,"I, II",,,,,,
,"I, III",,,,,,
,"II, IV",,,,,,
,"III, IV",,,,,,
,,,,,,,
,Portfolio Q has a Beta of 0.7 and an expected return of 12.8%. The market risk premium is 5.25% and the risk free rate is 4.85%. Calculate Jensen's Alpha Measure for Portfolio Q,D,M,Numerical,Single Choice,Investment banking,
,7.67%,,,,,,
,2.70%,,,,,,
,5.73%,,,,,,
,4.27%,,,,,,
,,,,,,,
,Company Y has recently been purchasing a lot of Company X's shares and holds around 40% of its total stake. Company X fears a threat of hostile takeover by Company Y. It decides to allow its existing shareholders (Except the bidding company) to purchase more shares at a discount. This would effectively dilute the stake of the bidder and make the takeover more difficult and expensive for it. What kind of a defense is it?,C,H,Logical,Single Choice,Investment banking,
,Macroni Defense,,,,,,
,Golden Parachute,,,,,,
,Poison Pill,,,,,,
,Sandbag,,,,,,
,,,,,,,
,Which of the following is an example of a leveraged buyout,B,M,GK,Single Choice,Investment banking,
,Exxon- Mobil,,,,,,
,Blackstone's- Hilton Hotels,,,,,,
,Tata Motors- Corus plc,,,,,,
,Facebook- Whatsapp,,,,,,
,,,,,,,
,"Calculate DOL and DFL:
 Output (units): 60000
 Fixed Cost: Rs. 7000
 Variable Cost per unit: Rs. 0.20
 Interest on borrowed funds: Rs. 4000
 Selling price per unit: Rs.0.60",C,E,Numerical,Single Choice,Investment banking,
,DOL=1.00 DFL= 1.23,,,,,,
,DOL= 1.23 DFL= 1.00,,,,,,
,DOL= 1.41 DFL= 1.31,,,,,,
,DOL= 1.31 DFL= 1.41,,,,,,
,,,,,,,
,"What is the Weighted average cost of capital 
 Beta: 1.1
 Tax rate: 40%
 D/E: 2/3
 Long term T-bond Rate: 8.0%
 Long term risk premium: 6.0%
 Long term debt rate: 4.0%",B,E,Numerical,Single Choice,Investment banking,
,11.53,,,,,,
,10.36,,,,,,
,9.36,,,,,,
,10,,,,,,
,,,,,,,
,"The expected average rate of return for a proposed investment of Rs. 600,000 in a fixed asset, with a useful life of four years, Straight line depreciation, no residual value and an expected total net income of Rs. 216,000 for the 4 years is:",C,E,Numerical,Single Choice,Investment banking,
,18%,,,,,,
,15%,,,,,,
,36%,,,,,,
,9%,,,,,,
,,,,,,,
,"ABC holding company, a car manufacturer enters into an agreement to acquire a company that is a tyre manufacture. what kind of integration is it",B,E,Situational,Single Choice,Investment banking,
,Horizontal,,,,,,
,Backward,,,,,,
,Forward,,,,,,
,None of the above,,,,,,
,,,E,,,,
,"Calculate required return:

 risk free rate: 4%
 Expected return on portfolio: 9%
 Correlation returns between the company and the market: 0.80
 Standard deviation of the market is 4%
 Standard deviation of the stock is 9%",D,M,Numerical,Single Choice,Investment banking,
,10,,,,,,
,11,,,,,,
,12,,,,,,
,13,,,,,,
,,,,,,,
,Which of the following doesn't effect the Reserves & Surplus,C,M,Theory,Single Choice,Investment banking,
,Stock Dividends,,,,,,
,Bonus shares,,,,,,
,Stock Split,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Which of the following effects the Total Shareholder's Funds
 I) Stock Dividends
 II) Bonus Shares
 III) Stock Split
 IV) Rights Issue",C,H,Theory,Single Choice,Investment banking,
,Only I,,,,,,
,Only II,,,,,,
,Only IV,,,,,,
,"I,II,III",,,,,,
,,,,,,,
,All of the following can be issued by Non-Banking Corporation in India except:,B,M,Theory,Single Choice,Investment banking,
,Commercial Paper,,,,,,
