,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is accurate about 'Marketing Information System'?,B,H,Theory,Single Choice,Marketing: Market Research,
," It consists of people,equipment,data and procedures to gather,sort,analyze,evaluate,and distribute needed,timely, and accurate informations to data analysts",,,,,,
," It consists of people,equipment,and procedures to gather,sort,analyze,evaluate,and distribute needed,timely, and accurate informations to marketing decision makers.",,,,,,
," It consists of people,systems,equipment,data and procedures to gather,sort,analyze,evaluate,and distribute needed,timely, and accurate informations to marketing decision makers.",,,,,,
," It consists of people and procedures to gather,sort,analyze,evaluate,and distribute needed,timely, and accurate informations to data analysts",,,,,,
,,,,,,,
,"Which of the following is true about 'Fad','trend' and 'Megatrend'?",C,H,Theory,Single Choice,Marketing: Market Research,
," Fad is predictable,trend is more predictable than fad and megatrend is unpredictable",,,,,,
," Fad is unpredictable,trend is more predictable than fad and megatrend is highly predictable",,,,,,
," Fad is unpredictable,trend is more predictable than fad and megatrend is difficult to predict",,,,,,
,"Fad is predictable,trend is more predictable than fad and megatrend is difficult to predict",,,,,,
,,,,,,,
,"Factors like population growth,age,ethnicity are covered in which macroeconomic environment?",D,E,Theory,Single Choice,Marketing: Market Research,
,Economic environment,,,,,,
,Socio-cultural environment,,,,,,
, Legal environment,,,,,,
, Demographic environment,,,,,,
,,,,,,,
,"Factors like values,attitudes,behaviours are covered in which macroeconomic environment?",B,E,Theory,Single Choice,Marketing: Market Research,
,Economic environment,,,,,,
,Socio-cultural environment,,,,,,
, Legal environment,,,,,,
, Demographic environment,,,,,,
,,,,,,,
,Transistors hurt the vacuum tube industry;autos hurt the railroads;Televisions hurt newspapers;all these are examples of which macroeconomic environment?,C,M,Theory,Single Choice,Marketing: Market Research,
, Natural environment,,,,,,
,Socio-cultural environment,,,,,,
, Technological environment,,,,,,
, Demographic environment,,,,,,
,,,,,,,
,FDA stands for:,C,M,Theory,Single Choice,Marketing: Market Research,
, Food and development association,,,,,,
, Food and drug association,,,,,,
, Food and drug administration,,,,,,
, Food and development administration,,,,,,
,,,,,,,
,What is an 'available market'?,C,M,Theory,Single Choice,Marketing: Market Research,
, The available market is the set of consumers with a sufficient levelof interest in a market offer.,,,,,,
," The available market is the set of consumers who have interest,income ,access and authority over a particular offer.",,,,,,
," The available market is the set of consumers who have interest,income ,access to a particular offer.",,,,,,
, All of the above,,,,,,
,,,,,,,
,What is a 'Penetrated market'?,C,H,Theory,Single Choice,Marketing: Market Research,
, It is the set of consumers who are willing to buy the company's product.,,,,,,
, It is the set of consumers who are available to buy the company's product.,,,,,,
, It is the set of consumers who are actually buying the company's product.,,,,,,
, It is the set of consumers who are forced to buy the company's product.,,,,,,
,,,,,,,
