,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Marketing Information System Relies on?,D,E,Theory,Single Choice,Marketing: Market Research,
, Marketing Intelligence Activities,,,,,,
, Internal Company Records,,,,,,
, Market Research,,,,,,
, All of the above,,,,,,
,,,,,,,
,The main difference between Market Research and Marketing research?,B,M,Theory,Single Choice,Marketing: Market Research,
,  Marketing research related academic matters and Market research does not,,,,,,
,Market research concerns strategic moves and Marketing research does not,,,,,,
, Market research concerns operational decisions; marketing research does not,,,,,,
, None of the above,,,,,,
,,,,,,,
,Marketing information system does not include?,B,E,Theory,Single Choice,Marketing: Market Research,
, Internal Records,,,,,,
, Marketing insight system,,,,,,
, Analysis System,,,,,,
, Marketing Research System,,,,,,
,,,,,,,
,Expensive qualitative research method,D,E,Theory,Single Choice,Marketing: Market Research,
, Delphi,,,,,,
, Ethnography,,,,,,
, Depths,,,,,,
,Focus Groups,,,,,,
,,,,,,,
,Which of the following one is not part of originally (initially) proposed marketing mix?,C,E,Theory,Single Choice,Marketing: Market Research,
, Place,,,,,,
, Price,,,,,,
, Performance,,,,,,
, Product,,,,,,
,,,,,,,
,Which one should these be used as a starting point for any research project?,A,E,Theory,Single Choice,Marketing: Market Research,
,Secondary data,,,,,,
, Primary data,,,,,,
, Continuous data,,,,,,
, Omnibus data,,,,,,
,,,,,,,
,Which of the following comes under the category of Veblen goods?,C,H,Theory,Single Choice,Marketing: Market Research,
, Industrial goods,,,,,,
, Convenience goods,,,,,,
, Conspicuous goods,,,,,,
, Speciality goods,,,,,,
,,,,,,,
,What kind of marketing concentrates on only one group of consumers?,A,H,Theory,Single Choice,Marketing: Market Research,
, Niche marketing,,,,,,
, Content marketing,,,,,,
, Cloud marketing,,,,,,
, Ambush marketing,,,,,,
,,,,,,,
,Market research is mainly for ,D,M,Theory,Single Choice,Marketing: Market Research,
, Deciding sales incentives,,,,,,
, Making right products,,,,,,
, Choosing right pricing strategy,,,,,,
, Making proper marketing decisions,,,,,,
,,,,,,,
,Market segmentation helps in,D,H,Theory,Single Choice,Marketing: Market Research,
, Improved lead generation,,,,,,
, Identifying the target group,,,,,,
, Focused marketing,,,,,,
, All ,,,,,,
,,,,,,,
,"Knowing cultural values is important for any market, So which of the following best explains core beliefs?",D,H,Theory,Single Choice,Marketing: Market Research,
, These passed by paretns to children,,,,,,
, Reinforced by the social institutions,,,,,,
, Are more open to change,,,,,,
, Both A and B,,,,,,
,,,,,,,
,Which of the following is not a measure of Market demand?,C,H,Theory,Single Choice,Marketing: Market Research,
, Potential market,,,,,,
, Available market,,,,,,
, Untapped market,,,,,,
, Target market,,,,,,
,,,,,,,
,"Sustainable marketing is characterized as the ""third age"" ",B,H,Theory,Single Choice,Marketing: Market Research,
, Recycling,,,,,,
, Green marketing,,,,,,
, Pollution,,,,,,
, Planned obsolescence,,,,,,
,,,,,,,
,Which is(are) the systematic collection analysis of publicly available information for the competitor analysis and developments in the marketing ,C,H,Theory,Single Choice,Marketing: Market Research,
, Competitor analysis,,,,,,
, Internal company records,,,,,,
, Marketing Intelligence,,,,,,
, Market research,,,,,,
,,,,,,,
,What kind of information that is already exists somewhere and collected for another purpose,C,M,Theory,Single Choice,Marketing: Market Research,
, External Information,,,,,,
, Primary Data,,,,,,
, Secondary Data,,,,,,
, Experimental Information,,,,,,
,,,,,,,
,Which information is collected for specific purpose at hand,D,H,Theory,Single Choice,Marketing: Market Research,
, Experimental information,,,,,,
,Secondary data,,,,,,
,External information,,,,,,
, Primary data,,,,,,
,,,,,,,
,"Which is used for market potential, market share studies, assessments of customer satisfaction, purchase behavior, and studies of price, product, distribution and promotion",D,H,Theory,Single Choice,Marketing: Market Research,
, Market Intelligence,,,,,,
, Market control,,,,,,
, Internal Company records,,,,,,
, Market research,,,,,,
,,,,,,,
,"In the above question, Set up 99% limits of the mean height of the population
",C,M,Theory,Single Choice,Marketing: Market Research,
, 63.6 to 64.3,,,,,,
, 64.4 to 65.1,,,,,,
, 63.2  to 64.8,,,,,,
, None of the above,,,,,,
,,,,,,,
,"For the above question, Establish 99% confidence limits within which the mean life of tyres is expected to lie.",A,M,Theory,Single Choice,Marketing: Market Research,
, 38508.92 to 40191.08,,,,,,
, 38711.04 to 39988.96,,,,,,
, 38515.44 to 40184.56,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following technological trends should be monitored by Marketers,D,E,Theory,Single Choice,Marketing: Market Research,
," Accelerating pace of change, Unlimited opportunities for innovation",,,,,,
," Varying R&D budgets, Increase in regulation of technological change",,,,,,
," Accelerating pace of change, Varying R&D budgets",,,,,,
, Both A and B,,,,,,
,,,,,,,
,Saturation is a stage in product life cycle which occurs after..?,B,E,Theory,Single Choice,Marketing: Market Research,
, Growth,,,,,,
, Maturity,,,,,,
, Introduction,,,,,,
, Decline,,,,,,
,,,,,,,
,Generally the countries with huge population tend to lose a lot of homogeneity. Because of this which of the following may arise?,B,H,Theory,Single Choice,Marketing: Market Research,
, Multilingual needs,,,,,,
, Subcultures,,,,,,
, Product adaptation requirements,,,,,,
, Cultures,,,,,,
,,,,,,,
,"Which of the following is a prime factor in influencing the consumer's behavior, wants and needs",C,E,Theory,Single Choice,Marketing: Market Research,
, Price,,,,,,
, Brand,,,,,,
, Culture,,,,,,
, Product,,,,,,
,,,,,,,
,"Because of mass communication and mass transit, the barriers between subcultures start disappearing. So what are the effects that cause this phenomenon?",B,M,Theory,Single Choice,Marketing: Market Research,
, Great awareness of pricing policies,,,,,,
, Decline in the influence of religious values,,,,,,
, Strong awareness of brands in the market ,,,,,,
, Decline in communal influences,,,,,,
,,,,,,,
,Which of the following has gain huge importance while designing marketing strategy?,A,M,Theory,Single Choice,Marketing: Market Research,
," Age groups, such as the teen market, baby boomers, and the mature market",,,,,,
, The concept and the brand,,,,,,
, Inflation of the dollar,,,,,,
, Change in consumers’ attitudes,,,,,,
,,,,,,,
,Reference groups mean,A,E,Theory,Single Choice,Marketing: Market Research,
, Groups that an individual looks for when forming opinions and attitudes,,,,,,
, Groups of office colleagues,,,,,,
, Family members and relatives,,,,,,
, None of the above,,,,,,
,,,,,,,
