,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,The first stage of the consumer decision process is ,D,E,Theory,Single Choice,Marketing: Market Research,
, External search,,,,,,
, Internal search,,,,,,
, Purchase,,,,,,
, None of the above,,,,,,
,,,,,,,
,All of the following helps in determining search except:,D,E,Theory,Single Choice,Marketing: Market Research,
, Income,,,,,,
, Past experiences,,,,,,
, Personality,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not one of the primary consumer resources?,A,E,Theory,Single Choice,Marketing: Market Research,
, Information processing,,,,,,
, Time,,,,,,
, Money,,,,,,
, Knowledge,,,,,,
,,,,,,,
,Which search involves the retrieval of knowledge from memory?,C,E,Theory,Single Choice,Marketing: Market Research,
, Primary,,,,,,
, Subjective,,,,,,
, Internal,,,,,,
, Generic,,,,,,
,,,,,,,
,The relationship between consumer knowledge and search is,D,E,Theory,Single Choice,Marketing: Market Research,
, U - shaped,,,,,,
, Horizontal,,,,,,
, Positive,,,,,,
, an inverted - U,,,,,,
,,,,,,,
,Which among the following is not a noncompensatory stage?,C,M,Theory,Single Choice,Marketing: Market Research,
, Lexicographic,,,,,,
, Conjunctive,,,,,,
, Equal weight strategy,,,,,,
, None of the above,,,,,,
,,,,,,,
,Watching customers in the natural environment is the process of ,C,M,Theory,Single Choice,Marketing: Market Research,
, Experimental research,,,,,,
, Observational research,,,,,,
, Ethnographic research,,,,,,
, Focus group research,,,,,,
,,,,,,,
,The most common type of research instrument is,D,M,Theory,Single Choice,Marketing: Market Research,
, Survey,,,,,,
, Phone interview,,,,,,
, Moderator,,,,,,
, Questionnaire,,,,,,
,,,,,,,
,Exploratory research undergo the following methods except:,D,M,Theory,Single Choice,Marketing: Market Research,
, Pilot search,,,,,,
, Review of literature,,,,,,
, Experience survey,,,,,,
, None of the above,,,,,,
,,,,,,,
,The depth interview is similar to,A,M,Theory,Single Choice,Marketing: Market Research,
, Focus group,,,,,,
, Semiotic study,,,,,,
, Phenomenological,,,,,,
, None of the above,,,,,,
,,,,,,,
,Semiotics is ,A,M,Theory,Single Choice,Marketing: Market Research,
, Sign processes,,,,,,
, Body language,,,,,,
, Projective technique,,,,,,
, Syndicated,,,,,,
,,,,,,,
,The purchasing decision involves,D,M,Theory,Single Choice,Marketing: Market Research,
, Type of retail concept,,,,,,
, Type of store,,,,,,
, Retailer to patronize,,,,,,
, All of the above,,,,,,
,,,,,,,
,Products with brand identification not purchased regularly by customers but require a special purchase effort are called,C,H,Theory,Single Choice,Marketing: Market Research,
, Covenience Products,,,,,,
, Shopping products,,,,,,
, Specialty Products,,,,,,
, None of the above,,,,,,
,,,,,,,
,"In which of the following buting decisions the ""in"" suppliers are likely to get nervous while putting their foots forward?",C,H,Theory,Single Choice,Marketing: Market Research,
, Direct rebuy,,,,,,
, Indirect rebuy,,,,,,
, Modified rebuy,,,,,,
, New task purchase,,,,,,
,,,,,,,
,The promotion strategy in which sales force and trade promotion are used to take the product directly to customer is,B,H,Theory,Single Choice,Marketing: Market Research,
, Pull strategy,,,,,,
, Push Strategy,,,,,,
, Relationship marketing,,,,,,
, Integrated strategy,,,,,,
,,,,,,,
,Different constraints that may crop up in a research is/are,D,H,Theory,Single Choice,Marketing: Market Research,
, Time,,,,,,
, Money,,,,,,
, Legal and ethical,,,,,,
, All of the above,,,,,,
,,,,,,,
,Hypotheis provide the following benefits,D,H,Theory,Single Choice,Marketing: Market Research,
, They determine the focus and direction of a research effort,,,,,,
, Their developmet forces the researcher to clearly state the purpose of the research activity,,,,,,
, They determine what variables will not be considered in the study as well as those not considered for the study,,,,,,
, All if the above,,,,,,
,,,,,,,
,Is a philosophy saying that a company's marketing should support the best long run performance of the marketing system,A,H,Theory,Single Choice,Marketing: Market Research,
, Enlightened marketing,,,,,,
, Holistic marketing,,,,,,
, Marketing Myopia,,,,,,
, None of the above,,,,,,
,,,,,,,
,The type of brand created and owned by the reseller of a product or service is ,B,H,Theory,Single Choice,Marketing: Market Research,
, Co brand,,,,,,
, Private brand,,,,,,
, Licensed brand,,,,,,
, Manufacturer's brand,,,,,,
,,,,,,,
,"Firm ""C"" is focusing upon customer demographic,psychographic, product usage in its marketing research. The firm is engaged in",B,H,Theory,Single Choice,Marketing: Market Research,
, Product testing,,,,,,
, Target market analysis,,,,,,
, Competition analysis,,,,,,
, None of the above,,,,,,
,,,,,,,
