,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
," The process of collecting information about the industry in which a particular company operates in terms of policies, news, regulations etc is called :",B,M,Theory,Single Choice,Marketing : Market Research,
,Market research,,,,,,
,Market Intelligence,,,,,,
,Market Operations,,,,,,
,Due Diligence,,,,,,
,,,,,,,
,A clearly defined search for answers to some questions which can help the company take important strategic and tactical decisions; is best defined as :,A,M,Theory,Single Choice,Marketing : Market Research,
,Market Research,,,,,,
,Market Intelligence,,,,,,
,Market Operations,,,,,,
,Due Diligence,,,,,,
,,,,,,,
," Segmenting, Targeting and Positioning comprise :",B,M,Theory,Single Choice,Marketing : Market Research,
,Market Plan,,,,,,
,Marketing Strategy,,,,,,
,Market Research,,,,,,
,Market Intelligence,,,,,,
,,,,,,,
, The 4Ps of marketing would be best described in the :,B,M,Theory,Single Choice,Marketing : Market Research,
,Strategy Plan,,,,,,
,Marketing Plan,,,,,,
,Research Plan,,,,,,
,Intelligence Plan,,,,,,
,,,,,,,
, Decisions which involve a long term perspective are best described as :,A,M,Theory,Single Choice,Marketing : Market Research,
,Strategic,,,,,,
,Tactical,,,,,,
,Neo Strategic,,,,,,
,Operational,,,,,,
,,,,,,,
, Decisions which involve a short term perspective are ___________________ in nature,B,M,Theory,Single Choice,Marketing : Market Research,
,Strategic,,,,,,
,Tactical,,,,,,
,Neo Strategic,,,,,,
,Operational,,,,,,
,,,,,,,
," Research on all aspects of advertising such as brand recall, brand awareness etc is :",A,M,Theory,Single Choice,Marketing : Market Research,
,Copy Testing,,,,,,
,Marketing,,,,,,
,Strategy Profiling,,,,,,
,Media Research,,,,,,
,,,,,,,
, The research into viewership of specific programmes on Television is called :,D,M,Theory,Single Choice,Marketing : Market Research,
,Copy Testing,,,,,,
,Marketing,,,,,,
,Strategy Profiling,,,,,,
,Media Research,,,,,,
,,,,,,,
," Referring to published sources of data, newspapers, periodicals and journals is :",A,M,Theory,Single Choice,Marketing : Market Research,
,Secondary research,,,,,,
,Primary Research,,,,,,
,Media Research,,,,,,
,Tertiary Research,,,,,,
,,,,,,,
, The Research Objective or the Research Problem entails :,A,M,Theory,Single Choice,Marketing : Market Research,
,defining several areas of study not necessarily relevant to the company&rsquo;s present situation,,,,,,
,defining narrow areas of study of relevance to the company&rsquo;s present situation,,,,,,
,doing a study without any clearly defined objective,,,,,,
,finding out problems with the past research done by the company,,,,,,
,,,,,,,
, Research done with the idea of clarifying thoughts and observations about the current problem or to understand how to do more conclusive research is :,A,M,Theory,Single Choice,Marketing : Market Research,
,Exploratory Research,,,,,,
,Descriptive Research,,,,,,
,Causal Research,,,,,,
,Casual Research,,,,,,
,,,,,,,
, Which kind of research is most helpful in generating hypotheses :,A,M,Theory,Single Choice,Marketing : Market Research,
,Exploratory Research,,,,,,
,Descriptive Research,,,,,,
,Causal Research,,,,,,
,Casual Research,,,,,,
,,,,,,,
, Descriptive research is of the following types :,A,M,Theory,Single Choice,Marketing : Market Research,
,Cross sectional and longitudinal,,,,,,
,Exploratory and Causal,,,,,,
,Causal and Exploratory,,,,,,
,Manual and Automated,,,,,,
,,,,,,,
, Research studies which involve a sample of candidates being studied over a period of time is called :,B,M,Theory,Single Choice,Marketing : Market Research,
,Cross sectional studies,,,,,,
,Longitudinal Studies,,,,,,
,Latitudinal Studies,,,,,,
,Exploratory Studies,,,,,,
,,,,,,,
, Which of the following is a likely disadvantage of using panel data :,B,M,Theory,Single Choice,Marketing : Market Research,
,it facilitates comparison across years,,,,,,
,gives users the advantage of choosing the sample without any criterion (selection bias),,,,,,
,allows the researcher to understand trends that develop over years,,,,,,
,facilitates in depth research,,,,,,
,,,,,,,
, Research undertaken at a single point of time with a sample of interest is called :,A,M,Theory,Single Choice,Marketing : Market Research,
,Cross sectional studies,,,,,,
,Longitudinal Studies,,,,,,
,Latitudinal Studies,,,,,,
,Exploratory Studies,,,,,,
,,,,,,,
, Which of the following is a disadvantage of cross sectional studies :,C,M,Theory,Single Choice,Marketing : Market Research,
,gives a good overall picture of the position at any point of time,,,,,,
,allows flexibility,,,,,,
,can be affected by the quality of the interviewers,,,,,,
,can cover many variables of interest,,,,,,
,,,,,,,
, Research studies that seek to establish a relationship between two variables are :,B,M,Theory,Single Choice,Marketing : Market Research,
,Descriptive Studies,,,,,,
,Causal Studies,,,,,,
,Exploratory Studies,,,,,,
,Explanatory Studies,,,,,,
,,,,,,,
, The Non response bias is most frequently observed in :,A,M,Theory,Single Choice,Marketing : Market Research,
,Surveys,,,,,,
,Focus Group Discussions,,,,,,
,Questionnaires,,,,,,
,Ethnographic Studies,,,,,,
,,,,,,,
," The phenomena in which candidates averse to filling up surveys, questionnaires get excluded from the sample despite being a part of the representative population is called :",D,M,Theory,Single Choice,Marketing : Market Research,
,Saliency Bias,,,,,,
,Halo effect,,,,,,
,Selection Bias,,,,,,
,Non Response Bias,,,,,,
,,,,,,,
, The technique of data collection in which a consumer&rsquo;s behavior is recorded without his knowledge is called :,A,M,Theory,Single Choice,Marketing : Market Research,
,Observation,,,,,,
,Voyeurism,,,,,,
,Scrutiny,,,,,,
,Inspection,,,,,,
,,,,,,,
, A technique which allows researchers to apply a variety of techniques and discover new relationships between variables is called :,A,M,Theory,Single Choice,Marketing : Market Research,
,Experimentation,,,,,,
,Voyeurism,,,,,,
,Scrutiny,,,,,,
,Inspection,,,,,,
,,,,,,,
, Qualitative techniques require :,B,M,Theory,Single Choice,Marketing : Market Research,
,Numbers,,,,,,
,Psychologists or Behavioural Analysts to analyse the findings,,,,,,
