,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which one of the following is NOT considered as competitive differentiation?,B,M,Theory,Single Choice,Marketing:Sales,
, Product,,,,,,
, Sales,,,,,,
, Service ,,,,,,
, Image,,,,,,
,,,,,,,
,"Whichever positioning you may like to choose, it has to stem from which one of the following point of view so that they can own it?",A,M,Theory,Single Choice,Marketing,
, Customers,,,,,,
, Competitors,,,,,,
, General Managers,,,,,,
, Brand owners,,,,,,
,,,,,,,
,Which of the following is a “concise statement that summarizes brand’s commitment or promise to target consumers and actively communicates the advantage over competing brands”?,C,M,Theory,Single Choice,Marketing:Brand Management,
, Vision statement ,,,,,,
, Mission statement,,,,,,
, Positioning statement ,,,,,,
,Value statement,,,,,,
,,,,,,,
,Which of the following is basically getting into different versions of the same base product on the same market?,D,H,Theory,Single Choice,Marketing:Product Management,
, Product extension,,,,,,
, Brand diversification,,,,,,
, Market extension,,,,,,
, Line extension,,,,,,
,,,,,,,
,"According to Scot Davis, how many years are required to change the brand positioning?",D,M,Theory,Single Choice,Marketing:Brand Management,
, Two to five years,,,,,,
, Three to six years,,,,,,
, Two to six years,,,,,,
, Three to five years,,,,,,
,,,,,,,
,"Which of the following is one of the marketer’s major positioning tools, which has a direct impact on product or service performance; thus, it is closely linked to customer value and satisfaction.",B,H,Theory,Single Choice,Marketing:Product Management,
, Social marketing,,,,,,
, Product quality,,,,,,
, Specialty marketing,,,,,,
, Position marketing,,,,,,
,,,,,,,
,An apparel marketer is planning to launch an existing brand name into a new product category. Which brand development strategy is being implemented?,C,M,Theory,Single Choice,Marketing:Product Management:Brand Management,
, Line extension,,,,,,
, Multibrand,,,,,,
, Brand extension,,,,,,
, Rebranding,,,,,,
,,,,,,,
,Brand picture is based on which one of the following?,D,H,Theory,Single Choice,Marketing:Brand Management,
, Brand value,,,,,,
, Brand mission,,,,,,
, Brand vision,,,,,,
, Brand image,,,,,,
,,,,,,,
,A sound mission and value statement must have all the attributes EXCEPT:,C,M,Theory,Single Choice,Marketing,
, Memorable,,,,,,
, Pragmatic,,,,,,
, Lengthy,,,,,,
, Inspiring,,,,,,
,,,,,,,
,Which of the following is considered the first step of the strategic brand management process?,B,H,Theory,Single Choice,Marketing:Brand Management,
, Building brand mission,,,,,,
, Building brand vision,,,,,,
, Building brand objectives,,,,,,
, Building brand picture,,,,,,
,,,,,,,
,"Market is divided into groups on the basis of age, family size, gender, income, occupation, education, religion, race, generation, nationality, or social class is the best description of which of the following?",A,M,Theory,Single Choice,Marketing,
, Demographics,,,,,,
, Psychographics,,,,,,
, Behavioral,,,,,,
, Geographic,,,,,,
,,,,,,,
,"A __________ organization is customer-centric, and all the decisions it makes are based on involvement of all in the organization.",A,M,Theory,Single Choice,Marketing:Brand Management,
, Brand-based  ,,,,,,
, Customer-based,,,,,,
, Product-based  ,,,,,,
, None of the given options,,,,,,
,,,,,,,
,"Apart from the ‘four Ps’ of marketing mix, the three additional elements of service brands are people, process, and__________.",A,H,Theory,Single Choice,Marketing,
, Physical evidence ,,,,,,
, Physiological evidence,,,,,,
, Psychological evidence  ,,,,,,
, Packaging,,,,,,
