,Question,Answer,Level,Category,Type,Skills,Answer Description
,The use of price points for reference to different levels of quality for a company's related products is typical of which product-mix pricing strategy?,D,H,Theory,Single Choice,Marketing:Pricing Strategy,
,Optional-product pricing,,,,,,
,Captive-product pricing,,,,,,
,By-product pricing,,,,,,
,Product line pricing,,,,,,
,,,,,,,
,"If a company's objective were to reach masses of buyers that were geographically dispersed at a low cost per exposure, the company would likely choose which of the following promotion forms?",A,M,Theory,Single Choice,Marketing:Advertising,
,Advertising,,,,,,
,Personal selling,,,,,,
,Public relations,,,,,,
,Sales promotion,,,,,,
,,,,,,,
,"Using a successful brand name to introduce additional items in a given product category under the same brand name (such as new flavors, forms, colors, added ingredients, or package sizes) is called a(n):",A,M,Theory,Single Choice,Marketing:Product Management,
,line extension.,,,,,,
,brand extension.,,,,,,
,multi branding.,,,,,,
,New Brands,,,,,,
,,,,,,,
," Successful service companies focus their attention on both their customers and their employees. They understand , which links service firm profits with employee and customer satisfaction.",B,M,Theory,Single Choice,Marketing,
, internal marketing,,,,,,
, service-profit chains,,,,,,
, interactive marketing,,,,,,
, service differentiation,,,,,,
,,,,,,,
, The type of sales presentation approach that requires good listening and problem- solving skills is the:,C,M,Theory,Single Choice,Marketing:Sales,
, canned approach.,,,,,,
, formula approach.,,,,,,
, need-satisfaction approach.,,,,,,
, critical-thinking approach.,,,,,,
,,,,,,,
, Wal-Mart owned Sam's club is an example of a retail form called a(n):,D,M,Theory,Single Choice,Marketing:Distribution:Channel Management,
, factory outlet.,,,,,,
, super specialty store.,,,,,,
, seconds store.,,,,,,
, warehouse club.,,,,,,
,,,,,,,
,_______ is the general term for a buying and selling process that is supported by electronic means.,D,E,Theory,Single Choice,Marketing,
, Internet commerce,,,,,,
, Web commerce,,,,,,
, Computer commerce,,,,,,
, Electronic commerce,,,,,,
,,,,,,,
,"When a company enters a new product category for which its current brand names are not appropriate, it will likely follow which of the following brand strategies?",D,E,Theory,Single Choice,Marketing:Product Management,
, Product extensions,,,,,,
, Line extensions,,,,,,
, Brand extensions,,,,,,
, New brands,,,,,,
,,,,,,,
,"__________consists of dividing a market into distinct groups of buyers on the basis of needs, characteristics, or behavior who might require separate products or marketing mixes.",B,E,Theory,Single Choice,Marketing:STP,
, Product differentiation,,,,,,
, Market segmentation,,,,,,
, Market targeting,,,,,,
, Market positioning,,,,,,
,,,,,,,
," In terms of special product life cycles, a _______ is a basic and distinctive mode of expression.",B,M,Theory,Single Choice,Marketing,
, genre,,,,,,
, style,,,,,,
, fashion,,,,,,
, fad,,,,,,
,,,,,,,
