,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,"An investigation to gauge the trends in the consumption of soft drinks with respect to demographics, income level etc. would be called ____________",A,E,Theory,Single Choice,Marketing:Market Research,
, Descriptive Research,,,,,,
, Causal Research,,,,,,
, Exploratory Research,,,,,,
, Data analysis,,,,,,
,,,,,,,
,"A survey is to be conducted to understand customer satisfaction. There are three age groups- below 25, 25-40 and above 40. the confidence level is 95% with 5% error. The standard deviation is 1.2,0.9,0.7 with 30% customers in below 25, 25-40 age group and 40% in above 40 age group respectively. What will be the total sample size of the survey?",B,H,Theory,Single Choice,Marketing:Numerical,
, 1200,,,,,,
, 1339,,,,,,
, 1500,,,,,,
, 1000,,,,,,
,,,,,,,
,"A survey is to be conducted to understand customer satisfaction. There are three age groups- below 25, 25-40 and above 40. the confidence level is 95% with 5% error. The standard deviation is 1.2,0.9,0.7 with 30% customers in below 25, 25-40 age group and 40% in above 40 age group respectively. What will be the sample size for age group 25-40 of the survey?",C,H,Theory,Single Choice,Marketing:Numerical,
, 536,,,,,,
, 500,,,,,,
, 402,,,,,,
, 400,,,,,,
,,,,,,,
,"A survey is to be conducted to understand customer satisfaction. There are three age groups- below 25, 25-40 and above 40. the confidence level is 95% with 5% error. The standard deviation is 1.2,0.9,0.7 with 30% customers in below 25, 25-40 age group and 40% in above 40 age group respectively. What will be the sample size for age group above 40 of the survey?",D,H,Theory,Single Choice,Marketing:Numerical,
, 600,,,,,,
, 400,,,,,,
, 543,,,,,,
, 536,,,,,,
,,,,,,,
,The 'Brave and Beautiful' campaign saluting the women cancer survivors was launched by:-,A,E,Theory,Single Choice,Marketing:GK,
, Dabur,,,,,,
, ITC,,,,,,
, HUL,,,,,,
, P&G,,,,,,
,,,,,,,
,Vodafone ZooZoo advertisements were created by: -,C,E,Theory,Single Choice,Marketing:GK,
, Vodafone ,,,,,,
, Sachi & Sachi,,,,,,
, Ogilvy & Mather,,,,,,
, Mudra Communications,,,,,,
,,,,,,,
,Validity has to do with the accuracy and precision of a measurement procedure?,B,E,Reasoning,Single Choice,Marketing,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"4 Ps of marketing are Product, Place, Promotion, ______",A,E,Theory,Single Choice,Marketing,
, Price,,,,,,
, People,,,,,,
, Process,,,,,,
, Physical evidence,,,,,,
,,,,,,,
,"Tata Tea, ""Jaago Re"" ad campaign is ______ marketing",B,H,Theory,Single Choice,Marketing,
, Societal,,,,,,
, Social,,,,,,
, Product,,,,,,
, None of these,,,,,,
,,,,,,,
,"Maggi manufactures its noodles based on forecasts to meet the demand. Thus, it uses _______ production strategy",B,M,Theory,Single Choice,Marketing:Production,
, Make to Order,,,,,,
, Make to Stock,,,,,,
, Make to Supply,,,,,,
, None of these,,,,,,
,,,,,,,
,"i) Need Recognition
ii) Evaluation of alternatives
iii) Purchase
iv) Information search
What is the correct order?",B,M,Theory,Single Choice,Marketing:Consumer Insights,
, i - ii - iii - iv,,,,,,
, i - iv - ii - iii,,,,,,
, i - iv - iii - ii,,,,,,
, i - iii - iv - ii,,,,,,
,,,,,,,
,Following are the ways to segment within the category of behavioral EXCEPT,C,M,Theory,Single Choice,Marketing,
, Occasional,,,,,,
, Lifestyle,,,,,,
, Income level,,,,,,
, None of these,,,,,,
,,,,,,,
,A market survey can be classified as ___________ activity,B,M,Theory,Single Choice,Marketing:Market Research,
, Market planning,,,,,,
, Market Research,,,,,,
, Market Strategy,,,,,,
, All of the above,,,,,,
,,,,,,,
,_________ is a FMCG company.,B,M,Theory,Single Choice,Marketing,
, Printing Machines,,,,,,
, Tobaco Product,,,,,,
, Life Saving Drugs,,,,,,
, Coin Vending Machines,,,,,,
,,,,,,,
,A Salesperson earns an incentive for-,B,E,Theory,Single Choice,Marketing:Sales,
, Designing products,,,,,,
, Meeting/Exceeding the target,,,,,,
, Identifying leads,,,,,,
, Both a and b,,,,,,
,,,,,,,
,ABC electronics wants to launch a new product in the market. What type of research should it conduct to assess the insights of the consumers ?,B,E,Theory,Single Choice,Marketing:Market Research,
, Descriptive Research,,,,,,
, Exploratory Research,,,,,,
, Causal Research ,,,,,,
, None of the above,,,,,,
,,,,,,,
,"""Keeping idiots at bay"" tagline is used by which company?",C,M,Theory,Single Choice,Marketing:Advertising,
, Fevikwik,,,,,,
, Coca Cola,,,,,,
, Ceat Tyres,,,,,,
, ITC,,,,,,
,,,,,,,
,______ was found in Maggi which lead to banning nationwide. ,B,E,Theory,Single Choice,Marketing:GK,
, Lead,,,,,,
, Mono Sodium Glutamate,,,,,,
, Pesticides,,,,,,
, Tri Sodium Glutamate,,,,,,
,,,,,,,
,What is the fullform of PLC?,D,M,Theory,Single Choice,Marketing:Product Management,
, Process Life Cycle,,,,,,
, Product List Cost,,,,,,
, Process List Cost,,,,,,
, Product Life Cycle,,,,,,
,,,,,,,
,If Arun segments the market based on the socio-economic factors then such a segmentation is called _________ segmentation,B,E,Theory,Single Choice,Marketing,
, Behavioural,,,,,,
, Demographic,,,,,,
, Geographical,,,,,,
, Psychographic,,,,,,
,,,,,,,
,If a website publisher charges $1.75 CPM. Then how much do you need to pay if there are 1 million impressions on the website?,A,H,Theory,Single Choice,Marketing:Numerical,
, $ 1750,,,,,,
, $ 175,,,,,,
, $ 17500,,,,,,
, $ 1.75,,,,,,
,,,,,,,
,Consumers share a strong need that cannot be satisfied by an existing product. Such a demand is called _________ demand,C,E ,Theory,Single Choice,Marketing:Consumer Insights,
, Negative,,,,,,
, Nonexistent ,,,,,,
, Latent,,,,,,
, Irregular,,,,,,
,,,,,,,
,Herman Miller is a furniture manufacturing firm. It uses eco-friendly raw materials to make the furniture green. It uses the same for marketing its products. What type of marketing is this?,C,H,Theory,Single Choice,Marketing,
, Social marketing,,,,,,
, Product marketing,,,,,,
, Societal marketing,,,,,,
, None of the above,,,,,,
,,,,,,,
,SBU stands for _________,B,M,Theory,Single Choice,Marketing,
, Small Business Unit,,,,,,
, Strategic Business Unit,,,,,,
, Small Buying Unit,,,,,,
, Strategic Buying Unit,,,,,,
,,,,,,,
,"If 1,00,00,000 Indians eat at a restaurant with an average family size of 4 and average bill of INR 250. Then what is the total market potential? ",A,H,Theory,Single Choice,Marketing:Numerical,
," 250 X 1,00,00,000",,,,,,
," 250 X 4 X 1,00,00,000",,,,,,
," 250 X 1,00,00,000 / 4",,,,,,
," 1,00,00,000 X 4 /250",,,,,,
,,,,,,,
,Firms that want to hold position in the market without rocking boat is called?,B,M,Theory,Single Choice,Marketing,
, Market Challenger,,,,,,
, Market Follower,,,,,,
, Market Nicher,,,,,,
, Market Leader,,,,,,
,,,,,,,
,Socio-economic groups segment the population by:,D,M,Theory,Single Choice,Marketing,
, Occupation and taste,,,,,,
, Occupation and education,,,,,,
, Income and gender,,,,,,
, None of these,,,,,,
