,Questions,Correct answer,Level,Category,Type,Skills,Answer Description
,,,,,,,
,"If the firm is training and motivating the employees who will serve the customers, then this type of practice is called",C,M,Theory,Single Choice,Marketing,
, Interactive marketing,,,,,,
, Service marketing,,,,,,
, Internal marketing,,,,,,
, Double-up marketing,,,,,,
,,,,,,,
,Adding new features to the existing product is an example off which of the following approach?,D,M,Theory,Single Choice,Marketing:Product Development,
,Production approach,,,,,,
, Selling approach,,,,,,
, Marketing approach,,,,,,
, Product approach,,,,,,
,,,,,,,
,____ is the key task of the marketer and also to create the customer perceptions that their product is worth buying,D,E,Theory,Single Choice,Marketing,
, To promote sales of products,,,,,,
, To do marketing surveeys,,,,,,
, To make products easily available across the stores,,,,,,
, To differentiate trshe products from competitors,,,,,,
,,,,,,,
,Parents act as _____ in buying toys for their children,D,E,Theory,Single Choice,Marketing,
, Decider,,,,,,
, Maintainer,,,,,,
, Buyer,,,,,,
, all of the above,,,,,,
,,,,,,,
,Bread & jam and milk are what kind of products?,B,M,Theory,Single Choice,Marketing,
, Shopping products,,,,,,
, Coveninece products,,,,,,
, unsought products,,,,,,
, Speciality products,,,,,,
,,,,,,,
,The buying process of the buyer starts when he recognises a,B,H,Theory,Single Choice,Marketing,
, Sales person demonstrating the product,,,,,,
, Need or problem,,,,,,
, Advertisement of the product,,,,,,
, Product,,,,,,
,,,,,,,
,"According to ____ concept, customers favors products with offering the most quality ,performance and innovative features",D,M,Theory,Single Choice,Marketing,
, Production,,,,,,
, Selling,,,,,,
, marketing concept,,,,,,
, product concept,,,,,,
,,,,,,,
,"____ Concept holds that customers and businesses ,if left alone, will not buy enough of the organization's products",B,H,Theory,Single Choice,Marketing,
, Production concept,,,,,,
,selling concept,,,,,,
, Product concept,,,,,,
, marketing concept,,,,,,
,,,,,,,
,_________ is called a cluster of complementary goods and services across diverse set of industries,D,M,Theory,Single Choice,Marketing,
, Market place,,,,,,
, Market space,,,,,,
, resource market,,,,,,
, Meta market,,,,,,
,,,,,,,
,_______ is the last stage of consumer buying decision process,A,M,Theory,Single Choice,Marketing,
, post purchase behaviour,,,,,,
, Alternative evaluation,,,,,,
, purchase,,,,,,
, Problem recognition,,,,,,
,,,,,,,
,Which one of the following is considered as the key player in the market industry,D,H,Theory,Single Choice,Marketing,
, Suppliers,,,,,,
, Distributors,,,,,,
, marketer,,,,,,
, all of the above,,,,,,
,,,,,,,
,Marketing mix is the not visible part of the marketing industry,A,M,Reasoning,Single Choice,Marketing,
, False,,,,,,
, True,,,,,,
,,,,,,,
,These markets are made up of the members of distribution channel,B,H,Theory,Single Choice,Marketing:Distribution:Channel Management,
, institutional,,,,,,
, channel,,,,,,
,Consumer,,,,,,
, B-B (Industrial),,,,,,
,,,,,,,
,Which of the following is not present in the five stage model of buying process,A,M,Theory,Single Choice,Marketing,
, Social interaction,,,,,,
, Purchase decision,,,,,,
, Information search,,,,,,
, Problem recognition,,,,,,
,,,,,,,
,Kingfisher beer was recently acquired by an international brand?,D,E,Theory,Single Choice,Marketing:GK,
, carlsberg,,,,,,
, Corona,,,,,,
, Red stripe,,,,,,
, Heineken,,,,,,
,,,,,,,
,Which of the following is not a dimension of brand differentiation?,B,H,Theory,Single Choice,Marketing:Brand Management,
, Contract fulfilment,,,,,,
, Awareness,,,,,,
, Purchase frequency,,,,,,
, persona recoggntition,,,,,,
,,,,,,,
,Which type of industries will do well during good economic phase and do poorly during recessions?,A,H,Theory,Single Choice,Marketing,
, Cyclical,,,,,,
, food,,,,,,
, Pharma,,,,,,
, Chemical,,,,,,
,,,,,,,
,"In the 4p's of marketing mix, Promotion ""P"" is also called as",D,M,Theory,Single Choice,Marketing:Marketing Communications,
, Product,,,,,,
, Distributon,,,,,,
, Cost,,,,,,
, Marketing communication,,,,,,
,,,,,,,
,"In the distribution of products by company through a channel structure which includes more resellers, this is known as",D,M,Theory,Single Choice,Marketing:Distribution,
, Direct marketing,,,,,,
, Multi- level marketing,,,,,,
, Integrating marketing,,,,,,
, Indirect marketing,,,,,,
,,,,,,,
,"In marketing theory, each and every contribution from the supply chain add___ to the product",B,E,Theory,Single Choice,Marketing,
, Costs,,,,,,
, value,,,,,,
, Ingredients,,,,,,
, Convenience,,,,,,
,,,,,,,
,Institutional markets will not consist of the people who buy goods for their personal use,A,E,Reasoning,Single Choice,Marketing,
, true,,,,,,
, False,,,,,,
,,,,,,,
