,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Role of Purchasing Departments earlier used to be,B,E,Theory,Single Choice,Marketing ,
,Financing,,,,,,
,Order-Delivery Response,,,,,,
,Marketing  ,,,,,,
,Strategic Procurement,,,,,,
,,,,,,,
,The process used to negotiate with suppliers on a cooperative basis is called,B,M,Theory,Single Choice,Marketing ,
,Purchasing  ,,,,,,
,Strategic Procurement,,,,,,
,Marketing,,,,,,
,Selling,,,,,,
,,,,,,,
,Customers having a high relationship strength and low attractiveness are called ,D,E,Theory,Single Choice,Marketing:Consumer Marketing,
,Do-not-need customers,,,,,,
,Must-Have customers,,,,,,
,Good-to-have customers,,,,,,
,Need-to-have customers,,,,,,
,,,,,,,
,"In case of Good-to-have customers, the company needs to",B,M,Theory,Single Choice,Marketing:Consumer Marketing,
,Invest Resources,,,,,,
,Allocate Resources Selectively,,,,,,
,Reduce Resources,,,,,,
,Maintain Resources,,,,,,
,,,,,,,
,Where does B2B Marketing operate?,B,E,Theory,Single Choice,Marketing:B2B Marketing,
,a) Consumer Market,,,,,,
,b) Business Market,,,,,,
,c) Goods Market,,,,,,
,d) Services Market,,,,,,
,,,,,,,
,Marketing of goods and services bought and sold between the organizations is known as,B,E,Theory,Single Choice,Marketing:B2B Sales,
,a) Consumer Marketing,,,,,,
,b) Business to business Marketing,,,,,,
,c) Retail Marketing,,,,,,
,d) Digital Marketing,,,,,,
,,,,,,,
,The information flow to the Organization and DMU is often controlled by,C,E,Theory,Single Choice,Marketing,
,Initiators,,,,,,
,Influencers,,,,,,
,Gatekeepers,,,,,,
,Buyers,,,,,,
,,,,,,,
,The Buy Class in which the problem is freesh to decision makers,C,M,Theory,Single Choice,Marketing,
,Modified Rebuy,,,,,,
,Rebuy,,,,,,
,New Task,,,,,,
,Straight Rebuy,,,,,,
,,,,,,,
,Which of the following come under commercial business organization customers,B,E,Theory,Single Choice,Marketing:Distribution,
,Government ,,,,,,
,Distributor and Retailers,,,,,,
,Institutions,,,,,,
,Individuals,,,,,,
,,,,,,,
,The buying situation in which past experience is there but more information is required,A,M,Theory,Single Choice,Marketing,
,Modified Rebuy,,,,,,
,New Task,,,,,,
,Rebuy,,,,,,
,Problem Recognition,,,,,,
,,,,,,,
,The Buy Class in which alternative solutions are not required,C,M,Theory,Single Choice,Marketing,
,New Task,,,,,,
,Influencers,,,,,,
,Straight Rebuy,,,,,,
,Modified Rebuy,,,,,,
,,,,,,,
,Which one is a type of business goods and services,B,E,Theory,Single Choice,Marketing,
,FMCG goods,,,,,,
,Input Goods,,,,,,
,Consumer Durables,,,,,,
,Domestic Help,,,,,,
,,,,,,,
,Business Marketing focusses on ,B,E,Theory,Single Choice,Marketing,
,Retailers,,,,,,
,Managing buyers' experience and interaction,,,,,,
,Distributors,,,,,,
,Customers,,,,,,
,,,,,,,
,Brand Promise is,B,M,Theory,Single Choice,Marketing:Brand Management,
,Value Offering,,,,,,
,Creating expectations and delivering against these promises,,,,,,
,Value Proposition,,,,,,
,Brand Image,,,,,,
