,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is an example of convenience goods ?,D,M,Theory,Single Choice,Marketing,
,Mobile phones,,,,,,
,BMW Cars,,,,,,
,Fastrack watches,,,,,,
,Shampoo,,,,,,
,,,,,,,
,Which of these is NOT a feature of cannibalisation:,C,M,Theory,Single Choice,Marketing,
,"Involves reduction in sales volume, sales revenue",,,,,,
, Occurs due to introduction of a new product,,,,,,
, Involves elimination of weak players in market,,,,,,
, Same producer is involved in the process,,,,,,
,,,,,,,
,Which of the following is used in customer relationship management (CRM) ?,B,H,Theory,Single Choice,Marketing:CRM:Data Analytics,
,Data Mining,,,,,,
,Web Mining,,,,,,
,Product Mining,,,,,,
,Clustering,,,,,,
,,,,,,,
,What is USP in Marketing ?,C,H,Theory,Single Choice,Marketing,
,Unique Source Programme,,,,,,
,Under Sales Progress,,,,,,
,Unique Selling Proposition,,,,,,
,Uniform Selling Proposition,,,,,,
,,,,,,,
,Which of the following is not included in D Cs of Marketing ?,A,E,Theory,Single Choice,Marketing,
,Consumer,,,,,,
,Communication,,,,,,
,Cost,,,,,,
,Customer Needs,,,,,,
,,,,,,,
,Which is a product or service with a committed customer base ?,D,M,Theory,Single Choice,Marketing:Brand Management,
,Prime Brand,,,,,,
,Fashion,,,,,,
,Brand Loyalty,,,,,,
,Cult Brand,,,,,,
,,,,,,,
,The price skimming policy is related with which type of pricing ?,A,H,Theory,Single Choice,Marketing:Pricing Strategy,
,Initial Price,,,,,,
,Marginal Price,,,,,,
,Market Price,,,,,,
,Cost Price,,,,,,
,,,,,,,
,The internet version of word of mouth marketing is :,B,H,Theory,Single Choice,Marketing:Online Marketing,
,Guerrilla marketing,,,,,,
,Viral Marketing,,,,,,
,Drip Marketing,,,,,,
,Bench Marketing,,,,,,
,,,,,,,
,What is CRM ?,D,E,Theory,Single Choice,Marketing:CRM,
,Customer Related Marketing,,,,,,
,Concept Regular Marketing,,,,,,
,Commercial Relationship Marketing,,,,,,
,Customer Relationship Marketing,,,,,,
,,,,,,,
,Which of the following is NOT a disadvantage of local marketing?,B,M,Theory,Single Choice,Marketing,
," Economies of scale reduce, so marketing and manufacturing costs rise",,,,,,
, Unwanted competition gets attracted,,,,,,
, Overall image of the brand gets diluted,,,,,,
," Company tries to meet varied requirements, hence logictical issues",,,,,,
,,,,,,,
,Which of the following is NOT a difference between sales (A) & marketing(B)?,B,M,Theory,Single Choice,Marketing:Sales,
," A: Emphasis is on the product, B: Emphasis on consumer need/ wants",,,,,,
," A: Involves more of physical travel, B: More of close-room task",,,,,,
," A: Short-term planning, B: Long-term planning",,,,,,
," A: Focuses on the needs of the seller, B: Focuses on the needs of the buyer",,,,,,
,,,,,,,
,"A good offered either free or at a low cost, as an incentive to buy a product is better known as:",D,E,Theory,Single Choice,Marketing:Pricing Strategy,
, Price pack,,,,,,
, Spiff,,,,,,
, Patronage reward,,,,,,
, Premium,,,,,,
,,,,,,,
,"Which of the following is NOT a basis of segmenting, under psychographic segmentation?",A,M,Theory,Single Choice,Marketing,
, Occupation,,,,,,
, Social Class,,,,,,
, Personality,,,,,,
, Lifestyle,,,,,,
,,,,,,,
,__________ research is conducted for one purpose initially but gradually it is used to support another goal.,B,M,Theory,Single Choice,Marketing:Market Research,
, Conclusive,,,,,,
, Desk,,,,,,
, Exploratory,,,,,,
, Predictive,,,,,,
,,,,,,,
,"_________ occurs when a company introduces additional items in the same product category under the same brand name such as new flavors, forms, colors, added ingredients, package sizes",D,M,Theory,Single Choice,Marketing,
, Multi-branding,,,,,,
, Brand extension,,,,,,
, Umbrella branding,,,,,,
, Line extension,,,,,,
,,,,,,,
,_________ is a typical method of retail operation used by supermarkets and catalog showrooms:,A,M,Theory,Single Choice,Marketing:Retail Marketing,
, Self-service retailing,,,,,,
, Limited-service retailing,,,,,,
, Full-service retailing,,,,,,
, Service merchandiser,,,,,,
,,,,,,,
,Which of the following is wrong wrt Guerilla marketing?,B,M,Theory,Single Choice,Marketing,
, Involves high energy and imagination focusing on grasping the attention of the public in more personal and memorable level,,,,,,
, It is done for selling illegal or banned product in legal way,,,,,,
, It is preferred when company has little budget to spend,,,,,,
, Activities are done exclusively on the streets or other public places,,,,,,
,,,,,,,
,Salespersons are evaluated and compensated based on several measures. Which of these does NOT include in such measures?,B,H,Theory,Single Choice,Marketing:Sales,
, Retention rates,,,,,,
, Competitive predatory pricing performance,,,,,,
, Full customer service,,,,,,
, Long term customer satisfaction,,,,,,
,,,,,,,
,"Which company/brand topped the list of ""Most Trusted Brands of B0A6"" by Economic Times?",D,E,Theory,Single Choice,Marketing:GK,
, Vodafone,,,,,,
, Dettol,,,,,,
, ITC,,,,,,
, Colgate,,,,,,
,,,,,,,
,"What establishes relationships between profitability, customer loyalty, and employee satisfaction, loyalty, and productivity.",C,M,Theory,Single Choice,Marketing:Service Delivery,
, Interactive marketing,,,,,,
, Internal marketing,,,,,,
, Service-profit chain,,,,,,
, Service differentiation,,,,,,
,,,,,,,
,"What is the correct order of elements of a distribution channel ?
A) Retailer
B) Agent/Dealer
C) Consumer
D) Wholesaler
E) Producer
F) Customer",D,M,Theory,Single Choice,Marketing:Distribution,
, B->F->D->E->A->C,,,,,,
,. B->F->E->D->A->C,,,,,,
,I. F->B-> D->E->A->C,,,,,,
,. E->B->D->A->F->C,,,,,,
,,,,,,,
,"Under which method does management seek to use as many outlets as possible, going by maximum expansion policy?",B,M,Theory,Single Choice,Marketing:Distribution:Sales,
, Exclusive distribution,,,,,,
, Intensive distribution,,,,,,
, Consignment Selling,,,,,,
, Selective Distribution,,,,,,
,,,,,,,
,Under which method does manufacturer select limited number of distributors and works closely with them to further the sales of products?,D,M,Theory,Single Choice,Marketing:Distribution:Sales,
, Exclusive distribution,,,,,,
, Intensive distribution,,,,,,
, Consignment Selling,,,,,,
, Selective Distribution,,,,,,
,,,,,,,
,"Which practice involves placing the goods in hands of middlemen, while title and control remains in hands of the seller?",C,M,Theory,Single Choice,Marketing:Distribution:Sales,
, Exclusive distribution,,,,,,
, Intensive distribution,,,,,,
, Consignment Selling,,,,,,
, Selective Distribution,,,,,,
,,,,,,,
,"Under which method does manufacturer arrange distribution with some individual outlets, providing required machinery for selling?",B,M,Theory,Single Choice,Marketing:Distribution:Sales,
, Exclusive distribution,,,,,,
, Franchise Selling,,,,,,
, Consignment Selling,,,,,,
, Selective Distribution,,,,,,
,,,,,,,
,Under which method is the distributor allotted a particular area of sale called 'territory' and agrees not to deal in any competing product?,A,M,Theory,Single Choice,Marketing:Distribution:Sales,
, Exclusive distribution,,,,,,
, Intensive distribution,,,,,,
, Consignment Selling,,,,,,
, Selective Distribution,,,,,,
,,,,,,,
,________is the process of executing the marketing strategy by creating specific actions that will ensure that the marketing objectives are achieved.,C,H,Theory,Single Choice,Marketing,
, Marketing Strategy,,,,,,
, Marketing Analysis,,,,,,
, Marketing implementation,,,,,,
, Marketing control,,,,,,
,,,,,,,
,"is a retail store, usually selling a wide variety of merchandise, in which customers may buy large, wholesale quantities of the store's products, which makes these clubs attractive to both bargain hunters and small business owners.",D,M,Theory,Single Choice,Marketing:Retail Marketing:Distribution,
, Seconds Store,,,,,,
, Super-specialty store,,,,,,
, Factory outlet,,,,,,
, Warehouse club,,,,,,
,,,,,,,
,Suppose a company X enters new product category for which its current brand names are inappropriate. What action should X take?,B,M,Theory,Single Choice,Marketing:Brand Management,
, Line extension,,,,,,
, New brands,,,,,,
, Brand extension,,,,,,
, Product extension,,,,,,
,,,,,,,
,"You went to buy bran flakes from a nearby shop and you observe two options - generic bran flakes, probably packaged in fairly plain packaging, or Wheaties, the 'breakfast of champions.' This strategy falls under:",C,M,Theory,Single Choice,Marketing,
, Segmentation,,,,,,
, Product extension,,,,,,
, Product differentiation,,,,,,
, Brand extension,,,,,,
,,,,,,,
,Which part of Product Life Cycle do DVD players fall in?,C,M,Theory,Single Choice,Marketing:Product Management,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
,,,,,,,
,Which part of Product Life Cycle do Tablet PCs fall in?,B,M,Theory,Single Choice,Marketing:Product Management,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
,,,,,,,
,Which part of Product Life Cycle do typewriters fall in?,D,M,Theory,Single Choice,Marketing:Product Management,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
,,,,,,,
,Which part of Product Life Cycle do CD televisions fall in?,A,M,Theory,Single Choice,Marketing:Product Management,
, Introduction,,,,,,
, Growth,,,,,,
, Maturity,,,,,,
