,Question,Correct answer,Level,Category,Type,Skills,Answer Description
,Which of the following is not a way of segmentation?,D,E,Theory,Single Choice,Marketing,
,Demographic,,,,,,
,Psychographic,,,,,,
,Geographic,,,,,,
,None of the above,,,,,,
,,,,,,,
,What is marketing?,A,M,Theory,Single Choice,Marketing,
,"Marketing is a process of creating,communicating and delivering value to
 the consumer",,,,,,
,"Marketing is a process by which awareness about a product is created for
 the consumer",,,,,,
,"Marketing is a process by which media is used to create an impact on the 
consumer's mind",,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is not a type of store retailer?,C,E,Theory,Single Choice,Marketing:Retail Marketing,
,Speciality store,,,,,,
,Catalog showroom,,,,,,
,Broker and agents,,,,,,
,Superstore,,,,,,
,,,,,,,
,What are the 4Ps of marketing?,D,E,Theory,Single Choice,Marketing,
,"Product, Place, Price, Placement",,,,,,
,"Place, Price, Placement, Promotion",,,,,,
,"Product, Place, Position, Promotion",,,,,,
,"Product, Place,  Promotion, Price",,,,,,
,,,,,,,
,Which of the following is not a part of consumer adoption process?,D,M,Theory,Single Choice,Marketing:Consumer Insights,
,Evaluation,,,,,,
,Awareness,,,,,,
,Adoption,,,,,,
,Impulse,,,,,,
,,,,,,,
,What are the 5 adopter groups on the basis of time of adoption?,C,H,Theory,Single Choice,Marketing,
,"Innovators, Early leavers, early majority, late majority, influencers",,,,,,
,"Influencers, early majority, late majority, laggards, innovators",,,,,,
,"Laggards, Early adopters, early majority, late majority, innovators",,,,,,
," Late majority, Early leavers, laggards, Influencers, innovators",,,,,,
,,,,,,,
,"The cost per thousand is higher for direct mail marketing than for mass media
but the quality of audience is better. True or False?",A,M,Reasoning,Single Choice,Marketing:Digital Marketing,
,True,,,,,,
,False,,,,,,
,,,,,,,
,Which of the following is not a kind of channel power?,A,H,Theory,Single Choice,Marketing:Channel Management,
, Informational power,,,,,,
,Coercive power,,,,,,
,Reward power ,,,,,,
,Expert power,,,,,,
,,,,,,,
,Which of the following is a type of channel conflicts?,D,E,Theory,Single Choice,Marketing:Channel Management,
,Horizontal,,,,,,
,Vertical,,,,,,
,Multichannel,,,,,,
,All of the above,,,,,,
,,,,,,,
,"Find the profit, if the contribution margin is 20% and the sales is 2million.",A,H,Theory,Single Choice,Marketing:Numerical,
,0.4 million,,,,,,
,1.6million,,,,,,
,0.1 million,,,,,,
,2.4million,,,,,,
,,,,,,,
,"If a brand has a product length of 42 and number of lines is 11. What is the 
average line length?",A,H,Theory,Single Choice,Marketing:Numerical,
,3.8,,,,,,
,2.8,,,,,,
,4.8,,,,,,
,5.8,,,,,,
,,,,,,,
,"Find the break even sales if the total fixed cost is Rs 2,00,000 and the sales 
price per unit is Rs 20 and the variable cost per unit is Rs 10",B,H,Theory,Single Choice,Marketing:Numerical,
,"30,000",,,,,,
,"20,000",,,,,,
,"10,000",,,,,,
,100000,,,,,,
,,,,,,,
,"Refer to question 12 what will be the new break even sales if the price is 
increased from 20 to 30?",C,H,Theory,Single Choice,Marketing:Numerical,
,"15,000",,,,,,
,"11,000",,,,,,
,"10,000",,,,,,
,"20,000",,,,,,
,,,,,,,
,"If the percentage volume for brand X is 12%.There are three brands in the 
market X,Y,Z. Volume share of X=12,000,Y=10,000. Find the volume share
of Z?",B,H,Theory,Single Choice,Marketing:Numerical,
,"90,000",,,,,,
,"78,000",,,,,,
,"60,000",,,,,,
,"68,000",,,,,,
,,,,,,,
,"A small company wants to increase its distribution in a hilly region. What 
should it do ?",A,M,Theory,Single Choice,Marketing:Distribution,
,Piggybacking,,,,,,
,Establish its own distribution network,,,,,,
,Establish its exclusive retail outlets,,,,,,
,Order based selling,,,,,,
,,,,,,,
,"McDonalds started farming potatoes for its fries and stopped taking it from its previous suppliers. This is 
known as:",B,H,Theory,Single Choice,Marketing:Distribution,
, Forward Integration,,,,,,
,Backward Integration,,,,,,
, Upward Integration,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is Undercutting,C,H,Theory,Single Choice,Marketing:Distribution,
, When price of a commodity is reduced to increase market share,,,,,,
, When profits are shared so that loss making product can still be pushed,,,,,,
, When a dealers starts selling into another one's territory,,,,,,
, When a product under the same brand starts impacting the sale of another product under the same brand,,,,,,
,,,,,,,
,What is Cannibalization,A,H,Theory,Single Choice,Marketing,
, When a product under the same brand starts impacting the sale of another product under the same brand,,,,,,
, When a dealers starts selling into another one's territory,,,,,,
, When profits are shared so that loss making product can still be pushed,,,,,,
, When price of a commodity is reduced to increase market share,,,,,,
,,,,,,,
,When price of a commodity is reduced to increase market share it is known as,C,E,Theory,Single Choice,Marketing,
, Undercutting,,,,,,
, Cannibalization,,,,,,
, Price War,,,,,,
, None of the above,,,,,,
,,,,,,,
,SWOT analysis is used to,A,H,Theory,Single Choice,Marketing ,
, Get to know about the company internally,,,,,,
, Get to know about the industry,,,,,,
, Get to know about the competitor,,,,,,
, Get to know about the Company externally,,,,,,
,,,,,,,
,People will pay premium price for the product which ,D,M,Theory,Single Choice,Marketing:Pricing Strategy,
, caters to the niche market,,,,,,
