,Question,Answer,Level,Category,Type,Skills,Answer Description
,"Which distribution system do Avon, Tupperware and Amway follow ?",,,,,,
, Direct sales channel,A,E ,Theory,Single Choice,Marketing:Sales:Distribution,
, Indirect sales channel ,,,,,,
, Marketing channel ,,,,,,
, Retail channel ,,,,,,
,,,,,,,
,Who sells FMCG goods to the customer ? ,C,E,Theory,Single Choice,Marketing:Sales:Distribution,
, Distributor ,,,,,,
, Wholesaler,,,,,,
, Retailer ,,,,,,
, Company employees ,,,,,,
,,,,,,,
,What does VMS stand for ? ,B,H,Theory,Single Choice,Marketing :General,
," Velocity Moving System
",,,,,,
, Vertical Moving System,,,,,,
, Vertical marketing system ,,,,,,
, Very movable system ,,,,,,
,,,,,,,
,Which member in the buying centre of the firm can prevent the entry the firm from establishing relationships with a vendor ?  ,B,M ,Theory,Single Choice,Marketing :B2B Marketing,
,Initiator ,,,,,,
,Gatekeeper ,,,,,,
,Users ,,,,,,
,Purchase ,,,,,,
,,,,,,,
,Which kind of shoppers collect as much information about a product or the channel before making a purchase and end up choosing the lowest cost channel,B,H,Theory,Single Choice,Marketing:Channel Management,
, Habitual Shoppers ,,,,,,
, High involvement shoppers ,,,,,,
, Vareity seeking shoppers ,,,,,,
, Luxury Shoppers ,,,,,,
,,,,,,,
,What is the first stage in the consumer buying process? ,C,M,Theory,Single Choice,Marketing,
, Searching for information ,,,,,,
, Post purchase service ,,,,,,
, Recognition of a need ,,,,,,
, Evaluation of aletrnatives ,,,,,,
,,,,,,,
,Which fee do firms pay to supermarkets to display their products in the aisles ?,B,M ,Theory,Single Choice,Marketing:Distribution,
, Shelf fee ,,,,,,
, Slotting fee ,,,,,,
, Channel partner fee ,,,,,,
, Display fee ,,,,,,
,,,,,,,
,Which entity limits its role to bringing the buyer and seller together without any other involvement ? ,,,,Single Choice,,
, Agent ,A,M ,Theory,,Marketing:Distribution,
, Wholesaler ,,,,,,
, Retailer ,,,,,,
, Cooperatives,,,,,,
,,,,,,,
,"Incentives given to retailers, distributors, wholesalers ie channels down the stream by a firm to sell their product are called : ",B,M ,Theory,Single Choice,Marketing:Trade Promotion,
, Sales promotions ,,,,,,
, Trade promotions ,,,,,,
, Retail promotions ,,,,,,
, Product Promotions ,,,,,,
,,,,,,,
,Which of the following is not a market logistics decision ? ,A,M ,Theory,Single Choice,Marketing:Distribution,
, Setting the margins on a product ,,,,,,
, Order processing ,,,,,,
, Warehousing,,,,,,
, Inventory ,,,,,,
,,,,,,,
,Which process has made it easier to switch goods from one mode of transport to another ?,A,M ,Theory,Single Choice,Marketing:Distribution,
, Containerisation ,,,,,,
, Efficient Shipping ,,,,,,
, Packaging ,,,,,,
, Boxing ,,,,,,
,,,,,,,
,"While describing modes of transport for products, piggyback refers to ",B,M ,Theory,Single Choice,Marketing:Channel Management,
, water,,,,,,
, trucks and rail,,,,,,
, air ,,,,,,
, shipping via sea,,,,,,
,,,,,,,
