,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is NOT a descriptive characteristic for defining consumer segments?,D,E,Theory,Single choice,Marketing :STP :Segmentation:,
,Geography,,,,,,
,Demography,,,,,,
,Psychography,,,,,,
,Behaviour,,,,,,
,,,,,,,
,Which of the following is NOT a behavioural characteristic for defining consumer segments?,C,E,Theory,Single choice,Marketing :STP :Segmentation:,
,Usage occasions,,,,,,
,Brands,,,,,,
,Psychography,,,,,,
,Response to benefits,,,,,,
,,,,,,,
,"When you classify a market into 'professionals', 'blue collars', etc, which of the following are you performing?",B,E,Theory,Single choice,Marketing :STP :Segmentation:,
,Targeting,,,,,,
,Segmenting,,,,,,
,Grassroot marketing,,,,,,
,Positioning,,,,,,
,,,,,,,
,Price of Zara shirt Rs 4000. Price of H&M shirt Rs 3500. Price of Zara jeans Rs 2700. Price of Rakesh Hosiery shirts Rs 1000. Which of the following is the best way to measure brand equity using price premium method?,A,H,Theory,Single choice,Marketing :Brand Management :Brand Management Equity:,
,3000,,,,,,
,4000,,,,,,
,500,,,,,,
,1300,,,,,,
,,,,,,,
,"Sponsorship of local school teams, expert conducted clinics, provision of shoes to local school students are all examples of __________.",C,E,Theory,Single choice,Marketing :STP :Segmentation:Targeting ,
,Targeting,,,,,,
,Segmenting,,,,,,
,Grassroot marketing,,,,,,
,Positioning,,,,,,
,,,,,,,
,"When would you think about points of difference, mental map, brand mantra etc?",A,E,Theory,Single choice,Marketing :STP :Segmentation:Targeting ,
,While identifying brand positioning,,,,,,
,While planning marketing programs,,,,,,
,While measuring brand performance,,,,,,
,To grow brand equity,,,,,,
,,,,,,,
,________ requires a program of aggressive policing of a trademark to ensure its efficient usage in marketing activities.,C,E,Theory,Single choice,Marketing :Trademark:Trademark Control:,
,Trademark planning,,,,,,
,Trademark implementation,,,,,,
,Trademark control,,,,,,
,,,,,,,
,______ happens when the use of an existing trademark by a different company in a different category alters the unique and distinctive significance of that mark.,A,E,Theory,Single choice,Marketing :Trademark:Trademark Control:,
,Blurring,,,,,,
,Tarnishment,,,,,,
,Cybersquatting,,,,,,
,,,,,,,
