,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,What all does sales management comprise of?,D,M,Theory,Single choice,Marketing:Sales: :,
, Marketing Research,,,,,,
, Physical Distribution,,,,,,
, Advertising,,,,,,
, All of the Above,,,,,,
,,,,,,,
,Write the full form of SMBO?,C,M,Theory,Single choice,Marketing:Sales: :,
, Sales Management by Operations,,,,,,
, Sales & Marketing by Operations,,,,,,
, Sales Management by Objectives,,,,,,
, Sales & Marketing by Objectives,,,,,,
,,,,,,,
,_________ is the total number of products sold.,A,M,Theory,Single choice,Marketing:Sales: :,
, Sales Volume,,,,,,
, Sales Target,,,,,,
, Sales Conversion,,,,,,
, Sales Lead,,,,,,
,,,,,,,
,Smarketing refers to:,B,E,Theory,Single choice,Marketing:Sales: :,
, Smart Marketing,,,,,,
, Alignment of Sales & Marketing,,,,,,
, Social Marketing,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"In case of industrial products, the promotion mix mostly consist of:",B,H,Theory,Single choice,Marketing::Promotions:Mix,
, Public Relations,,,,,,
, Personal Selling,,,,,,
, Advertising,,,,,,
, Sales Promotion,,,,,,
,,,,,,,
,"Personal selling is relatively less
  effective in case of:",D,M,Theory,Single choice,Marketing:Sales: :,
, Xerox Machine,,,,,,
, Laptop,,,,,,
, Life Insurance,,,,,,
, Toothpaste,,,,,,
,,,,,,,
,"What is the correct order of Selling Process?
  A) Closing
  B) Handling Objections
  C) Prospecting
  D) Follow-up
  E) Presentation 
  F) Preparation",C,H,Theory,Single choice,Marketing:Sales: :,
, C -> B -> F -> E -> A -> D,,,,,,
, F -> C -> B -> E -> A -> D,,,,,,
, C -> F -> E -> B -> A -> D,,,,,,
, F -> C -> E -> B -> A -> D,,,,,,
,,,,,,,
,What factors are taken into account when deciding the sales force for a particular territory?,D,H,Theory,Single choice,Marketing:Sales: :,
, Physical size of the force for a particular territory,,,,,,
, Transportation links within a territory,,,,,,
, Purchasing power of consumers,,,,,,
, All of the Above,,,,,,
,,,,,,,
,"__________ covers preparation for selling, the personal selling process and sales responsibility",B,M,Theory,Single choice,Marketing:Sales: :,
, Sales Environment,,,,,,
, Sales Technique,,,,,,
, Sales Management,,,,,,
, Sales Control,,,,,,
,,,,,,,
,"__________ looks at the institutions through which sales are made; this covers
  channels, including industrial, commercial and public authority selling followed by
  selling for resale.",A,M,Theory,Single choice,Marketing:Sales: :,
, Sales Environment,,,,,,
, Sales Technique,,,,,,
, Sales Management,,,,,,
, Sales Control,,,,,,
,,,,,,,
,"_________ covers recruitment, selection, motivation and training of salespersons.",C,M,Theory,Single choice,Marketing:Sales: :,
, Sales Environment,,,,,,
, Sales Technique,,,,,,
, Sales Management,,,,,,
, Sales Control,,,,,,
,,,,,,,
,__________ covers sales budgets and explains how this is the starting point for business planning.,D,M,Theory,Single choice,Marketing:Sales: :,
, Sales Environment,,,,,,
, Sales Technique,,,,,,
, Sales Management,,,,,,
, Sales Control,,,,,,
,,,,,,,
,__________ examines selling in its historical role and then views its place within marketing and a marketing organisation.,A,M,Theory,Single choice,Marketing:Sales: :,
, Sales Perspective,,,,,,
, Sales Technique,,,,,,
, Sales Management,,,,,,
, Sales Control,,,,,,
,,,,,,,
,Which of the following is a major drawback of personal selling?,C,M,Theory,Single choice,Marketing:Sales: :,
, Presentations can't be changed to meet customer needs,,,,,,
, Relationships can't be built,,,,,,
, Sales calls are costly,,,,,,
, Provides very little opportunity to close the sale,,,,,,
,,,,,,,
,___________ are termed as missionary salespeople.,B,H,Theory,Single choice,Marketing:Sales: :,
, Order Getters,,,,,,
, Order Creators,,,,,,
, Order takers,,,,,,
, None of the Above,,,,,,
,,,,,,,
,___________ are front-line salespeople where a major objective is to persuade customers to make a direct purchase.,A,H,Theory,Single choice,Marketing:Sales: :,
, Order Getters,,,,,,
, Order Creators,,,,,,
, Order takers,,,,,,
, None of the Above,,,,,,
,,,,,,,
,"___________ give advice on display, implement sales promotions, check stock levels and maintain contact with store managers.",C,H,Theory,Single choice,Marketing:Sales: :,
, Technical Support Sales People,,,,,,
, Outside Order Takers,,,,,,
, Merchandisers,,,,,,
, Missionary Salespeople,,,,,,
,,,,,,,
,Which firm was the first one to acknowledge the 'production orientation' philosophy?,D,H,Theory,Single choice,Marketing:GK::,
, Harley Davidson,,,,,,
, General Motors,,,,,,
, 3M,,,,,,
, Ford,,,,,,
,,,,,,,
,Which of the following does not form a part of 'Communications Mix'?,C,M,Theory,Single choice,Marketing:Sales: :Mix,
