,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,The main resource of authority through out an allocation channel is:,C,M,Theory,Single choice,Marketing: :Channel Management:,
,Supplier,,,,,,
,Price,,,,,,
,Brand,,,,,,
,Customer,,,,,,
,,,,,,,
,"This tagline belongs to which company :""A lot can happen over Coffee"":",A,E,Theory,Single choice,Marketing:GK::,
,Café Coffee Day,,,,,,
,Nescafe,,,,,,
,StarBucks,,,,,,
,CostaCoffee,,,,,,
,,,,,,,
,The purpose of positioning is to achieve:,A,M,Theory,Single choice,Marketing:Product Pricing:Positioning:,
,Customer-focused Value Proposition,,,,,,
,Company-focused Valye Proposition,,,,,,
,Both of the above,,,,,,
,None of the above,,,,,,
,,,,,,,
,"Competitive frame of reference for positioning depends on:
i) Product target market
ii) Customer target market
iii) Nature of Competition",C,E,Theory,Single choice,Marketing::Product :Customer,
,Both i) and ii),,,,,,
,Both ii) and iii),,,,,,
,"All i), ii) and iii)",,,,,,
,only ii),,,,,,
,,,,,,,
,"Category Points of parity means:
i) Necessary and sufficient conditions for brand choice
ii) Necessary conditions for brand choice
iii) Sufficient Conditions for Brand choice",C,E,Theory,Single choice,Marketing:Brand:Branding:,
,Only i),,,,,,
,Only ii),,,,,,
,Only iii),,,,,,
,None of the above,,,,,,
,,,,,,,
,Marketers can apply branding on:,D,E,Theory,Single choice,Marketing:Place:Product:Service,
,A place,,,,,,
,A product,,,,,,
,A Service,,,,,,
,All of the above,,,,,,
,,,,,,,
,Efficient brand management looks to build product or services related to the,A,E,Theory,Single choice,Marketing:Place:Product:Service,
,Customers,,,,,,
,Profitability,,,,,,
,Organization,,,,,,
,All of the above,,,,,,
,,,,,,,
,Identification and observation of a brand is primarily influenced by its:,C,M,Theory,Single choice,Marketing:Brand:Brand Management:,
,Brand Slogan,,,,,,
,Brand Activities,,,,,,
,Visual Representation,,,,,,
,Tagline and logo,,,,,,
,,,,,,,
,The first Tourist Board in India to register its Brand:,A,M,Theory,Single choice,Marketing:Brand:Brand Management:,
,Kerala,,,,,,
,Rajasthan,,,,,,
,Sikkim,,,,,,
,Jammu & Kashmir,,,,,,
,,,,,,,
,There are __________ key elements of customer-based brand equity.,B,H,Theory,Single choice,Marketing:Brand:Brand Management:,
,Five,,,,,,
,Three,,,,,,
,Four,,,,,,
,Seven,,,,,,
,,,,,,,
,What is most important while considering Brand Equity?,C,M,Theory,Single choice,Marketing:Brand:Brand Management:,
,Price,,,,,,
,Customer Perception,,,,,,
,Quality,,,,,,
,Quantity,,,,,,
,,,,,,,
,"The degree to which a brand is perceived, is determined by __________, in a brand Valuator Model.",A,E,Theory,Single choice,Marketing:Brand:Brand Management:,
,Differentiation,,,,,,
,Perception,,,,,,
,Positioning,,,,,,
,Brand Relevance,,,,,,
,,,,,,,
,What measures the sense of momentum in a BAV model?,D,M,Theory,Single choice,Marketing:Brand:BAV:,
,Differentiation,,,,,,
,Deliverability,,,,,,
,Positioning,,,,,,
,Energy,,,,,,
,,,,,,,
,How well a Brand is respected and regarded is measured by ___________ in a BAV model.,D,M,Theory,Single choice,Marketing:Brand:Brand Management:,
,Differentiation,,,,,,
,Perception,,,,,,
,Positioning,,,,,,
,Brand Relevance,,,,,,
,,,,,,,
,Brand stature represents:,C,H,Theory,Single choice,Marketing:Brand:Brand Management:,
,Future Strength of the Brand,,,,,,
,Present Value,,,,,,
,Past Performance of the Brand,,,,,,
,None of the Above,,,,,,
,,,,,,,
