,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following best describes where the manufacturer tries sell the products to distributors aggressively,C,E,Theory,Single Choice,Marketing:Push:Pull:Strategy,
, PULL strategy,,,,,,
, Direct Marketing,,,,,,
, PUSH strategy,,,,,,
, Direct selling,,,,,,
,,,,,,,
,"For a local automobile service, which of the following is the best way to communicate",B,H,Theory,Single Choice,Marketing:Marketing Communications::,
, Sales promotion,,,,,,
, Word of mouth referrals,,,,,,
, Public relations,,,,,,
, Local news advertising,,,,,,
,,,,,,,
,What framework brought the both message and media in time as palnned:,C,H,Theory,Single Choice,Marketing:Marketing Communications::,
, Communication Process,,,,,,
, Service blueprint,,,,,,
, Campaigning,,,,,,
, Communication model,,,,,,
,,,,,,,
,Where does the communication process end according to most communication models?,B,H,Theory,Single Choice,Marketing:Marketing Communications::,
, This will end when a consumer buys the product,,,,,,
, It an ongoing process so there is no end point as such,,,,,,
, This will when a consumer orders the product,,,,,,
, This will end when the sale of all products is done,,,,,,
,,,,,,,
,Which of the following two groups can impact the responsiveness of any individual to it's message?,A,H,Theory,Single Choice,Marketing:Marketing Communications::,
, Primary and secondary ,,,,,,
, Social and cultural,,,,,,
, Emotional and logical,,,,,,
, None of the above,,,,,,
,,D,,,,,
,Which of the following concept is highly linked with the term 'Intermediaries'?,,,Theory,Single Choice,Marketing:Marketing Communications::,
, MIS (marketing information systems),,,,,,
, Segmentation of markets,,,,,,
, Targeting of markets,,,,,,
, Distribution channels,,,,,,
,,,,,,,
,Channel distribution of Just-in-time system is sustained on.?,A,M,Theory,Single Choice,Marketing:Channel Management:Distribuion:,
, Proper information passage between channels ,,,,,,
, Low transportation cost per unit,,,,,,
, Huge number of suppliers,,,,,,
, Low warehousing cost per unit,,,,,,
,,,,,,,
,"Which of the following is true, as the physical distribution starts to develop?",C,M,Theory,Single Choice,Marketing:Channel Management:Distribuion:,
, Goods will cover shorter distances as a whole,,,,,,
, Increase in inventory levels ,,,,,,
, Goods will cover longer distances as a whole,,,,,,
, There is an increase in the number of warehouses,,,,,,
,,,,,,,
,The minimum franchisable service is?,D,M,Theory,Single Choice,Marketing:Franchise:Service:,
, Low value services,,,,,,
, Low cost services,,,,,,
, Both A and B,,,,,,
, Highly customized and varied services,,,,,,
,,,,,,,
,Which of the following is not a function of intermediaries?,B,M,Theory,Single Choice,Marketing:Intermediaries:Function:,
, Try to make goods available locally,,,,,,
, Make the consumer and manufacturer communicate directly,,,,,,
, Breaking down bulk,,,,,,
, Giving local market knowledge,,,,,,
,,,,,,,
,The correct sequence of consumer adoption process,D,M,Theory,Single Choice,Marketing:Consumer:Consumer Adoption:,
," Attention, Evaluation, Trial, Desire, Adoption,",,,,,,
," Trial, Interest, Desire, Attention, Adoption",,,,,,
," Awareness, Trail, Desire, Evaluation, Adoption",,,,,,
," Awareness, Interest, Evaluation, Trial, Adoption",,,,,,
,,,,,,,
,Which of the following not a behavioral variable?,C,M,Theory,Single Choice,Marketing::Segmentation:,
, Purchase situations or buying occasions,,,,,,
, Beneifits expected,,,,,,
, AIO,,,,,,
, Awareness of consumers,,,,,,
,,,,,,,
,"For what kind of products consumers generally compare the suitability, style, quality and price?",B,E,Theory,Single Choice,:::,
, Unsought products,,,,,,
, Shopping products,,,,,,
, Industrial products,,,,,,
, Convenience products,,,,,,
,,,,,,,
,Three important factors to be considered while evaluating the target markets?,A,H,Theory,Single Choice,Marketing::Segmentation:,
," Segment size and growth, segment structural attractiveness and company objectives and resources",,,,,,
," Segment size and growth, sales growth and organization objectives and resources",,,,,,
," Segment size and growth, segment structural attractiveness and sales growth",,,,,,
," Segment size and growth, segment structural attractiveness and competitor’s strengths and weaknesses",,,,,,
,,,,,,,
,Which of the following is not considered while doing segmentation of markets?,D,M,Theory,Single Choice,Marketing::Positioning:,
, Demographic factors,,,,,,
, Psychographic factors,,,,,,
, Socio - economic factors,,,,,,
, Competitive position,,,,,,
,,D,,,,,
,Product positioning is dependent upon?,,,Theory,Single Choice,:::,
, Characteristics of product,,,,,,
, Promotional mix given for the product,,,,,,
, Price of the product,,,,,,
, All of the above,,,,,,
,,,,,,,
,What are the different components of a product or service?,D,M,Theory,Single Choice,Marketing:Components::Product Management,
," Core Services, customer benefits, customer helplines, and home delivery",,,,,,
," Attributes or features, warranty, and potential benefits, Customer benefits, Warranty",,,,,,
," Core benefits, attributes or features, support and services, and customer loyalty programs",,,,,,
," Potential benefits, Support and services, attributes or features, core benefits",,,,,,
,,,,,,,
,Which stage in product life cycle there is a situation of falling costs and growing revenues?,A,E,Theory,Single Choice,Marketing:Product Management : :,
, Growth stage,,,,,,
, Saturation stage,,,,,,
, Introduction stage,,,,,,
, Maturity stage,,,,,,
,,,,,,,
,A brand can have value by offering ,D,H,Theory,Single Choice,Marketing:Brand Management:Brand Managementing:Value,
, A complex product portfolio with certain definite features,,,,,,
, An identity gained by consumer perception through suppliers,,,,,,
, A simple product portfolio with certain definite features,,,,,,
," Consistency, longevity, reduced level of risk in the eyes of consumers, and functional and emotional attributes",,,,,,
,,,,,,,
,"There are many stages in new product development, but at what stage the best estimation of the new product can be done effectively?",B,M,Theory,Single Choice,Marketing:Product Management :Product Management Development:,
, Brainstorming,,,,,,
, Market testing,,,,,,
, Idea evaluation,,,,,,
, Idea generation,,,,,,
,,,,,,,
,What is not identified as the disadvantage of using same brand name all products of a company in the pursuit of branding?,C,H,Theory,Single Choice,Marketing:Brand Management:Brand Managementing:Value,
, Since the main value of the product is brand name it will be difficult to dispose a particular product,,,,,,
," If the products are too diversified and have same brand name, it can confuse the values offered by products",,,,,,
, Company will end up spending so much money by promoting all its products,,,,,,
, Any non-performing product can trash the other good products,,,,,,
,,,,,,,
,The dimensions that define a global brand according to Holt are,B,M,Theory,Single Choice,Marketing:Brand Management:Brand Managementing:Value,
, Global myth and social responsibility along with quality signal,,,,,,
," Brand awareness, perceived value, and global recognition",,,,,,
, Global myth and social responsibility along with quality standard,,,,,,
," Brand awareness, customer value, and global recognition",,,,,,
,,,,,,,
,Consumer acqusition process does not inlcude?,D,M,Theory,Single Choice,Marketing:Customer:Acquisition:,
, Collecting Information,,,,,,
, Evaluating the proposition,,,,,,
, Developing the motive,,,,,,
, Perception,,,,,,
,,,,,,,
,Extracting semantic information from non-semantic information is known as ,B,E,Theory,Single Choice,Marketing: ::,
, Proposition evaluation,,,,,,
, Selective Exposure,,,,,,
, Picking,,,,,,
, Routine,,,,,,
,,,,,,,
,The affective mental state is best explained by?,C,E,Theory,Single Choice,Markting :States: :,
, Cognitive,,,,,,
, Opinions,,,,,,
, Attitudes,,,,,,
, Values,,,,,,
,,,,,,,
,Maslow's hierarchy of needs is based upon this assumption,A,E,Theory,Single Choice,Marketing:Maslow:Need Theory:Needs,
, Lower level needs should be fulfilled partially at least before higher level needs affect,,,,,,
, There is no arrangement or prioritization of needs,,,,,,
, There is an influence of cultures and social class on needs,,,,,,
, New need will arise when current needs are unsatisfied,,,,,,
,,,,,,,
,The least effort required by the consumer buying behavior is,D,E,Theory,Single Choice,Marketing:Needs:Need Theory:,
, New buying situation,,,,,,
, Impulsive buying,,,,,,
, High involvement buying,,,,,,
, Routine buying,,,,,,
,,,,,,,
,Which of the following process bring changes in behavior,A,M,Theory,Single Choice,Marketing:Behaviour:Consumer:Buying,
, Learning,,,,,,
, Adjustment of attitude,,,,,,
, Selective adaptation,,,,,,
, Manipulation,,,,,,
,,,,,,,
,If a consumer's actual and desired states have imbalance and this can be resolved using,B,H,Theory,Single Choice,Marketing:Behaviour:Consumer:Buying,
, Product evaluation,,,,,,
, Motive development,,,,,,
, Self concept,,,,,,
, An attitude,,,,,,
,,,,,,,
,Which of the following is cannot be controlled by managers but they can influence it?,C,M,Theory,Single Choice,Marketing:Behaviour:Consumer:Buying,
, Delivering services or products,,,,,,
, Pricing of products,,,,,,
, External environment,,,,,,
, Advertising positioning,,,,,,
,,,,,,,
,"According to BCG's portfolio performance matrix, the evaluation of Strategic business units is characterized as",D,H,Theory,Single Choice,Marketing:Portfolio:Performance:Buying,
, Cash Outs,,,,,,
, Charging bulls,,,,,,
, Quick winners,,,,,,
, Question marks,,,,,,
,,,,,,,
,What can make a market less competitive?,C,E,Theory,Single Choice,Marketing:Porters:Five Forces:,
, Buyer's bargaining power,,,,,,
, Suppliers' bargaining power,,,,,,
, High barriers for new entrants,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which type of growth tries to concentrate all their activities on familiar products or markets?,B,H,Theory,Single Choice,Marketing:Growth::,
, Intensive,,,,,,
, Integrative,,,,,,
, Condensive,,,,,,
, Diversification,,,,,,
,,,,,,,
,In which of the following process the goods go through a series pre-determined flow of development like a biological path of life?,A,E,Theory,Single Choice,Marketing:Product Management :Product Management :,
, Product life cycle,,,,,,
, Diffusion process,,,,,,
, Service development,,,,,,
, Adoption process,,,,,,
,,,,,,,
,Which of the following depicts what we would get for what we paid?,C,E,Theory,Single Choice,Marketing:Value::,
, Product,,,,,,
, Revenue,,,,,,
, Value,,,,,,
, Cost,,,,,,
,,,,,,,
,"In what kind of pricing policies, there is more emphasis on competitors rather than consumers",A,H,Theory,Single Choice,Marketing::Pricing:,
, Wars of prices,,,,,,
, Differentiation in pricing,,,,,,
, Price guarantees,,,,,,
, Fixing of prices,,,,,,
,,,,,,,
,Which of the following pricing policy is based on delivering value for the money paid,B,E,Theory,Single Choice,Marketing::Pricing:,
, Demand driven pricing,,,,,,
, Value driven pricing,,,,,,
, Cost driven pricing,,,,,,
, Competitor driven pricing,,,,,,
,,,,,,,
,Different prices are set for different groups of customers in segmentation pricing. It is an example of..?,D,M,Theory,Single Choice,Marketing::Pricing:,
, Cost pricing,,,,,,
, Listed pricing,,,,,,
, Internal Pricing,,,,,,
, Price discrimination,,,,,,
,,,,,,,
,Which of the following ensures that the price they pay is always competitive ,B,M,Theory,Single Choice,Marketing::Pricing:,
, Price assurance,,,,,,
, Price guarantee schemes,,,,,,
, Price competitiveness,,,,,,
, Reference prices,,,,,,
,,,,,,,
,Some companies charges more than the governments perceive is fair for given product or service keeping the huge demand in mind ,A,H,Theory,Single Choice,Marketing::Pricing:,
, Price gouging,,,,,,
, Demand pricing,,,,,,
, Product gouging,,,,,,
, Brand gouging,,,,,,
,,,,,,,
,"According to which pricing approach, comapanies set the price as how much customers are willing to pay?",C,M,Theory,Single Choice,Marketing::Pricing:,
, Competitor driven pricing,,,,,,
, Cost driven pricing,,,,,,
, Demand driven pricing,,,,,,
, Value driven pricing,,,,,,
,,,,,,,
,"A company reduces the price below the standard price to encourage the customers to try their products, this is an example of",B,M,Theory,Single Choice,Marketing::Pricing:,
, List pricing,,,,,,
, Promotional pricing,,,,,,
, Relationship pricing,,,,,,
, Discount pricing,,,,,,
,,,,,,,
,"With the regular purchase of any product or service the buyer would be offered an extra service, this kind of pricing is known as?",D,H,Theory,Single Choice,Marketing::Pricing:,
, Value - in pricing,,,,,,
, Odd number pricing,,,,,,
, Cost pricing,,,,,,
, Pure price bundling,,,,,,
,,,,,,,
,Which of the following will enable us to know how the product quantity being offered is related to the offering price?,A,M,Theory,Single Choice,Marketing::Pricing:,
, Price inelasticity,,,,,,
