,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,"When Michael Jordan and Tiger Woods use marketing to promote their careers and improve their impact and incomes, they are using:",D,E,Theory,Single choice,Marketing:,
,cause-related marketing.,,,,,,
,idea marketing.,,,,,,
,nonprofit marketing.,,,,,,
,person marketing.,,,,,,
,,,,,,,
,3M runs a Pollution Prevention Pays program that has led to a substantial reduction in pollution and costs. This would be an example of responding to which of the following?,B,E,Theory,Single choice,Marketing:GK::,
,Nader's raiders.,,,,,,
,"The ""green movement.""",,,,,,
,Governmental regulation.,,,,,,
,International competition.,,,,,,
,,,,,,,
,The stage is the product life cycle that focuses on expanding market and creating product awareness and trial is the:,B,E,Theory,Single choice,Marketing:Product :Product Lifecycle:,
,decline stage.,,,,,,
,introduction stage.,,,,,,
,growth stage.,,,,,,
,maturity stage.,,,,,,
,,,,,,,
,Which of the following refers to the practice of adopting policies and developing strategies that both sustain the environment and produce profits for the company.,B,E,Theory,Single choice,Marketing:Product :Environment:,
,Environmentalism,,,,,,
,Environmental sustainability,,,,,,
,Consumerism,,,,,,
,Consumer accountability,,,,,,
,,,,,,,
,"The primary reason that many companies work to become the ""low-cost producers"" in their industry is because:",D,E,Theory,Single choice,Marketing:Sales:Profit:Strategy,
,they can generate more advertising.,,,,,,
,they can please top management.,,,,,,
,they can gain tax advantages.,,,,,,
,they can set lower prices that result in greater sales and profits.,,,,,,
,,,,,,,
,"Using a successful brand name to introduce additional items in a given product category under the same brand name (such as new flavors, forms, colors, added ingredients, or package sizes) is called:",A,M,Theory,Single choice,Marketing:Brand:Strategy:,
,line extension.,,,,,,
,brand extension.,,,,,,
,multi branding.,,,,,,
,new brands.,,,,,,
,,,,,,,
,What is the process of evaluating each market segment's attractiveness and selecting one or more segments to enter.,A,M,Theory,Single choice,Marketing:STP:Segmentation:,
,Mass marketing,,,,,,
,Market segmentation,,,,,,
,Market targeting,,,,,,
,Market positioning,,,,,,
,,,,,,,
,"The fact that services are sold, produced, and consumed at the same time refers to which of the following service characteristics?",B,M,Theory,Single choice,Marketing:Services:Types:,
,Intangibility,,,,,,
,Inseparability,,,,,,
,Variability,,,,,,
,Perishability,,,,,,
,,,,,,,
,"If the field sales force has been supplied with new leads (via the telephone) that have been qualified, they have probably been assisted by:",D,M,Theory,Single choice,Marketing:Sales::,
,master salespersons.,,,,,,
,sales assistants.,,,,,,
,technical support persons.,,,,,,
,telemarketers.,,,,,,
,,,,,,,
,A set of interdependent organizations involved in the process of making a product or service available for use or consumption by the consumer or business user is called:,C,M,Theory,Single choice,Marketing:Channels:Distribution:,
,retailer.,,,,,,
,wholesaler.,,,,,,
,distribution channel.,,,,,,
,logistics.,,,,,,
,,,,,,,
,When an importing country sets limits on the amount of goods it will accept in certain product categories it is called:,A,M,Theory,Single choice,Marketing:Trade:Barriers:,
,quota.,,,,,,
,barrier.,,,,,,
,tariff.,,,,,,
,embargo.,,,,,,
,,,,,,,
,Which of the following is a promotion strategy that calls for using the sales force and trade promotion to move the product through channels.,A,M,Theory,Single choice,Marketing:Push:Pull:Strategy,
,push strategy,,,,,,
,pull strategy,,,,,,
,blocking strategy,,,,,,
,integrated strategy,,,,,,
,,,,,,,
