,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Market Research helps in:,D,E,Theory,Single choice,Marketing:Market Research::,
, Understanding marketing culture and marketing decision process,,,,,,
, determining the frequency with which things have been occuring in the market,,,,,,
, gaining awareness about certain phenomenon,,,,,,
, All of the Above,,,,,,
,,,,,,,
,Porter's 5 force model is useful in determining the impact on:,B,E,Theory,Single choice,Marketing:Porter:5 Forces:,
, Internal Environment,,,,,,
, External Environment,,,,,,
, Both a) and b),,,,,,
, None of the Above,,,,,,
,,,,,,,
,Market potential is term alternatively used for:,B,M,Theory,Single choice,Marketing: ::,
, Supply in the market,,,,,,
, Demand of the market,,,,,,
, Current market consuption,,,,,,
, Predicted market consumption,,,,,,
,,,,,,,
,Marketing environment consists of:,C,E,Theory,Single choice,Marketing:Environment: :,
, all the factors affecting company's operation,,,,,,
, all the factors affecting comapany's operation as well as delivery of the product to the consumer,,,,,,
," all the factors affecting comapany's operation, delivery of the product to the consumer and after sales services ",,,,,,
, None of the abve,,,,,,
,,,,,,,
,The technique associated with reiteration and feedback is:,C,M,Theory,Single choice,Marketing:Techniques::,
, Model building,,,,,,
, Intuitive building,,,,,,
, Delphi technique,,,,,,
, Missing link approach,,,,,,
,,,,,,,
,Volvo develops its cars for the target market of buyers for whom automobile safety is a major concern. Which marketing concept is explained by this example?,C,E,Theory,Single choice,Marketing:GK:Positioning:STP,
, Segmentation,,,,,,
, Targeting,,,,,,
, Positioning,,,,,,
, Market Research ,,,,,,
,,,,,,,
,In a marketing system the flow of information is from:,D,E,Theory,Single choice,Marketing:Flow :Information:,
, Industry to consumer,,,,,,
, Consumer to Industry,,,,,,
, Intermediators to Consumer,,,,,,
, Both a) and b) ,,,,,,
,,,,,,,
,"The metamarket, a concept proposed by Mohan Sawhney, describes",A,E,Theory,Single choice,Marketing:GK: :,
, a cluster of complementary products and services that are closely related in the minds of con- sumers but are spread across a diverse set of industries,,,,,,
, a cluster of similar products and services that are closely related in the minds of con- sumers but are spread across a diverse set of industries,,,,,,
, a cluster of complementary products and services that are not related in the minds of con- sumers but are spread across a diverse set of industries,,,,,,
, a cluster of complementary products and services that are closely related in the minds of con- sumers but are spread across a similar set of industries,,,,,,
,,,,,,,
,"Basic human requirements such as food, air, water, clothing, and shelter are:",B,E,Theory,Single choice,Marketing:Gk: :,
, Demands,,,,,,
, Needs,,,,,,
, Desires,,,,,,
, Wants,,,,,,
,,,,,,,
,Value = ,A,E,Theory,Single choice,Marketing: :GK :,
, Benefits / Costs,,,,,,
, Benefits * Costs,,,,,,
, Benefits + Costs,,,,,,
, Benefits - Costs,,,,,,
,,,,,,,
,"A gives a gift, a subsidy, or a charitable contribution to B but receives nothing tangible in return. Thsi is an example of:",B,E,Theory,Single choice,Marketing:GK :General concept:,
, Exchange,,,,,,
, Transfer,,,,,,
, Transation,,,,,,
, None of the above,,,,,,
,,,,,,,
,A marketing network consists of:,C,E,Theory,Single choice,Marketing: ::,
, Company,,,,,,
, Stakeholders,,,,,,
, Both a) and b),,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is most important:,A,E,Theory,Single choice,Marketing:Customer::,
, Customer retention,,,,,,
, Customer acquisition,,,,,,
, Customer awareness,,,,,,
, Customer attraction,,,,,,
,,,,,,,
,SBU stand for:,A,E,Theory,Single choice,Marketing:SBU: :,
, Strategic Business Unit,,,,,,
, Special Business Unit,,,,,,
, Strategic Basic Unit,,,,,,
, Strategic Business Universal,,,,,,
,,,,,,,
,"A comprehensive, systematic, independent, and periodic examination of a company’s (or SBU’s) marketing environment, objectives, strategies, and activities to identify problem areas and opportunities and recommend a plan of action for improving the company’s marketing performance is:",B,E,Theory,Single choice,Marketing:MR:Abbreviation:,
, Marketing Reaserch,,,,,,
, Marketing Audit,,,,,,
, Marketing Strategy,,,,,,
, Marketing effectiveness,,,,,,
,,,,,,,
,MDSS stands for:,A,E,Theory,Single choice,Marketing:Abbreviation::,
, marketing decision support system,,,,,,
, mass decision support system ,,,,,,
, marketing development support system ,,,,,,
, marketing decision support survey,,,,,,
,,,,,,,
,What are the correct order of new product deveopment:,A,E,Theory,Single choice,Marketing:Product:New Product Development:,
, Idea screening-Concept testing- product development-test marketing-national launch,,,,,,
, Idea screening- product development-Concept testing-test marketing-national launch,,,,,,
, Idea screening-Concept testing- product developmet-national launch-test marketing,,,,,,
, Concept testing-Idea screening-product developmet-test marketing-national launch,,,,,,
,,,,,,,
,Testing done within the firm is:,A,E,Theory,Single choice,Marketing:Testing::,
, beta testing,,,,,,
, alpha testing,,,,,,
, gama testing,,,,,,
, functional test,,,,,,
,,,,,,,
,Recently which brand partnered with Mumbai's Dabbawallas in order to promote Dry Holi?,A,E,Theory,Single choice,Marketing:Advertising Campaign:GK:,
, Bisleri,,,,,,
, Kent ,,,,,,
, Whirlpool,,,,,,
, ITC,,,,,,
,,,,,,,
,Which of the following is the cosmetics brand by Tata group?,C,E,Theory,Single choice,Marketing:GK::,
, Lakme,,,,,,
, Maybelline,,,,,,
, Studiowest,,,,,,
, Faces,,,,,,
,,,,,,,
,"Calculate Customer Acquisition Cost (CAC) if you spend $500,000 on Sales and Marketing in a given month and added 50 customers that same month",B,M,Theory,Single choice,Marketing:Numerical:Customer:,
," $20,000",,,,,,
," $10,000",,,,,,
," $15,000",,,,,,
," $30,000",,,,,,
,,,,,,,
,"Calculate Lifetime Value (LTV) if a customer pays you $100,000 per year where your gross margin on the revenue is 70%, and that customer type is predicted to cancel at 16% per year:",B,M,Theory,Single choice,Marketing:Numerical:Lifetime value:,
," $20,000",,,,,,
,"$437,500 ",,,,,,
," $15,000",,,,,,
," $30,000",,,,,,
,,,,,,,
,Which stage of product life cycle is associated with slow growth and market saturation?,B,E,Theory,Single choice,Marketing:Product:Life cycle:,
, Introduction,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
, Growth,,,,,,
,,,,,,,
,An analysis of broad macro-environment trends PESTLE stands for :,D,E,Theory,Single choice,Marketing:PESTLE:Environment:,
," Political, External, Socio-cultural,Technological, legal and environmental",,,,,,
," Political, Economic, Socio-cultural, Transformational, legal and environmental",,,,,,
," Public, Economic, Socio-cultural ,Technological, legal and ecological",,,,,,
," Political, Economic, Socio-cultural,Technological, legal and ecological",,,,,,
,,,,,,,
,Which of the following is the most cost effective promotional strategy?,B,E,Theory,Single choice,Marketing:Promotions::,
, Public Relations,,,,,,
, Personal Selling,,,,,,
, Internet Marketing,,,,,,
, Market research,,,,,,
,,,,,,,
,Approach based on the notion that if sufficient consumer demand can be generated for a product it will result in final consumers asking retailers for the product. accounts for which strategy?,B,E,Theory,Single choice,Marketing:Customer::,
, Push Strategy,,,,,,
, Pull Strategy,,,,,,
, Both Push and Pull Strategy,,,,,,
, None of these,,,,,,
,,,,,,,
,Which of the following is an example of negative brand equity:,A,E,Theory,Single choice,Marketing:::,
, Tata Nano,,,,,,
, Vodafone,,,,,,
, Amul Milk,,,,,,
, Nokia,,,,,,
,,,,,,,
,360 degree branding is,A,E,Theory,Single choice,Marketing:Brand:Brand Management:,
, branding effort which tries to include the brand identity into a holistic approach so that the brand is in touch with and visible to the customers at all the times,,,,,,
, a common brand philosophy ,,,,,,
, It does not anticipate customer needs,,,,,,
, done by all the people involved in selling process,,,,,,
,,,,,,,
,What are the different forms of cause marketing:,D,E,Theory,Single choice,Marketing:Campaign::,
, Transactional Campaigns,,,,,,
, Point of Sale Campaigns,,,,,,
, Message-Focused Campaigns,,,,,,
, All of the Above,,,,,,
,,,,,,,
,The process of Emotional Branding is based on four important factors:,B,E,Theory,Single choice,Marketing:Emotional Brandin:Brand Management:,
," Relationship, Sensorial Experience, Impression and Vision",,,,,,
," Relationship, Sensorial Experience, Imagination and Vision",,,,,,
," Relationship, Sensorial Experience, Imagination and Variety",,,,,,
," Robustness, Sensorial Experience, Imagination and Vision",,,,,,
,,,,,,,
,Megamarketing manages:,A,E,Theory,Single choice,Marketing:Environment::,
, External environment,,,,,,
, Internal environment,,,,,,
, Both a) and b),,,,,,
, None of the above,,,,,,
,,,,,,,
,An SEO technique which conforms to the search engines' guidelines and involves no deception.,A,E,Theory,Single choice,Marketing:SEO::,
, Black Hat,,,,,,
, White Hat,,,,,,
, Grey Hat,,,,,,
, Blue Hat,,,,,,
,,,,,,,
,Marketing focussing on customer's problems and addresses the issue with appropriate offerings is:,C,E,Theory,Single choice,Marketing:Customer:Selling:,
, Adressal Selling,,,,,,
, Focal Selling,,,,,,
, Solution Selling,,,,,,
, Customer Selling,,,,,,
,,,,,,,
,Co branding is:,B,E,Theory,Single choice,Marketing:Brand:Brand Management:,
, branding of two brands together where both are similarly established,,,,,,
, branding of two brands together where one is more established brand,,,,,,
, a technique which assues two brands wil not be more powerful than a single brand,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is a Key Performance Indicator (KPI):,D,M,Theory,Single choice,Marketing:KPI::,
, homepage views,,,,,,
, CAC (Customer Acquisition Cost),,,,,,
, blog traffic sources,,,,,,
, All of the Above,,,,,,
,,,,,,,
,Which of the following is not the stage of the inbound marketing methodology:,A,E,Theory,Single choice,Marketing:Methods:Marketing methods:,
, Access,,,,,,
, Convert,,,,,,
, Close,,,,,,
, Delight,,,,,,
,,,,,,,
,NPS stands for :,A,E,Theory,Single choice,Marketing:Abbreviation:NPS:,
, Net Promoter Score,,,,,,
, Net Present Sales,,,,,,
, Net Promoter Skills,,,,,,
, New Person Sales,,,,,,
,,,,,,,
,Pay-per-Click (PPC) is:,B,M,Theory,Single choice,Marketing:Abbreviation:PPC:,
, Money paid to the company on every click,,,,,,
, Money paid to the advertiser for every click,,,,,,
, Money spent on digital advertisement,,,,,,
, None of the above,,,,,,
,,,,,,,
,Word-of-Mouth (WOM) involves:,A,E,Theory,Single choice,Marketing:Abbreviation:WOM:,
, Oral Communication,,,,,,
, Written communication,,,,,,
, Actional communication,,,,,,
, Telephonic communication,,,,,,
,,,,,,,
,Digital Marketing Involves:,C,E,Theory,Single choice,Marketing:Digital::,
, Oral Communication,,,,,,
, Written communication,,,,,,
, Online communication,,,,,,
, Telephonic communication,,,,,,
,,,,,,,
,Branding:,D,E,Theory,Single choice,Marketing:::,
, Improves customer experience,,,,,,
, Provide resales,,,,,,
, retain customers,,,,,,
, increase customer awareness,,,,,,
,,,,,,,
,"Fashion company ModCloth invites its customers to submit pictures modeling their clothing, featuring the best shots in a gallery on the site. ModCloth gets stunning images of real people using their products. This is an example of :",B,M,Theory,Single choice,Marketing:Marketing campaigns::,
, Emotional marketing,,,,,,
, Influenntial marketing,,,,,,
, Direct marketing,,,,,,
, Digital marketing,,,,,,
,,,,,,,
,Product Red is an example of one of the largest cause-related marketing campaigns. Which of the following comapany was not involved in the campaign:,D,E,Theory,Single choice,Marketing:Marketing campaigns::,
, Apple Computer,,,,,,
, Motorola,,,,,,
, The Gap,,,,,,
, United Colors of Benetton,,,,,,
,,,,,,,
,The Man Your Man Could Smell Like- belongs to which brand?,B,E,Theory,Single choice,Marketing:Marketing campaigns::,
, AXE,,,,,,
, Old Spice,,,,,,
, Gillette,,,,,,
, Nivea Men,,,,,,
,,,,,,,
,Find the conversion rate where no of people visiting is 7834 and 868 of them buying the product:,B,E,Theory,Single choice,Marketing:Numerical::,
, 0.50,,,,,,
, 0.11,,,,,,
, 0.67,,,,,,
, 0.89,,,,,,
,,,,,,,
,The average ticket price of company A is $25.43 and the 3-year moving average of growth is 6.4%. Forecast the ticket price for the next year.,C,D,Theory,Single choice,Marketing:Numerical::,
, $16.8,,,,,,
, $20.4,,,,,,
, $27.05,,,,,,
, $24.2,,,,,,
,,,,,,,
,Which of the following is a durable product?,A,E,Theory,Single choice,Marketing:GK::,
, Shoes,,,,,,
, Refrigerator,,,,,,
, Television,,,,,,
, Cars,,,,,,
,,,,,,,
,In which of the following stages dealers are persuaded to stock and promote the product?,A,E,Theory,Single choice,Marketing: ::,
, Introduction,,,,,,
, Maturity,,,,,,
, Decline,,,,,,
, Growth,,,,,,
,,,,,,,
,"motor cars, video recorders and washing machines is an example of:",D,E,Theory,Single choice,Marketing: ::,
, Job Production,,,,,,
, Process Production,,,,,,
, Batch Production,,,,,,
, Flow Production,,,,,,
,,,,,,,
,Which of the following is not an example of On-pack gifts as part of promotional activities?,D,E,Theory,Single choice,Marketing: ::,
, toothbrush attached to toothpaste,,,,,,
, conditioner attached to shampoo,,,,,,
, Blade attached to shaving razor,,,,,,
, free sample given at the retail shop,,,,,,
,,,,,,,
,What is the main purpose of Exhibitions:,A,E,Theory,Single choice,Marketing: ::,
, build up goodwill and prepare the way for future sales,,,,,,
, display products,,,,,,
, do huge sales,,,,,,
, its more of a sales effort than marketing effort,,,,,,
,,,,,,,
,The different methods of communicating the USP of different types of product are termed:,B,M,Theory,Single choice,Marketing: ,
, USP communicator,,,,,,
, Communicatiion strata,,,,,,
, Communication channel,,,,,,
, Communication strategy,,,,,,
,,,,,,,
,Public Relations is :,B,M,Theory,Single choice,Marketing: ::,
, Advertising,,,,,,
, Counseling management,,,,,,
, Propaganda,,,,,,
, Publicity,,,,,,
,,,,,,,
,Inertia selling involves:,A,M,Theory,Single choice,Marketing: ::,
," sending of unsolicited goods or the provision of unsolicited services to people who, having received them, may feel an obligation to buy",,,,,,
," sending of unsolicited goods to people who, having received them, may feel an obligation to buy",,,,,,
," sending of unsolicited services to people who, having received them, may feel an obligation to buy",,,,,,
," sending of unsolicited goods or the provision of unsolicited services to people who, having received them, may feel an obligation not to buy",,,,,,
,,,,,,,
,Consumers pay more for a Garnier beauty product than an Ayur product.This signifies:,B,E,Theory,Single choice,Marketing: :Brand Management:,
, Brand Management,,,,,,
, Brand Equity,,,,,,
, Brand awareness,,,,,,
, Brand Recall,,,,,,
,,,,,,,
,Integrated marketing uses:,C,E,Theory,Single choice,Marketing:Integrated marketing::,
, Online channels,,,,,,
, Offline channels,,,,,,
, Both a) and b),,,,,,
, Either a) or b),,,,,,
,,,,,,,
,"""40 40 20"" Rule of marketing campaign stands for :",A,E,Theory,Single choice,Marketing:Marketing campaigns::,
," 40% of the success of would depend on the target audience, 40% on what is offered and the rest 20% on the plan execution",,,,,,
," 40% of the success of would depend on the plan execution, 40% on what is offered and the rest 20% on the target audience",,,,,,
