,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Brands if managed well add value to the _______.,B,E,Theory,Single Choice,Marketing: ::Brand Management,
,Environment,,,,,,
,Product,,,,,,
,Employees,,,,,,
,Equity,,,,,,
,,,,,,,
,Segments of consumers are known as ______.,C,M,Theory,Single Choice,Marketing: : :Segmentation,
,Demographics,,,,,,
,Psychographics,,,,,,
,Markets,,,,,,
,Segmentation,,,,,,
,,,,,,,
,"When the customer percieves a problem, the _____ starts.",B,M,Theory,Single Choice,Marketing:Buying:Product:,
,Service,,,,,,
, Buying Process,,,,,,
, Product Development,,,,,,
, Brand building,,,,,,
,,,,,,,
,Customer is _______ if the expectations from a product are met.,D,H,Theory,Single Choice,Marketing: ::,
,Valuable,,,,,,
,Loyal,,,,,,
,Curious,,,,,,
,Satisfied,,,,,,
,,,,,,,
,Sugar and salt are what kinds of products?,B,E,Theory,Single Choice,Marketing: ::Product,
,Cheap,,,,,,
,Convinience,,,,,,
,Exclusive,,,,,,
,Specialty,,,,,,
,,,,,,,
,The people who can influence the buying process of a consumer are called _________ .,C,E,Theory,Single Choice,Marketing: :Influencers:,
,Relatives,,,,,,
,Friends,,,,,,
,Influencers,,,,,,
,Consumers,,,,,,
,,,,,,,
,What is the term for searching for new markets to sell existing products?,C,H,Theory,Single Choice,Marketing: :Market Development:,
,Category development,,,,,,
,Product development,,,,,,
,Market development,,,,,,
,New markets,,,,,,
,,,,,,,
,Through _________ the company distributes its products.,A,M,Theory,Single Choice,Marketing:Advertising:Advertising Campaign:,
,Channels,,,,,,
,Sales force,,,,,,
,Advertisements,,,,,,
,Marketing,,,,,,
,,,,,,,
,The different products offered by a company is called it's ______,B,H,Theory,Single Choice,Marketing:Product:Product Mix:,
,Brand Value,,,,,,
,Product mix,,,,,,
,Sales Channel,,,,,,
,Services Mix,,,,,,
,,,,,,,
,What is the most important feature for convienience good in the buying process?,A,M,Theory,Single Choice,Marketing: ::,
,Availibility,,,,,,
,Features,,,,,,
,Quality,,,,,,
,After sales service,,,,,,
,,,,,,,
,The _____ forms the last part of the distribution channel.,C,E,Theory,Single Choice,Marketing: :Channels:Distribution,
,Manufacturer,,,,,,
,Distributor,,,,,,
,Retailer,,,,,,
,Consumer,,,,,,
,,,,,,,
,The end user of a product is called ______,B,M,Theory,Single Choice,Marketing: :Consumer:,
,customer,,,,,,
,consumer,,,,,,
,producer,,,,,,
,buyer,,,,,,
,,,,,,,
,A set of benefits companies offer to their customers is it's ________,A,M,Theory,Single Choice,Marketing: :Value Proposition:,
,value proposition,,,,,,
,core values,,,,,,
,mission,,,,,,
,vision,,,,,,
,,,,,,,
,Market segments which present the best opportunity are?,B,E,Theory,Single Choice,Marketing: : :Targeting,
,Chosen segment,,,,,,
,Target segment,,,,,,
,Ideal segment,,,,,,
,Market opportunity,,,,,,
,,,,,,,
,The percieved benefits from a product to a customer is?,C,H,Theory,Single Choice,Marketing: :Value:,
,wants,,,,,,
,needs,,,,,,
,value,,,,,,
,judgements,,,,,,
,,,,,,,
,The concept that says that customers wouldn't buy enough product of a company if it isn't done is?,B,M,Theory,Single Choice,Marketing: :Selling:,
,product conept,,,,,,
,selling concept,,,,,,
,production concept,,,,,,
,Marketing conept,,,,,,
,,,,,,,
,To build long-term relationships with key players is the aim of ______,C,E,Theory,Single Choice,Marketing:Relationship Marketing::,
,Digital marketing,,,,,,
,sales strategy,,,,,,
,relationship marketing,,,,,,
,product marketing,,,,,,
,,,,,,,
,What is not a part of the 4P's of marketing?,C,H,Theory,Single Choice,Marketing::Penetration:,
,product,,,,,,
,price,,,,,,
,penetration,,,,,,
,promotion,,,,,,
,,,,,,,
,______ is concerned with what the value proposition to customers will be.,A,E,Theory,Single Choice,Marketing: :Value Proposition:,
,Positioning,,,,,,
,Targeting,,,,,,
,Segmentation,,,,,,
,Promotion,,,,,,
,,,,,,,
,The first part of STP analysis is ________,C,M,Theory,Single Choice,Marketing: :Segmentation:,
,Sales,,,,,,
,Strategy,,,,,,
,Segmentation,,,,,,
,Signalling,,,,,,
,,,,,,,
,The number of items in a product line is it's ______,B,M,Theory,Single Choice,Marketing: :Length:,
,Volume,,,,,,
,Length,,,,,,
,Size,,,,,,
,Strength,,,,,,
,,,,,,,
,The number of product lines carried by a company is it's _____,C,E,Theory,Single Choice,Marketing: :Length:,
,Breath,,,,,,
,Size,,,,,,
,Length,,,,,,
,Market Share,,,,,,
,,,,,,,
,The percentage of market served by a company is ________,D,H,Theory,Single Choice,Marketing: :Market Share:,
,Market penetration,,,,,,
,market maturity,,,,,,
,Market segmentation,,,,,,
,market share,,,,,,
,,,,,,,
,The different packages offered for the same product are it's _______,C,M,Theory,Single Choice,Marketing: :SKU:,
,size,,,,,,
,volume,,,,,,
,SKU,,,,,,
,Differentiators,,,,,,
,,,,,,,
,_______ is the term used in marketing for communication of product value to customers.,B,H,Theory,Single Choice,Marketing::Promotions:,
,Advertisement,,,,,,
,Promotion,,,,,,
,Branding,,,,,,
,Trade shows,,,,,,
,,,,,,,
,The number of retailers holding a product in a markets is the product's _________,A,M,Theory,Single Choice,Marketing:Penetration: :,
,Penetration,,,,,,
,market size,,,,,,
,growth opportunity,,,,,,
,availibility,,,,,,
,,,,,,,
,The concept of increasing demand at the retailer level is called ______,C,E,Theory,Single Choice,Marketing: :Trade marketing:Trade,
,trade discounting,,,,,,
,trade margins,,,,,,
,trade marketing,,,,,,
,trade shows,,,,,,
,,,,,,,
,The amount gained by the company on the sales of its products is ______,B,H,Theory,Single Choice,Marketing: :Margin:Profit,
,profit,,,,,,
,margin,,,,,,
,value,,,,,,
,cash,,,,,,
,,,,,,,
,________ is the person who buys the product.,A,E,Theory,Single Choice,Marketing: :Customer:,
,customer,,,,,,
,consumer,,,,,,
,retailer,,,,,,
,wholesaler,,,,,,
,,,,,,,
,Demand generation through the way of promotions is called _________ demand,C,H,Theory,Single Choice,Marketing:Pull:Push:Demand,
,Push,,,,,,
,Advertisement,,,,,,
,Pull,,,,,,
,communications,,,,,,
,,,,,,,
,Shelf space allocation is important for_________ selling,C,E,Theory,Single Choice,Marketing:Pull:Push:Demand,
,direct,,,,,,
,indirect,,,,,,
,push,,,,,,
,pull,,,,,,
,,,,,,,
,_______ perform value added services for the company in exchange for a fee,B,H,Theory,Single Choice,Marketing:Channel:Channel Partners:Demand,
,sales persons,,,,,,
,channel partners,,,,,,
,suppliers,,,,,,
,influencers,,,,,,
,,,,,,,
,Discounts can be given directly to consumers by the way of ________,B,M,Theory,Single Choice,Marketing::Pricing:Pricing Strategies,
,cash discount,,,,,,
,authorized coupons,,,,,,
,lower price,,,,,,
,retailer margin,,,,,,
,,,,,,,
,Traditionalists in marketing say that a company produces then _____ process starts,A,E,Theory,Single Choice,Marketing: ::,
,sales,,,,,,
,marketing,,,,,,
,pricing,,,,,,
,segmentation,,,,,,
,,,,,,,
,Marketing is the ______ and execution of strategy,D,M,Theory,Single Choice,Marketing: ::,
,goals,,,,,,
,conception,,,,,,
,thinking,,,,,,
,planning,,,,,,
,,,,,,,
,Demand is wants backed by ______,C,E,Theory,Single Choice,Marketing:Demand: :,
,needs,,,,,,
,desperation,,,,,,
,buying power,,,,,,
,buying intention,,,,,,
,,,,,,,
,"_____ is what people think, feel and say about a product.",D,H,Theory,Single Choice,Marketing:Branding: :,
,Perception,,,,,,
,View,,,,,,
,Value,,,,,,
,brand,,,,,,
,,,,,,,
,Brands allow companies to compete with others on aspects other than ______,C,H,Theory,Single Choice,Marketing::Pricing:Branding,
,Power,,,,,,
,Quality,,,,,,
,Price,,,,,,
,Discount,,,,,,
,,,,,,,
,Companies selling products to other companies use __ marketing.,B,M,Theory,Single Choice,Marketing:B2B:B2C:B2M,
,B2C,,,,,,
,B2B,,,,,,
,B2G,,,,,,
,B2M,,,,,,
,,,,,,,
,"To ensure repeat purchases of a product, the company must offer _____ products",B,M,Theory,Single Choice,Marketing:Discounts:Quality:,
,discounted,,,,,,
,quality,,,,,,
,quantity,,,,,,
,exclusive,,,,,,
,,,,,,,
,Intensive distribution is not useful for ___ products,C,E,Theory,Single Choice,Marketing:Luxury: :,
,convienience,,,,,,
,regular,,,,,,
,luxury,,,,,,
,shopping,,,,,,
,,,,,,,
,The focus of marketing is _______,D,H,Theory,Single Choice,Marketing:Consumer::,
,product,,,,,,
,price,,,,,,
,market,,,,,,
,consumer,,,,,,
,,,,,,,
,What makes a service defferent from a product?,C,M,Theory,Single Choice,Marketing: :Service Marketing:,
,packaging,,,,,,
,post purchase value,,,,,,
,intangibility,,,,,,
,size,,,,,,
,,,,,,,
,A business creates value in exchange for _____,B,H,Theory,Single Choice,Marketing: ::,
,growth,,,,,,
,profit,,,,,,
,margin,,,,,,
,price,,,,,,
,,,,,,,
,"In case of price wars, the companies that are unaffected have products with high _______",A,E,Theory,Single Choice,Marketing: :Pricing:,
,differentiators,,,,,,
,durability,,,,,,
,tangibility,,,,,,
,price,,,,,,
,,,,,,,
,________ refers to the process of moving a product from manufacturer to retailer,C,M,Theory,Single Choice,Marketing: :Product:,
,retailing,,,,,,
,wholesaling,,,,,,
,distributing,,,,,,
,promoting,,,,,,
,,,,,,,
,A ______ is created for a product in the minds of the consumer if it has high loyalty.,A,M,Theory,Single Choice,Marketing: :Product:,
,bias,,,,,,
,market,,,,,,
,sale,,,,,,
,exchange,,,,,,
,,,,,,,
,The use of ____ salesforce is useful in B2B marketing.,B,E,Theory,Single Choice,Marketing: :B2B:,
,extensive,,,,,,
,direct,,,,,,
,indirect,,,,,,
,small,,,,,,
,,,,,,,
,______ indicates the place in which a consumer exists and its related characteristics,C,H,Theory,Single Choice,Marketing: :Segmentation:,
,geography,,,,,,
,psychography,,,,,,
,demography,,,,,,
,social background,,,,,,
,,,,,,,
,What is brand vision?,C,H,Theory,Single Choice,Marketing:Brand:Brand Management:,
,Its core values,,,,,,
,Its purpose,,,,,,
,The furutre environment a brand wishes to bring about,,,,,,
,Its cultural fit,,,,,,
,,,,,,,
,What is internal branding?,B,M,Theory,Single Choice,Marketing:Brand:Brand Management:,
,Motivating the employees,,,,,,
,Developing a common value based ethos,,,,,,
,Internal norms of organization,,,,,,
,Employee orientation,,,,,,
,,,,,,,
,What is known as creating new products for the company to sell?,B,E,Theory,Single Choice,Marketing::Product:,
,product creation,,,,,,
,product development,,,,,,
,innovation,,,,,,
,product marketing,,,,,,
,,,,,,,
,"When a company creates new product to sell in new markets, the process is called ________",B,H,Theory,Single Choice,Marketing::Product:New Product,
,market creation,,,,,,
,business creation,,,,,,
,business development,,,,,,
,strategy execution,,,,,,
,,,,,,,
,_______ is known as communication to large audiences at the same time,A,M,Theory,Single Choice,Marketing:Mass Marketing:Promotions:,
,mass promotion,,,,,,
,trade promotion,,,,,,
,consumer promotion,,,,,,
,mass marketing,,,,,,
,,,,,,,
,Brands if managed well add value to the _______.,B,E,Theory,Single Choice,Marketing:Brand:Branding:,
,Environment,,,,,,
, Product,,,,,,
, Employees,,,,,,
, Equity,,,,,,
,,,,,,,
,Segments of consumers are known as ______.,C,M,Theory,Single Choice,Marketing: :Segmentation:,
,Demographics,,,,,,
,Psychographics,,,,,,
,Markets,,,,,,
,Segmentation,,,,,,
,,B,M,,,,
,"When the customer percieves a problem, the _____ starts.",,,Theory,Single Choice,:::,
,Service,,,,,,
, Buying Process,,,,,,
, Product Development,,,,,,
, Brand building,,,,,,
,,,,,,,
,Customer is _______ if the expectations from a product are met.,D,H,Theory,Single Choice,Marketing:Customer::,
,Valuable,,,,,,
,Loyal,,,,,,
,Curious,,,,,,
,Satisfied,,,,,,
,,,,,,,
,The people who can influence the buying process of a consumer are called _________ .,C,E,Theory,Single Choice,Marketing:People::,
,Relatives,,,,,,
,Friends,,,,,,
,Influencers,,,,,,
,Consumers,,,,,,
,,,,,,,
,What is the term for searching for new markets to sell existing products? ,C,H,Theory,Single Choice,Marketing:Sell:Product:,
,Category development,,,,,,
,Product development ,,,,,,
,Market development,,,,,,
,New markets,,,,,,
,,,,,,,
,Through _________ the company distributes its products.,A,M,Theory,Single Choice,Marketing:Channels::,
,Channels,,,,,,
,Sales force,,,,,,
,Advertisements ,,,,,,
,Marketing,,,,,,
,,,,,,,
,The different products offered by a company is called it's ______,B,H,Theory,Single Choice,Marketing:Brand:Product:,
,Brand Value,,,,,,
,Product mix,,,,,,
,Sales Channel ,,,,,,
,Services Mix,,,,,,
,,,,,,,
,What is the most important feature for convienience good in the buying process?,A,M,Theory,Single Choice,Marketing:Sales:Buying:,
,Availibility,,,,,,
,Features,,,,,,
,Quality,,,,,,
,After sales service,,,,,,
,,,,,,,
,The _____ forms the last part of the distribution channel.,C,E,Theory,Single Choice,Marketing:Channel::,
,Manufacturer,,,,,,
,Distributor,,,,,,
,Retailer,,,,,,
,Consumer,,,,,,
,,,,,,,
,The end user of a product is called ______,B,M,Theory,Single Choice,Marketing:Consumer::,
,customer,,,,,,
,consumer,,,,,,
,producer ,,,,,,
,buyer ,,,,,,
,,,,,,,
,A set of benefits companies offer to their customers is it's ________,A,M,Theory,Single Choice,Marketing:Value::,
,value proposition,,,,,,
,core values,,,,,,
,mission ,,,,,,
,vision,,,,,,
,,,,,,,
,Market segments which present the best opportunity are?,B,E,Theory,Single Choice,Marketing:Segmentation : :,
,Chosen segment,,,,,,
,Target segment,,,,,,
,Ideal segment,,,,,,
,Market opportunity,,,,,,
,,,,,,,
,The percieved benefits from a product to a customer is?,C,H,Theory,Single Choice,Marketing:Value::,
,wants,,,,,,
,needs,,,,,,
,value ,,,,,,
,judgements,,,,,,
,,,,,,,
,The concept that says that customers wouldn't buy enough product of a company if it isn't done is?,B,M,Theory,Single Choice,Marketing:Product:Concepts:,
,product conept,,,,,,
,selling concept,,,,,,
,production concept,,,,,,
,Marketing conept,,,,,,
,,,,,,,
,To build long-term relationships with key players is the aim of ______,C,E,Theory,Single Choice,Marketing:Relationship::,
,Digital marketing,,,,,,
,sales strategy,,,,,,
,relationship marketing,,,,,,
,product marketing,,,,,,
,,,,,,,
,What is not a part of the 4 P's of marketing?,C,H,Theory,Single Choice,Marketing:::,
,product  ,,,,,,
,price,,,,,,
,penetration,,,,,,
,promotion,,,,,,
,,,,,,,
, ______ is concerned with what the value proposition to customers will be.,A,E,Theory,Single Choice,Marketing: :Positioning:,
,Positioning,,,,,,
,Targeting,,,,,,
,Segmentation,,,,,,
,Promotion,,,,,,
,,,,,,,
,The first part of STP analysis is ________,C,M,Theory,Single Choice,Marketing: :Segmentation:,
,Sales,,,,,,
,Strategy,,,,,,
,Segmentation,,,,,,
,Signalling,,,,,,
,,,,,,,
,The number of items in a product line is it's ______,B,M,Theory,Single Choice,Marketing:Product::,
,Volume,,,,,,
,Length,,,,,,
,Size,,,,,,
,Strength,,,,,,
,,,,,,,
,The number of product lines carried by a company is it's _____,C,E,Theory,Single Choice,Marketing:Product::,
,Breath,,,,,,
,Size,,,,,,
,Length,,,,,,
,Market Share,,,,,,
,,,,,,,
,The percentage of market served by a company is ________,D,H,Theory,Single Choice,Marketing:Market Share::,
,Market penetration,,,,,,
,market maturity,,,,,,
,Market segmentation,,,,,,
,market share,,,,,,
,,,,,,,
,The different packages offered for the same product are it's _______,C,M,Theory,Single Choice,Marketing:Product::,
,size,,,,,,
,volume ,,,,,,
,SKU,,,,,,
,Differentiators,,,,,,
,,,,,,,
, _______ is the term used in marketing for communication of product value to customers.,B,H,Theory,Single Choice,Marketing:Product:Value:,
,Advertisement ,,,,,,
,Promotion,,,,,,
,Branding,,,,,,
,Trade shows,,,,,,
,,,,,,,
,The number of retailers holding a product in a markets is the product's _________,A,M,Theory,Single Choice,Marketing:Retailers:Channels:,
,Penetration,,,,,,
,market size,,,,,,
,growth opportunity,,,,,,
,availibility,,,,,,
,,,,,,,
,The concept of increasing demand at the retailer level is called ______,C,E,Theory,Single Choice,Marketing:Trade::,
,trade discounting,,,,,,
,trade margins,,,,,,
,trade marketing,,,,,,
,trade shows,,,,,,
,,,,,,,
,The amount gained by the company on the sales of its products is ______,B,H,Theory,Single Choice,Marketing:Margin:Profit:,
,profit,,,,,,
,margin,,,,,,
,value,,,,,,
,cash,,,,,,
,,,,,,,
,________ is the person who buys the product.,B,E,Theory,Single Choice,Marketing:Consumer::,
,customer,,,,,,
,consumer,,,,,,
,retailer ,,,,,,
,wholesaler,,,,,,
,,,,,,,
,"With online advertising, companies get the advantage ofbetter _________",A,m,Theory,Single Choice,Marketing:Targeting:Advertising:,
,targeting,,,,,,
,conversion,,,,,,
,influence,,,,,,
,segmenting,,,,,,
,,,,,,,
,Demand generation through the way of promotions is called _________ demand,C,H,Theory,Single Choice,Marketing:Demand:Push:Pull,
,Push,,,,,,
,Advertisement,,,,,,
,Pull,,,,,,
,communications,,,,,,
,,,,,,,
,Shelf space allocation is important for_________ selling,C,E,Theory,Single Choice,Marketing:Shelf space:Direct Marketing:Indirect Marketing,
,direct,,,,,,
,indirect,,,,,,
,push,,,,,,
,pull,,,,,,
,,,,,,,
,_______ perform value added services for the company in exchange for a fee,B,H,Theory,Single Choice,Marketing:Channel:Partners:,
,sales persons,,,,,,
,channel partners,,,,,,
,suppliers,,,,,,
,influencers,,,,,,
,,,,,,,
,Discounts can be given directly to consumers by the way of ________,B,M,Theory,Single Choice,Marketing:Discounts:Promotions:,
,cash discount,,,,,,
,authorized coupons,,,,,,
,lower price,,,,,,
,retailer margin,,,,,,
,,,,,,,
,Traditionalists in marketing say that a company produces then _____ process starts,A,E,Theory,Single Choice,Marketing:Sales: :,
