,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,"Raising consumer awareness of a commodities or product, produces sales, and makes brand reliability is

",A,E,Theory,Single Choice,Marketing ::Promotions:,
,promotion,,,,,,
,location,,,,,,
,product,,,,,,
,decision,,,,,,
,,,,,,,
,Technical root for targeting results is,A,E,Theory,Single Choice,Marketing :Optimization::,
,optimization,,,,,,
,segmentation,,,,,,
,accountability,,,,,,
,targeting,,,,,,
,,,,,,,
,Sales advertising targeted at customers are called,C,E,Theory,Single Choice,Marketing :Sales:Trade Promotions:Promotions,
,trade sales promotions,,,,,,
,sales,,,,,,
,consumer sales promotions,,,,,,
,all of above,,,,,,
,,,,,,,
,A product which uses name of vendor or store where it,C,E,Theory,Single Choice,Marketing :Brand:Branding:,
,Co-brand,,,,,,
,manufacturer brand,,,,,,
,private brand,,,,,,
,multi brand,,,,,,
,,,,,,,
,An approach to advertising which chooses an suitable period and place for delivery of a advertising message is,B,E,Theory,Single Choice,Marketing :Types:Types of Marketing:,
,services marketing,,,,,,
,right-time marketing,,,,,,
,guerrilla marketing,,,,,,
,demand chain,,,,,,
,,,,,,,
,Choice of a commodities sales and proceeds over its lifetime is known,A,E,Theory,Single Choice,Marketing:Product:Product Life cycle:,
,product life cycle,,,,,,
,sales chart,,,,,,
,dynamic growth curve,,,,,,
,adoption cycle,,,,,,
,,,,,,,
,A official approach to this consumer-focused marketing is identified as,D,M,Theory,Single Choice,Marketing: :Demand :Customer,
,product,,,,,,
,information,,,,,,
,access,,,,,,
,SIVA,,,,,,
,,,,,,,
,Worth of how marketers go to marketplace with aim of optimizing their expenditure to attain product results for together short-term and long-term is,C,M,Theory,Single Choice,Marketing: ::,
,marketing mix,,,,,,
,marketing ROI,,,,,,
,marketing effectiveness,,,,,,
,marketing decision,,,,,,
,,,,,,,
,Short period incentive presented to persuade a retailer to stock up on manufactured goods are,C,H,Theory,Single Choice,Marketing: :Incentives:,
,trade contest,,,,,,
,dealer loader,,,,,,
,trade allowances,,,,,,
,push money,,,,,,
,,,,,,,
,To raise demand is purpose of,D,M,Theory,Single Choice,Marketing: :Demand:,
,location,,,,,,
,segmentation,,,,,,
,services,,,,,,
,promotion,,,,,,
,,,,,,,
,In which of the following situations is it more than likely necessary to handle a reputation attack privately?,A,M,Theory,Single Choice,Marketing:Legal:Private:,
,If your legal team is required to get involved,,,,,,
,If your damage is coming from someone with whom you've had no previous contact with,,,,,,
,If the attack is coming from a person with minimal influence in the online community,,,,,,
,If the attack is coming from a person with very high online exposure,,,,,,
,,,,,,,
,"Your marketing manager recently financed a reputation management tool to monitor your company's social media trends. There is now a concern about how your company's reputation is in the industry. Without spending any additional money, which of the following represents a more effective way to evaluate your company's position in the industry?",A,M,Theory,Single Choice,Marketing:Legal:Reputation:,
,Use your existing reputation management tool to monitor your competitors,,,,,,
,Collect survey data on your site about how your company compares to your competitors,,,,,,
,Use a free service such as Google Alerts to monitor competitor mentions,,,,,,
,Review and catalog the comments you can access on your competitor's blogs and other social channels,,,,,,
,,,,,,,
