,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,"While project planning, which of the following behavior/element doesn’t contribute to introduction of additional contingency in terms of length of duration of an activity",D,M,Theory,Single Choice,Operations:Project Management,
,Multitasking,,,,,,
,Dependencies,,,,,,
,Student Syndrome,,,,,,
,Project Crashing,,,,,,
,,,,,,,
,"There are five dependent Operations as above. Now, I have increased the efficiencies of Processes B & D by 15% and 25% respectively by investing additional $200,000. What will be the new output compared to previous output:
",D,M,Theory,Single Choice,Operations:Process Excellence,
,Remains Same,,,,,,
,Increases,,,,,,
,Decreases,,,,,,
,Data Insufficient,,,,,,
,,,,,,,
,Fish bone diagram in the following referes to:,A,M,Theory,Single Choice,Operations,
,Ishikawa,,,,,,
,Heijunka,,,,,,
,Kaizen,,,,,,
,Jidoka,,,,,,
,,,,,,,
,4- Which came last in the development of manufacturing techniques?,A,M,Theory,Single Choice,Operations:Mfg Operations,
,Lean Production,,,,,,
,Division of Labour,,,,,,
,Mass Production,,,,,,
,Craft Production,,,,,,
,,,,,,,
,Implementation of TQM can reduce employee motivation since it makes them feel less involved in the business,B,H,Reasoning,Single Choice,Operations:TQM,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Assuming no shift in mean, what is the significance of Six Sigma Quality Control?",D,H,Theory,Single Choice,Operations:Six Sigma,
,3.4 defects per million parts,,,,,,
,3.4 defects per million oppurtunities,,,,,,
,2 defects per million parts,,,,,,
,2 defects per million oppurtunities,,,,,,
,,,,,,,
,What is the japanese term for fool proofing system,A,E,Theory,Single Choice,Operations,
,Poka Yoke,,,,,,
,Kaizen,,,,,,
,Jidoka,,,,,,
,Kanban,,,,,,
,,,,,,,
,What is the Japanese term for Signalling System,D,E,Theory,Single Choice,Operations:Quality,
,Poka Yoke,,,,,,
,Kaizen,,,,,,
,Jidoka,,,,,,
,Kanban,,,,,,
,,,,,,,
,Theory of Contraints mainly deals with,C,E,Theory,Single Choice,Operations:Mfg Operations,
,Job Shop,,,,,,
,Assembly Line,,,,,,
,Bottlenecks,,,,,,
,Critical Chain Project management,,,,,,
,,,,,,,
,The customer of a mortgage bank expect to have their morgage applications processed within 10 days of filing. This would be called a critical customer requirement. Suppose all defects are counted and it is determined that there are 150 loans in the 1000 applications processed last month. Then DPMO =,B,H,Numerical,Single Choice,Operations,
,75000,,,,,,
,150000,,,,,,
,300000,,,,,,
,600000,,,,,,
,,,,,,,
,Mean = 0.0307; SD = 0.017; At 95% confidence interval find UCL,B,H,Numerical,Single Choice,Operations,
,0.068,,,,,,
,0.064,,,,,,
,0.06,,,,,,
,0.056,,,,,,
,,,,,,,
, Mean = 0.0307; SD = 0.017; At 95% confidence interval. Find LCL,B,H,Numerical,Single Choice,Operations,
,-0.00232,,,,,,
,0,,,,,,
,0.00232,,,,,,
,0.02,,,,,,
,,,,,,,
,"You are a student at premier B-School and in OM course you have 80% minimum attendance constraint to avoid grade cut. You wish to completely utilize the benefit of sleeping in your room for 20% of the classes. In a total of 20 classes in course, you already were absent for 3 classes in the first 8 classes and plans not to be absent for next 10 consecutive classes. Which of the following activities you are not doing in the above process:",A,M,Situational,Single Choice,Operations,
,Scheduling,,,,,,
,Planning,,,,,,
,Monitoring,,,,,,
,Controlling,,,,,,
,,,,,,,
,You are a Business Analyst in a Multinational Company and you are analysing the cost reports of your client for the first time. You observe that there are 140 cost heads to be analysed from the report. What principle do you adopt to effectively analyse the report in the least possible time,B,H,Situational,Single Choice,Operations,
,Cost Benefit Principle,,,,,,
,Pareto Principle,,,,,,
,ABC Classification Principle,,,,,,
,Parametric Estimations,,,,,,
,,,,,,,
,Theory of Contraints is introduced by,C,E,GK,Single Choice,Operations,
,Bill Smith,,,,,,
,Edward Deming,,,,,,
,Eliyahu M Goldratt,,,,,,
,Fredrick Taylor,,,,,,
,,,,,,,
,"Western National Bank is considering opening a drive thru window customer service. Management estimates that customers will arrive at rate of 15 per hour. The teller who will staff the window can service customers at the rate of one every 3 minutes. Assuming Poisson arrivals and exponential service, calculate Utilization of Teller",D,H,Numerical,,Operations,
,60%,,,,Single Choice,,
,65%,,,,,,
,70%,,,,,,
,75%,,,,,,
,,,,,,,
