,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is true for a Capacity Reservation Contract?,C,M,Theory,Single Choice,Operations:Sourcing,
,Manufacturer pays to reserve a certain level of capacity with the supplier.,,,,,,
,The manufacturer reveals its true forecasts,,,,,,
,Both A&B,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following is true for a Advance Purchase Contract?,D,H,Theory,Single Choice,Operations:Sourcing,
,Supplier charges the advance purchase price for firms’ orders placed prior to building capacity ,,,,,,
,A different price for additional order placed when demand is realized,,,,,,
,The initial order size reveals the manufacturer’s true forecast,,,,,,
,All of the above,,,,,,
,,,,,,,
,"In Material Handling, Holding and Storage Costs are synonymous",B,M,Reasoning,Single Choice,Operations:Material Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is right sequence of activities in Procurement of Material?,C,M,Theory,Single Choice,Operations:Procurement,
,"Request for Quotations, Bid List Preperation, Bid Receipt and Evaluation",,,,,,
,"Bid List Preperation, Bid Receipt and Evaluation, Request for Quotations",,,,,,
,"Bid List Preperation, Request for Quotations, Bid Receipt and Evaluation",,,,,,
,"Bid Receipt and Evaluation, Bid List Preperation, Request for Quotations",,,,,,
,,,,,,,
,Supplier and Subcontractor are synonymous from the perspective of Project.,B,M,Reasoning,Single Choice,Operations:Project Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Which of the following is/are the activities for Material Management?,D,M,Theory,Single Choice,Operations:Material Management,
,Planning,,,,,,
,Procuring,,,,,,
,Storing,,,,,,
,All of the Above,,,,,,
,,,,,,,
,Which of the following activities is/are not the responsibility of Material Management Department?,A,M,Theory,Single Choice,Operations:Material Management,
,Transportation,,,,,,
,Accounting,,,,,,
,Storage,,,,,,
,Packaging,,,,,,
,,,,,,,
,What is Integrated Material Management?,A,E,Theory,Single Choice,Operations:Material Management,
,Consolidation of all activities related to Material Management,,,,,,
,ERP System used to monitor and control material management activities,,,,,,
,Integration of Material Management Activities in Supply Chain Management,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following best describes the term Quality Assurance? ,A,M,Theory,Single Choice,Operations:Quality,
,Way of preventing mistakes or defects in manufactured products and avoiding problems when delivering solutions or services to customers,,,,,,
,A process by which entities review the quality of all factors involved in production.,,,,,,
,It consists of organization-wide efforts to install and make permanent a climate in which an organization continuously improves its ability to deliver high-quality products and services to customers,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following best describes the term Quality Control? ,B,M,Theory,Single Choice,Operations:Quality,
,Way of preventing mistakes or defects in manufactured products and avoiding problems when delivering solutions or services to customers,,,,,,
,A process by which entities review the quality of all factors involved in production.,,,,,,
,It consists of organization-wide efforts to install and make permanent a climate in which an organization continuously improves its ability to deliver high-quality products and services to customers,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following best describes the term Total Quality Management? ,C,M,Theory,Single Choice,Operations:Quality,
,Way of preventing mistakes or defects in manufactured products and avoiding problems when delivering solutions or services to customers,,,,,,
,A process by which entities review the quality of all factors involved in production.,,,,,,
,It consists of organization-wide efforts to install and make permanent a climate in which an organization continuously improves its ability to deliver high-quality products and services to customers,,,,,,
,None of the Above,,,,,,
,,,,,,,
,Which of the following are sub functions of material management,D,M,Theory,Single Choice,Operations:Material Management,
,Material Planning & Control,,,,,,
,Purchasing,,,,,,
,Stores & Inventory Management,,,,,,
,All of the Above,,,,,,
,,,,,,,
,Which of the following is NOT one of 5 Rs of material Management?,D,H,Theory,Single Choice,Operations:Material Management,
,Right Quality,,,,,,
,Right Quantity,,,,,,
,Right Time,,,,,,
,Right Safety,,,,,,
,,,,,,,
,One of the objective of Material Management is to do Make Vs. Buy Decisions,A,M,Reasoning,Single Choice,Operations:Material Management,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,What is the right sequence activities in Project Procurement Management?,D,H,Theory,Single Choice,Operations:Procurement,
,"Procurement Planning, Solicitation Planning, Contract Administration, Source Selection, Contract Closeout",,,,,,
