,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,What is the purpose of a value analysis?,B,M,Theory,Single Choice,Operations:Process Excellence,
, To cut down on production time,,,,,,
, To reduce cost and/or improve product performance,,,,,,
, To analyze the potential profitability of the product,,,,,,
, To ensure customer satisfaction and profits,,,,,,
,,,,,,,
,"a. Competitor Based
b. Customer Based
c. Supply Chain Based
d. Research Based
Idea Generation comes from which sources?",C,M,Theory,Single Choice,Operations:Supply Chain,
," a, b & d",,,,,,
," b, c & d",,,,,,
," a, c & d",,,,,,
," a, b, c & d",,,,,,
,,,,,,,
,Single-sourcing has a number of advantages. Which of the following is NOT an advantage of single sourcing?,A,M,Theory,Single Choice,Operations:Sourcing:Procurement,
, Wide sources of knowledge and expertise to tap.,,,,,,
, Dependency encourages more commitment and effort.,,,,,,
, Better Communication,,,,,,
, Strong durable relationships with individual suppliers.,,,,,,
,,,,,,,
,Which is the correct sequence in order of increasing process flexibility?,C,M,Theory,Single Choice,Operations:Process Design,
, Jobbing / batch / project / continuous / line,,,,,,
, Project / jobbing / batch / continuous / line,,,,,,
, Continuous / line / batch / jobbing / project,,,,,,
, Jobbing / batch / project / line / continuous,,,,,,
,,,,,,,
,Work Breakdown Structure (WBS) is a/an:,D,M,Theory,Single Choice,Operations:Mfg Operations:Production,
, How to breakdown work,,,,,,
, Assignment of who does what,,,,,,
, Map of employees positions,,,,,,
, Hierarchical listing of what must be done during a project,,,,,,
,,,,,,,
,Forecast Error is equal to :,B,E,Theory,Single Choice,Operations,
, the forecast value - the actual value,,,,,,
, the actual value - the forecast value,,,,,,
, the absolute value - the forecast value,,,,,,
, the forecast value - the absolute value,,,,,,
,,,,,,,
,Which one of these is a wave-like variation lasting more than a year?,C,E,Theory,Single Choice,Operations:Supply Chain,
, Random,,,,,,
, Seasonal,,,,,,
, Cycle,,,,,,
, Irregular,,,,,,
,,,,,,,
,Little’s Law is calculated as follows:,B,H,Theory,Single Choice,Operations:Mfg Operations,
, Throughput time = work in progress + cycle time,,,,,,
, Throughput time = work in progress x cycle time,,,,,,
, Cycle time = throughput time x work in progress,,,,,,
, Cycle time = work in progress – throughput time,,,,,,
,,,,,,,
,"In terms of process types, which of the following statements is correct?",A,M,Theory,Single Choice,Operations:Process Excellence,
, Jobbing has higher variety than batch and higher volume than project.,,,,,,
, Project is higher variety and volume than batch.,,,,,,
, Mass is higher variety than continuous and batch.,,,,,,
, Continuous has the lowest volume and variety.,,,,,,
,,,,,,,
,_____ is a method for describing and analyzing a service process.,B,M,Theory,Single Choice,Operations,
, Product process,,,,,,
, Product design,,,,,,
, Service design,,,,,,
, Service blueprint,,,,,,
,,,,,,,
,All of the following are tools used in project management EXCEPT?,C,M,Theory,Single Choice,Operations:Project Management,
, Network diagram,,,,,,
, Gantt charts,,,,,,
, Control charts,,,,,,
, Work breakdown structure,,,,,,
,,,,,,,
,The critical path is best described by _____ .,D,H,Theory,Single Choice,Operations:Project Management,
, The most used,,,,,,
, The shortest path,,,,,,
, The most efficient,,,,,,
, The longest path,,,,,,
,,,,,,,
,When there is zero slack indicated by activities then the path is:,D,M,Theory,Single Choice,Operations:Project Management,
, Operational path,,,,,,
, Optimal path,,,,,,
, Active Path,,,,,,
, Critical path,,,,,,
,,,,,,,
,What type of relationship is there between accuracy and the forecast horizon.,B,H,Theory,Single Choice,Operations,
, Positive,,,,,,
, Parabolic,,,,,,
, Inverse,,,,,,
, Exponential,,,,,,
,,,,,,,
,"a. Mass Processes
b. Continuous Processes
c. Project Processes
d. Jobbing Processes
e. Batch Processes
Which is the correct order for process types starting with low volume/high variety and moving to high volume/low variety?",C,H,Theory,Single Choice,Operations:Project Management,
, b-d-e-a-c,,,,,,
, e-d-a-c-b,,,,,,
, c-d-e-a-b,,,,,,
, c-e-a-b-d,,,,,,
,,,,,,,
,Drawing processes at a relatively aggregated level is called _____ .,B,E,Theory,Single Choice,Operations:Process Excellence,
, Macro process mapping,,,,,,
, High level process mapping,,,,,,
, Micro process mapping,,,,,,
, Outline process mapping,,,,,,
,,,,,,,
,Which is the optimal level of reliability?,A,H,Theory,Single Choice,Operations:Mfg Operations,
, Point where the incremental benefit received equals the incremental cost of obtaining it.,,,,,,
, Point where the incremental benefit received is higher than the incremental cost of obtaining it.,,,,,,
, Point where the incremental benefit received is half than the incremental cost of obtaining it.,,,,,,
, Point where the incremental benefit received is double than the incremental cost of obtaining it.,,,,,,
,,,,,,,
,The two most widely used techniques for planning and coordinating large scale projects are:,C,M,Theory,Single Choice,Operations:Project Management,
, AOA and AON,,,,,,
, PERT and AOA,,,,,,
, PERT and CPM,,,,,,
, CPM and AOA,,,,,,
,,,,,,,
,Which forecasting method is the most useful for assessing changes in technology and their impact on an organization?,C,M,Theory,Single Choice,Operations,
, Salesforce opinions,,,,,,
, Executive opinions,,,,,,
, Delphi method,,,,,,
, Consumer surveys,,,,,,
,,,,,,,
,All the operations that are linked together to provide goods and services to the end customer are called ______.,C,E,Theory,Single Choice,Operations:Supply Chain,
, The Distribution Chain  ,,,,,,
, The Supply Chain,,,,,,
, The Supply Network  ,,,,,,
, The Supply Chain Pipeline,,,,,,
,,,,,,,
,At the break even point - ,A,E,Theory,Single Choice,"Operations
",
,TC=TR,,,,,,
, The firm is obtaining a profit,,,,,,
, ReasoningC=TVC,,,,,,
, Volume of output is TC > TR,,,,,,
,,,,,,,
,Efficiency is given by :,C,H,Theory,Single Choice,Operations:Mfg Operations,
, (Actual Output/Design capacity) *100 %,,,,,,
, (Effective capacity/Actual Output) * 100 %,,,,,,
, (Actual output/Effective capacity) * 100 %,,,,,,
, (Design capacity/Actual Output) * 100 %,,,,,,
,,,,,,,
,If a manager doesn't know what the activity time for a certain situation would s/he use ?,C,H,Theory,Single Choice,Operations:Production,
, Microsoft Excel,,,,,,
, Crash Time Approach,,,,,,
, Probabilistic Time Approach,,,,,,
, Conditioning Approach,,,,,,
,,,,,,,
,Project Management is a ________ for managing projects.,A,M,Theory,Single Choice,Operations:Project Management,
, Team-Based Approach,,,,,,
, Cost-Based Approach,,,,,,
, Value-Based Approach,,,,,,
, Target-Based Approach,,,,,,
,,,,,,,
,Probabilistic time estimates include all but which of the following?,B,H,Theory,Single Choice,Operations:Six Sigma,
, Optimistic Time,,,,,,
, Sure time,,,,,,
, Pessimistic time,,,,,,
, Most Likely time,,,,,,
,,,,,,,
,What is the term 'DFM' referred to as?,D,E,Theory,Single Choice,Operations,
, Designing for marketability,,,,,,
, Diverse financial management,,,,,,
, Design for materials,,,,,,
, Design for manufacturing,,,,,,
,,,,,,,
,Which of the following information is NOT provided by the PERT technique?,A,H,Theory,Single Choice,Operations:Project Management,
, An estimate of how much each activity will cost if delayed,,,,,,
, An estimate of how long the project will take,,,,,,
, Graphical display of project activities,,,,,,
, An indication of which activities are most critical to timely project completion,,,,,,
,,,,,,,
,"Given the information an activity: ES = 10, EF = 20, LS = 30 and LF = 40, the amount of slack associated with the activity is :",C,H,Numerical,Single Choice,Operations,
, 10,,,,,,
, -20,,,,,,
, 20,,,,,,
, -10,,,,,,
