,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
, VAT analysis refers to,C,M,Theory,Single Choice,Operations:Production,
, The number of structure levels within the total logistics network for the product,,,,,,
, A single production process a certain product is manufactured from various components,,,,,,
, A procedure for determining the general flow of parts and products from raw materials to finished products,,,,,,
, Number of times within defined observation time periods that the entirety of the customers demand a product or product family,,,,,,
,,,,,,,
, Make-to-stock refers to,A,M,Theory,Single Choice,Operations:Production:Mfg Operations,
, A store at the level of the end product,,,,,,
, Stocking at the levelof assemblies or single parts,,,,,,
, Production environment in which a good can be packaged during the customer tolerance limit,,,,,,
, Stocking at the level of raw materials or direct purchasing of material from suppliers after receipt of a customer's order,,,,,,
,,,,,,,
, Assemble-to-order refers to,B,M,Theory,Single Choice,Operations:Production:Mfg Operations,
, A store at the level of the end product,,,,,,
, Stocking at the levelof assemblies or single parts,,,,,,
, Production environment in which a good can be packaged during the customer tolerance limit,,,,,,
, Stocking at the level of raw materials or direct purchasing of material from suppliers after receipt of a customer's order,,,,,,
,,,,,,,
, Package-to-order refers to,C,M,Theory,Single Choice,Operations:Production:Mfg Operations,
, A store at the level of the end product,,,,,,
, Stocking at the levelof assemblies or single parts,,,,,,
, Production environment in which a good can be packaged during the customer tolerance limit,,,,,,
, Stocking at the level of raw materials or direct purchasing of material from suppliers after receipt of a customer's order,,,,,,
,,,,,,,
, Make-to-order refers to,D,M,Theory,Single Choice,Operations:Production:Mfg Operations,
, A store at the level of the end product,,,,,,
, Stocking at the levelof assemblies or single parts,,,,,,
, Production environment in which a good can be packaged during the customer tolerance limit,,,,,,
, Stocking at the level of raw materials or direct purchasing of material from suppliers after receipt of a customer's order,,,,,,
,,,,,,,
,Engineer-to-order refers to,C,M,Theory,Single Choice,Operations:Production:Mfg Operations,
, A store at the level of the end product,,,,,,
, Stocking at the levelof assemblies or single parts,,,,,,
, No stocking at all,,,,,,
, Stocking at the level of raw materials or direct purchasing of material from suppliers after receipt of a customer's order,,,,,,
,,,,,,,
, A line is a physical space for the manufacture of a product that in a flow shop layout is represented by a straight line,A,E,Reasoning,Single Choice,Operations:Production:Mfg Operations,
, True,,,,,,
, False,,,,,,
,,,,,,,
, _________ is the systematic gathering of information for an object to be procured.,C,E,Theory,Single Choice,Operations:Procurement ,
, Certified supplier,,,,,,
, Family contract,,,,,,
, Procurement market research,,,,,,
, Supplier evaluation,,,,,,
,,,,,,,
, ______________ is a method for evaluating the performance of a supplier generally and relative to the required object,D,M,Theory,Single Choice,Operations:Procurement ,
, Certified supplier,,,,,,
, Family contract,,,,,,
, Procurement market research,,,,,,
, Supplier evaluation,,,,,,
,,,,,,,
, Bullwhip effect refers to,A,M,Theory,Single Choice,Operations:Distribution,
, An extreme change in the supply position upstream generated by a small change in the customer demand.,,,,,,
, Relief of inventory and compilation of sales data at the time and place of sale through the use of bar coding or magnetic media and equipment.,,,,,,
, An information system that links retail sales along with the production and shipping schedules back through the distribution chain,,,,,,
, The supplier's access to the customer's inventory data and is responsible for managing the inventory level required by the customer,,,,,,
,,,,,,,
, What is delivery reliability rate?,B,H,Theory,Single Choice,Operations:Logistics,
, Specific character to be measured for estimating the concerned performance,,,,,,
, Number of products delivered on confirmed delivery rate divided by number of confirmed products,,,,,,
," Analyzes the effect of logistics on company objectives in the four target areas of quality, cost, delivery, and flexibility",,,,,,
, Set of indicators to measure the overall performance of a company,,,,,,
,,,,,,,
, Direct material refers to,A,E,Theory,Single Choice,Operations:Material Management,
, Material produced that becomes a part of the product or is required for the execution of an order.,,,,,,
, Includes all material that must be procured to maintain company performance and efficiency,,,,,,
, Materials that are entirely standard and can be from a sufficient variety of sources,,,,,,
, Items having continuous demand,,,,,,
,,,,,,,
, Indirect material refers to,B,M,Theory,Single Choice,Operations:Material Management,
, Material produced that becomes a part of the product or is required for the execution of an order.,,,,,,
, Includes all material that must be procured to maintain company performance and efficiency,,,,,,
, Materials that are entirely standard and can be from a sufficient variety of sources,,,,,,
, Items having continuous demand,,,,,,
,,,,,,,
, ________________ refers to the search for the greatest number of sources of a service,A,E,Theory,Single Choice,Operations:Sourcing,
, Multiple sourcing,,,,,,
, Single sourcing,,,,,,
, Dual sourcing,,,,,,
, Sole sourcing,,,,,,
,,,,,,,
, ______________ refers to the search for one single source of a certain service,B,E,Theory,Single Choice,Operations:Sourcing,
, Multiple sourcing,,,,,,
, Single sourcing,,,,,,
, Dual sourcing,,,,,,
, Sole sourcing,,,,,,
,,,,,,,
, _____________ plans for two suppliers for an item or an item family,C,E,Theory,Single Choice,Operations:Sourcing,
, Multiple sourcing,,,,,,
, Single sourcing,,,,,,
, Dual sourcing,,,,,,
, Sole sourcing,,,,,,
,,,,,,,
, _____________ refers to the situation where the supply of a product is available from only one supllier.,D,E,Theory,Single Choice,Operations:Sourcing,
, Multiple sourcing,,,,,,
, Single sourcing,,,,,,
, Dual sourcing,,,,,,
, Sole sourcing,,,,,,
,,,,,,,
," _______________ is the level in the bill of material above which a product can be engineered, procured, produced, or delivered within the customer tolerance time.",B,M,Theory,Single Choice,Operations:Mfg Operations:Inventory Management,
, Opportuneness,,,,,,
, Level of stocking,,,,,,
, Inventory cut-off,,,,,,
, Service positioning,,,,,,
,,,,,,,
, __________________ is the length of time that should be required to setup and run an operation.,B,M,Theory,Single Choice,Operations:Mfg Operations,
, Operation time,,,,,,
, Standard time,,,,,,
, Setup lead time,,,,,,
, Run time,,,,,,
,,,,,,,
, What is cumulative lead time?,B,H,Theory,Single Choice,Operations:Mfg Operations,
, The time a job remains at a work center before or after execution of the operation.,,,,,,
, Longest planned length of time to accomplish the value-adding activity in question.,,,,,,
, The time required for actual work on the order.,,,,,,
, The time required to release and complete an order.,,,,,,
,,,,,,,
, What is lead-time offset?,B,H,Theory,Single Choice,Operations:Mfg Operations,
, The time a job remains at a work center before or after execution of the operation.,,,,,,
," Moment of a resource requirement relative to the completion date of a product, based on the lead time for that product.",,,,,,
, The time required for actual work on the order.,,,,,,
, The time required to release and complete an order.,,,,,,
,,,,,,,
," _________________ is the global network used to deliver products and services from raw materials to end customers through an engineered flow of information, physical goods and cash.",A,H,Theory,Single Choice,Operations:Supply Chain,
, Supply chain,,,,,,
, Distribution network,,,,,,
, Service network,,,,,,
, Logistics chain,,,,,,
,,,,,,,
, What is run load?,B,M,Theory,Single Choice,Operations:Mfg Operations:Production,
, Work content of an operation independent of batch size.,,,,,,
, Actual batch size of the order.,,,,,,
, Quantity or number of units of measure produced together.,,,,,,
, Work content for one unit produced in the batch of the operation.,,,,,,
,,,,,,,
, Run load per unit refers to,D,H,Theory,Single Choice,Operations:Mfg Operations:Production,
, Work content of an operation independent of batch size.,,,,,,
, Actual batch size of the order.,,,,,,
, Quantity or number of units of measure produced together.,,,,,,
, Work content for one unit produced in the batch of the operation.,,,,,,
