,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,Process modelling refers to,D,H,Theory,Single Choice,Operations,
, Study of techniques used to automatically process information,,,,,,
, An information system supported by information technology,,,,,,
," Computerized planning and control, which supports the comprehensive and integrated data flow required for administrative logistics",,,,,,
, Techniques used to develop organizations and processes and to dimension production infrastructure,,,,,,
,,,,,,,
, Time series refers to,A,E,Theory,Single Choice,Operations,
, The result of observation and measurement of particular quantifiable variables at set observation intervals equal in length,,,,,,
, Time unit or the period of time between two measurements,,,,,,
," Time unit for which a forecast is prepared, which corresponds to the statistical period",,,,,,
, Period of time into the future for which a forecast is prepared,,,,,,
,,,,,,,
, Observation interval refers to,B,M,Theory,Single Choice,Operations,
, The result of observation and measurement of particular quantifiable variables at set observation intervals equal in length,,,,,,
, Time unit or the period of time between two measurements of the time series,,,,,,
," Time unit for which a forecast is prepared, which corresponds to the statistical period",,,,,,
, Period of time into the future for which a forecast is prepared,,,,,,
,,,,,,,
, Forecast interval refers to,C,M,Theory,Single Choice,Operations,
, The result of observation and measurement of particular quantifiable variables at set observation intervals equal in length,,,,,,
, Time unit or the period of time between two measurements of the time series,,,,,,
," Time unit for which a forecast is prepared, which corresponds to the statistical period",,,,,,
, Period of time into the future for which a forecast is prepared,,,,,,
,,,,,,,
, _____________ analyzes the quantity of all inventory transactions,A,H,Theory,Single Choice,Operations,
, Usage statistics,,,,,,
, Turnover statistics,,,,,,
, Abnormal demand,,,,,,
, Sales transaction,,,,,,
,,,,,,,
, _______________ is demand that is outside the limits established by management policy,C,E,Theory,Single Choice,Operations,
, Usage statistics,,,,,,
, Turnover statistics,,,,,,
, Abnormal demand,,,,,,
, Sales transaction,,,,,,
,,,,,,,
, ___________________ condenses the most importatnt data on inventory transactions in order to gain rapid information about an item's movements.,B,E,Theory,Single Choice,Operations,
, Usage statistics,,,,,,
, Turnover statistics,,,,,,
, Abnormal demand,,,,,,
, Sales transaction,,,,,,
,,,,,,,
, _______________ is a form of exponential smoothing in which the smoothing constant is automatically adjusted as a function of forecast error measurement.,A,M,Theory,Single Choice,Operations,
, Adaptive smoothing,,,,,,
, Forecast bias,,,,,,
, Gamma factor,,,,,,
, Seasonal fluctuations,,,,,,
,,,,,,,
, _________________ is a consistent deviation of the actual demand from the forecast in one direction,B,M,Theory,Single Choice,Operations,
, Adaptive smoothing,,,,,,
, Forecast bias,,,,,,
, Gamma factor,,,,,,
, Seasonal fluctuations,,,,,,
,,,,,,,
, ___________________ smoothes forecast errors exponentially,C,H,Theory,Single Choice,Operations,
, Adaptive smoothing,,,,,,
, Forecast bias,,,,,,
, Gamma factor,,,,,,
, Seasonal fluctuations,,,,,,
,,,,,,,
," In the ________________, expert opinion is gathered through several structured anonymous rounds of written interviews",D,H,Theory,Single Choice,Operations,
, Life-cycle analysis,,,,,,
, Trend extrapolation forecast,,,,,,
, Intuitive forecasting techniques,,,,,,
, Delphi method forecast,,,,,,
,,,,,,,
," ________________ stores the entire stock of a particular item, or good to be stored, at one single stock location.",A,M,Theory,Single Choice,Operations:Inventory Management,
, Single stock organization,,,,,,
, Multiple stock organization,,,,,,
, variant stock organization,,,,,,
, Floor stock,,,,,,
,,,,,,,
, __________________ keeps the inventory of a particular item at various stock sites,B,M,Theory,Single Choice,Operations:Inventory Management,
, Single stock organization,,,,,,
, Multiple stock organization,,,,,,
, variant stock organization,,,,,,
, Floor stock,,,,,,
,,,,,,,
, ______________ uses a concept that provides for storage of all variants of the same item family under one item identification,C,M,Theory,Single Choice,Operations:Inventory Management,
, Single stock organization,,,,,,
, Multiple stock organization,,,,,,
, variant stock organization,,,,,,
, Floor stock,,,,,,
,,,,,,,
," ___________________ is a stock of low-cost items held in the factory, from which production workers can draw without requisition",D,M,Theory,Single Choice,Operations:Inventory Management,
, Single stock organization,,,,,,
, Multiple stock organization,,,,,,
, variant stock organization,,,,,,
, Floor stock,,,,,,
,,,,,,,
, _________________ is an inventory recordkeeping system where each transaction in and out is recorded and a new balance is computed,B,M,Theory,Single Choice,Operations:Inventory Management,
, Inventory transaction,,,,,,
, Perpetual inventory,,,,,,
, Book inventory,,,,,,
, Inventory accounting,,,,,,
,,,,,,,
, ________________ is an accounting definition of inventory units or value obtained from perpetual inventory transaction records than by actual count,C,M,Theory,Single Choice,Operations:Inventory Management,
, Inventory transaction,,,,,,
, Perpetual inventory,,,,,,
, Book inventory,,,,,,
, Inventory accounting,,,,,,
,,,,,,,
, Operation load refers to,D,H,Theory,Single Choice,Operations:Mfg Operations,
," Observation, control, and manipulation of time elements ",,,,,,
," Duration of operations, interpolation times, and administration times",,,,,,
, Link between the routing sheet and the bill of material,,,,,,
," Work content of the operations, measured in the capacity unit of the work center used for the operation",,,,,,
,,,,,,,
, _____________ is inventory used to protect the throughput of an operation or the schedule against the negative effects caused by statistical fluctuations,D,M,Theory,Single Choice,Operations:Mfg Operations,
, Buffer,,,,,,
, Queue,,,,,,
, Waiting line theory,,,,,,
, Inventory buffer,,,,,,
,,,,,,,
, Logistics operating curves refers to ,A,H,Theory,Single Choice,Operations:Logistics,
, The ways to summarize the facts of an operation,,,,,,
," Starts from customer-set order deadlines, and determines the other required deadlines for other required deadlines",,,,,,
, A technique of calculation designed to support scheduling of ordres,,,,,,
," Process of changing order or operation due dates, usually as a result of their being out of phase with when they are needed",,,,,,
,,,,,,,
