,Question,Answer,Level,Category,Type,Tag,Answer Description
1,Which of the following statements about the steps in the portfolio management process is NOT correct?,C,E,Theory,single Choice,portfolio management,"Developing an investment strategy is based primarily on an analysis of the current and future financial market and economic
 conditions. Historical analysis serves to help develop an expectation for future conditions."
a),"Rebalancing the investor's portfolio is done on an as-needed basis, and should be reviewed on a regular schedule.",,,,,,
b),Implementing the plan is based on an analysis of the current and future forecast of financial and economic conditions,,,,,,
c),Developing an investment strategy is based on an analysis of historical performance in financial markets and economic conditions,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,"Which of the following statements is NOT consistent with the assumption that individuals are risk averse with their investment
 portfolios?",A,E,Theory,Single Choice,Portfolio Management,"Investors are risk averse. Given a choice between two assets with equal rates of return, the investor will always select the asset
 with the lowest level of risk. This means that there is a positive relationship between expected returns (ER) and expected risk and
 the risk return line (capital market line [CML] and security market line [SML]) is upward sweeping. However, investors can be risk
 averse in one area and not others, as evidenced by their purchase of lottery tickets"
a),Many individuals purchase lottery tickets.,,,,,,
b),Higher betas are associated with higher expected returns.,,,,,,
c),There is a positive relationship between expected returns and expected risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
3,Which of the following statements about investment constraints is least accurate?,B,E,Theory,Single Choice,Portfolio Management,"Investors with a time horizon constraint may have little time for capital appreciation before they need the money. Need for money
 in the near term is a liquidity constraint. Time horizon and liquidity constraints often go hand in hand. Diversification often
 requires the sale of an investment and the purchase of another. Investment sales often trigger tax liability. Younger investors"
a),Diversification efforts can increase tax liability.,,,,,,
b),Investors concerned about time horizon are not likely to worry about liquidity.,,,,,,
c),Unwillingness to invest in gambling stocks is a constraint.,,,,,,
d),None of these,,,,,,
,,,,,,,
4,A pool of investment assets owned by a government is best described as a(n):,C,E,Theory,Single Choice,Portfolio Management,A sovereign wealth fund is a pool of investment assets owned by a government
a),state managed fund.,,,,,,
b),official reserve fund.,,,,,,
c),sovereign wealth fund.,,,,,,
d),None of these,,,,,,
,,,,,,,
5,A pooled investment with a share price significantly different from its net asset value (NAV) per share is most likely a(n):,C,M,Theory,Single Choice,Portfolio Management: valuation,"Closed-end funds' share prices can differ significantly from their NAVs. Open-end fund shares can be purchased and redeemed
 at their NAVs. Market forces keep exchange-traded fund share prices close to their NAVs because arbitrageurs can profit by
 trading when there are differences."
a),exchange-traded fund.,,,,,,
b),open-end fund.,,,,,,
c),closed-end fund.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,"A firm that invests the majority of a portfolio to track a benchmark index, and uses active investment strategies for the remaining portion, is said to be using:",B,M,Theory,Single Choice,Portfolio Management,"With a core-satellite approach, a firm invests the majority of a portfolio passively and uses active strategies for the remaining
 portion. Strategic asset allocation refers to specifying the percentages of a portfolio's value to allocate to specific asset classes.
 Risk budgeting refers to allocating a portfolio's overall permitted risk among strategic asset allocation, tactical asset allocation,
 and security selection."
a),risk budgeting.,,,,,,
b),a core-satellite approach.,,,,,,
c),strategic asset allocation,,,,,,
d),None of these,,,,,,
,,,,,,,
7,The major components of a typical investment policy statement (IPS) least likely include:,A,E,Theory,Single Choice,Portfolio Management,"Investment manager's compensation is not among the major components of a typical IPS. The major components include a
 description of the client; a statement of purpose; a statement of duties and responsibilities; procedures to update the IPS;
 investment objectives; investment constraints; investment guidelines; and benchmark for evaluation of performance."
a),investment manager's compensation.,,,,,,
b),"duties and responsibilities of investment manager, custodian, and client.",,,,,,
c),"investment objectives, constraints, and guidelines.",,,,,,
d),None of these,,,,,,
,,,,,,,
8,A mutual fund that invests in short-term debt securities and maintains a net asset value of $1.00 per share is best described as a:,B,M,Theory,Single Choice,Portfolio Management,"Money market funds invest primarily in short-term debt securities and are managed to maintain a constant net asset value,
 typically one unit of currency per share. A bond mutual fund typically invests in longer-maturity securities than a money market
 fund. A balanced fund invests in both debt and equity securities."
a),balanced fund.,,,,,,
b),money market fund.,,,,,,
c),bond mutual fund.,,,,,,
d),None of these,,,,,,
,,,,,,,
9,"Which of the following statements about risk is NOT correct? Generally, greater:",A,E,Theory,Single Choice,Portfolio Management,"Greater spending needs usually allow for lower risk because there is a definite need to ensure that the return may adequately
 fund the spending needs (a ""fixed"" cost)."
a),spending needs allows for greater risk.,,,,,,
b),existing wealth allows for greater risk.,,,,,,
c),insurance coverage allows for greater risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
