,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,EXW in inco terms stand for?,D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Ex Worker,,,,,,
, Export Work,,,,,,
, Exporter Worker,,,,,,
, Ex Works,,,,,,
,,,,,,,
,"In EXW terms, the customer takes the risk of goods __________",D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, From the manufacturing unit,,,,,,
, F\rom the distibutors warehouse,,,,,,
, but it is all insured,,,,,,
, Either a or c,,,,,,
,,,,,,,
,DDP in inco terms mean,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Delivered Duly Paid,,,,,,
, Duty Duly Paid,,,,,,
, Delivery Duty Payment,,,,,,
, Duty Delay Provision,,,,,,
,,,,,,,
,FOB in inco terms stand for,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Free On Board,,,,,,
, Freight On Board,,,,,,
, Fine On Board,,,,,,
, Freight On Boat,,,,,,
,,,,,,,
," In FOB terms,",C,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Seller bears no cost,,,,,,
, Seller bears cost upto the buyer's delivery place,,,,,,
, Seller bears cost till the goods are boarded on the vessel,,,,,,
, Seller bears cost till the goods are placed along buyer's vessel,,,,,,
,,,,,,,
,In FAS terms,D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Seller bears no cost,,,,,,
, Seller bears cost upto the buyer's delivery place,,,,,,
, Seller bears cost till the goods are boarded on the vessel,,,,,,
, Seller bears cost till the goods are placed along buyer's vessel,,,,,,
,,,,,,,
,"In India, let's assume excise duty is 10% and sales tax is 10%. You made a sales of 1000. What is the sales tax?",D,M,Numerical,Single choice,Sales:B2B Sales: B2C Sales,
, 100,,,,,,
, 10,,,,,,
, 11,,,,,,
, 110,,,,,,
,,,,,,,
,"In India, let's assume excise duty is 10% and sales tax is 10%. You made a sales of 1000. What is the excise duty?",D,M,Numerical,Single choice,Sales:B2B Sales: B2C Sales,
, 10,,,,,,
, 110,,,,,,
, 11,,,,,,
, None of these,,,,,,
,,,,,,,
,Your company is very strong on ethics. But the local inspector won't clear your consignment unless you pay a bribe of INR 500. What will you do?,D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Pay him anyway,,,,,,
, Pay him form your pocket,,,,,,
, Lodge a complaint,,,,,,
, Ask the third party to pay on your behalf,,,,,,
,,,,,,,
,You closed a deal. What will be the immediate step?,B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Tell your boss,,,,,,
, Release a P.O.,,,,,,
, Communicate the manufacturing unit,,,,,,
, Collect the advance from customer,,,,,,
,,,,,,,
,Pick the odd one out,D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Enquiry,,,,,,
, Offer preparation,,,,,,
, Negotiations,,,,,,
, Delivery,,,,,,
,,,,,,,
,A prospect is –,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Likely buyer,,,,,,
, Likely producer,,,,,,
, Likely leader,,,,,,
, Likely consumer,,,,,,
,,,,,,,
,"In incoterms, FCA stands for",A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Free Carrier,,,,,,
, Free Carrier Agency,,,,,,
, Free Carrier Allowance,,,,,,
, None of these,,,,,,
,,,,,,,
,"In FCA terms,",D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Seller has the responsibility to unload the carriage on the port,,,,,,
, Seller has the responsibilty of export customs declaration,,,,,,
, seller has the responsibilty to send the carriage on the port,,,,,,
, Both b & c,,,,,,
,,,,,,,
,"In incoterms, CPT stands for ",B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Carriage Payment,,,,,,
, Carriage Paid To,,,,,,
, Carriage Process in Transit,,,,,,
, None of these,,,,,,
,,,,,,,
,"In CPT, the seller has following responsibilities except",D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Carriage to port of export,,,,,,
, Carriage to port of import,,,,,,
, Unloading of truck oin port of export,,,,,,
, Insurance,,,,,,
,,,,,,,
,"In incoterms, CIP stands for",B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Costing In Process,,,,,,
, Carriage and Insurance Paid to,,,,,,
, Carriage Inside Plant,,,,,,
, Carriage In Port,,,,,,
,,,,,,,
,"In CIP, following can be buyer's responsibilities except",D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Import customs clearnace,,,,,,
, Import duties and taxes payment,,,,,,
, Unloading in port of import,,,,,,
, Carriage to port of import,,,,,,
,,,,,,,
,DAT in incoterms stands for,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Delivered At Time,,,,,,
, Delivery At Terminal,,,,,,
, Duty At Transit,,,,,,
, None of these,,,,,,
,,,,,,,
,"In DAT, following comes under the purview of seller",B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Loading of truck in port of import,,,,,,
, Unloading in port of import,,,,,,
, Carriage to place of destination,,,,,,
, Import customs clearance,,,,,,
,,,,,,,
,"In incoterms, DAP stands for",A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Delivered At Place,,,,,,
, Delivery At Plant,,,,,,
, Delivery At Port,,,,,,
, None of these,,,,,,
,,,,,,,
,Seller/Buyer may negotiate the following responsibility in case of DAP terms of delivery,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Insurance,,,,,,
, Unloading in port of import,,,,,,
, Carriage to place of destination,,,,,,
, Import customs clearance,,,,,,
,,,,,,,
,"For DDP terms of delivery, the buyer has",B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, All the freight responsibilty,,,,,,
, Buyer has no responsibility,,,,,,
, Seller has no responsibilty,,,,,,
, Both share responsibilities equally,,,,,,
,,,,,,,
,FAS stands for ,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Free Alongside Ship,,,,,,
, Free Around Ship,,,,,,
, Freight Allowed in Ship,,,,,,
, None of these,,,,,,
,,,,,,,
,Insurance is purview of ________ in FAS terms,B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Seller,,,,,,
, Buyer,,,,,,
, Can be a or b,,,,,,
, Third party,,,,,,
,,,,,,,
,"For FOB terms, buyer takes care of ",D,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Insurance,,,,,,
, Unloading in port of import,,,,,,
, Carriage to place of destination,,,,,,
, All of them,,,,,,
,,,,,,,
,Which of the following is a direct distribution channel?,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Producer – Consumer,,,,,,
, Producer – Retailer,,,,,,
, Producer – Agent – Retailer,,,,,,
, Producer – Wholesaler – Agent,,,,,,
,,,,,,,
,CFR incoterm stand for ,A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Cost and Freight,,,,,,
, Carriage and Freight,,,,,,
, Carriage Free Rate,,,,,,
, None of these,,,,,,
,,,,,,,
,"During B2B sales negotitations, the customer asks you to reduce the price of the deal by reducing the P&F. What should you do?",B,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Reduce it rightaway,,,,,,
, Reduce the product price,,,,,,
, Don't do anything,,,,,,
, None of these,,,,,,
,,,,,,,
,"In CFR, buyer and seller may negotiate upon",A,M,Theory,Single choice,Sales:B2B Sales: B2C Sales,
, Unloading in port of import,,,,,,
, Insurance,,,,,,
, Custom clearance,,,,,,
