,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following selling technique makes use of Big data analytics? ,B,M,Theory,Single choice,Sales:,
, Solution Selling,,,,,,
, Insight Selling,,,,,,
, Product Selling,,,,,,
, None of the Above,,,,,,
,,,,,,,
,What does SPIN stand for in the sequential process of solution selling?,A,M,Theory,Single choice,Sales:,
,"S: Solution, P:Problem, I:Implication, N:Need",,,,,,
,"S: Solution, P:Problem, I:Impact, N:Need",,,,,,
,"S: Solution, P:Process, I:Implication, N:Need",,,,,,
,"S: Sell, P:Problem, I:Implication, N:Need",,,,,,
,,,,,,,
,Sales support activities include:,D,E,Theory,Single choice,Sales:,
, Maximizing the proportion of sales time spent in face to face client contact,,,,,,
, Provide direction and to ensure that the sales resources are targetted at the mrket segments,,,,,,
, Provide necessry backup to help sales person ensure a contuining relation with a satisfies customer,,,,,,
, All of the Above,,,,,,
,,,,,,,
,Which of the following is not related to sales promotion activities?,C,E,Theory,Single choice,Sales: Sales Promotion,
, These are the temporary changes in the marketing mix,,,,,,
, They take many forms like free gifts and competitions,,,,,,
, They do not encourage trials of new products,,,,,,
, They are devised to meet specific objectives,,,,,,
,,,,,,,
,The correct order of sales coaching model is:,A,H,Theory,Single choice,Sales: Sales Promotion,
, Plan-Perform-Observe -Conduct-Follow Up,,,,,,
, Plan-ObservePerform-Conduct- Follow Up,,,,,,
, Observe-Plan-Perform-Conduct -Follow Up,,,,,,
, Plan-Perform-Conduct-Observe Follow Up,,,,,,
,,,,,,,
,Which of the following is a comprehenive approach for evaluating the effectiveness of the sales organization as a whole?,B,H,Theory,Single choice,Sales: Sales Promotion,
, Salesforce Effectiveness,,,,,,
, Sales Organization Audit,,,,,,
, Salespeople Evaluation,,,,,,
, Salesforce Performance,,,,,,
,,,,,,,
,"In which of the following examples, relationship selling trend is not exhibited:",D,M,Theory,Single choice,Sales:,
," Joy, a health care provider, wanted to build strong relationships and loyality with the customers",,,,,,
, Wasau paper operates in price cautious market which makes it difficult to maintain profit margins,,,,,,
, The shop owner builds trust in his customer by offering him the best product and also encourages repeat purchase by being polite and understanding,,,,,,
," Personal sales representatives sell products and services such as real estate, insurance and cars to consumers, as well as office equipment, supplies and resale goods to business buyers",,,,,,
,,,,,,,
,Which of the following are the features of Core Selling Team:,C,E,Theory,Single choice,Sales:,
, Multiple team per buying unit,,,,,,
, Unstable membership,,,,,,
, Mission is strategic with respect to buying organization,,,,,,
, Temporary customer focused group,,,,,,
,,,,,,,
,Sales productivity includes costs associated with:,C,E,Theory,Single choice,Sales:,
,Generating sales,,,,,,
,Serving Customers,,,,,,
,Both Generating sales and Serving Customers,,,,,,
, None of the Above,,,,,,
,,,,,,,
,Which of the following is not a key role of a sales person?,D,E,Theory,Single choice,Sales:,
, Financial Contributors,,,,,,
, Change Agents,,,,,,
, Communication and customer value agent,,,,,,
